,ORF,Ribo_Prints,RNA_Prints
275,YBR025C,376.4136073,570.8458131
276,YBR026C,106.14666129999999,53.39745336
277,YBR027C,21.43183782,15.27359589
278,YBR028C,33.92016157,29.00821729
279,YBR029C,70.12141698,74.03358708
280,YBR030W,79.58459126,9.197300962
281,YBR031W,1520.5097210000001,934.6828537999999
282,YBR032W,0.0,0.0
283,YBR033W,0.0,0.0
284,YBR034C,136.3285959,14.57337373
285,YBR035C,145.43701299999998,510.83175080000007
286,YBR036C,208.3737809,111.37461529999999
287,YBR037C,48.2216351,34.36559076
288,YBR038W,72.79932878,43.96704212
289,YBR039W,102.93464420000001,114.1113847
290,YBR040W,0.0,0.0
291,YBR041W,60.36101189,73.38164952
292,YBR042C,23.908884399999998,38.33749321
293,YBR043C,53.4398217,2.4570567309999998
294,YBR044C,99.64121458,2.9587594139999998
295,YBR045C,5.575626558,7.947042862999999
296,YBR046C,67.46230741,25.30401708
297,YBR047W,0.0,0.0
298,YBR048W,351.05180099999995,1517.094033
299,YBR049C,55.73334891,119.1566476
300,YBR050C,0.0,0.0
301,YBR051W,0.0,0.0
302,YBR052C,214.21680550000002,112.4889479
303,YBR053C,43.07262114,127.5068716
304,YBR054W,565.4277909,525.8101403
305,YBR055C,11.89466999,9.418717467
306,YBR056C-B,0.0,0.0
307,YBR056W,561.5611131000001,32.08367902
308,YBR056W-A,0.0,0.0
309,YBR057C,12.96421797,129.3469647
310,YBR058C,28.90009333,28.18388603
311,YBR058C-A,102.7934444,20.93048326
312,YBR059C,54.70046614,91.72420978
313,YBR060C,32.56189853,13.65031517
314,YBR061C,57.36979095,10.90269546
315,YBR062C,85.43133143,46.83340177
316,YBR063C,5.8739111070000005,20.93048326
317,YBR064W,0.0,0.0
318,YBR065C,22.81169587,0.0
319,YBR066C,48.43983254,61.37082874
320,YBR067C,310.0506396,827.5972598999999
321,YBR068C,251.5430211,247.35713739999997
322,YBR069C,46.04388384,51.95486087
323,YBR070C,24.9888025,0.0
324,YBR071W,72.9390141,151.943461
325,YBR072C-A,44.054333299999996,0.0
326,YBR072W,71.92126041,55.19806516
327,YBR073W,48.37248484,63.64263732
328,YBR074W,49.91622002,39.91145375
329,YBR076C-A,0.0,0.0
330,YBR076W,20.10366759,0.0
331,YBR077C,36.48671776,41.60415077
332,YBR078W,564.305274,745.1738796
333,YBR079C,272.4064319,187.9839362
334,YBR080C,59.55170746,42.4400708
335,YBR081C,73.42546259999999,40.69903422
336,YBR082C,207.5579998,682.6989842
337,YBR083W,87.92774531,24.36875566
338,YBR084C-A,1389.1556380000002,1965.651961
339,YBR084W,130.4026321,109.43468859999999
340,YBR085C-A,470.25439500000005,118.28156820000001
341,YBR085W,54.06668178,60.548898
342,YBR086C,277.58416769999997,109.20540420000002
343,YBR087W,26.80489012,52.53256503
344,YBR088C,146.9611736,85.09574854
345,YBR089C-A,75.46507294,25.43053716
346,YBR089W,0.0,0.0
347,YBR090C,4.835231704,20.67523346
348,YBR091C,32.44000907,0.0
349,YBR092C,69.89389418,123.16784380000001
350,YBR093C,226.62565690000002,173.88401480000002
351,YBR094W,67.83432488,24.7335021
352,YBR095C,38.63697909,47.2028532
353,YBR096W,61.79049346,102.7496451
354,YBR097W,21.255080399999997,5.826010804
355,YBR098W,20.62659536,34.29937575
356,YBR099C,0.0,0.0
