gene,I.1,I.2,S7,A,T1
YHR171W,128,61,47,101,147
YLR154C-G,0,0,0,0,0
YLR051C,369,247,82,322,590
YER116C,74,45,15,69,129
YOR136W,5360,2885,2435,6007,8005
YOL086W-A,63,24,8,48,183
YOR202W,543,256,118,312,443
YLR364W,45,15,11,63,95
YNL054W,429,287,153,364,384
YGR142W,246,104,58,149,241
YBR153W,67,43,33,58,67
YOL023W,76,58,21,51,63
YKL186C,328,214,127,269,261
YDR221W,537,355,128,339,621
YGR264C,4885,3721,2035,4735,7444
YDL184C,3,0,0,0,0
YKL198C,153,87,50,112,193
YDR206W,348,246,94,229,264
YDR504C,1,0,0,2,0
YBL037W,350,260,121,264,354
YPR042C,460,272,168,409,385
YJR152W,0,0,0,0,1
YBR085W,227,140,24,113,242
YKL106W,419,263,121,261,428
YBR281C,448,294,123,325,404
YDL153C,1199,876,192,863,2113
YBL078C,138,46,26,83,233
YLL001W,734,409,156,650,905
YDL150W,332,265,100,338,654
YOL136C,193,104,43,127,116
YER036C,5106,3540,1158,3719,7257
YDR398W,1069,762,259,695,986
YNL168C,583,381,233,539,1184
YIL077C,107,57,18,57,112
YGR038W,472,253,90,282,336
YMR153W,574,346,150,476,542
YKR031C,480,385,116,303,572
YPL266W,869,664,184,609,978
YPL264C,44,20,11,41,28
YHR132C,1295,769,211,543,1625
YLR336C,589,466,146,509,907
YER115C,30,9,5,21,11
YDR441C,251,124,76,187,306
YDR101C,1555,1321,484,1254,1563
YHL014C,75,35,12,48,58
YIL054W,0,0,0,0,0
YMR312W,247,168,134,246,228
YOR382W,24723,16449,15025,34279,33686
YMR164C,159,118,53,114,129
YOR214C,0,0,1,0,0
YLR141W,49,33,10,29,113
YJL030W,215,125,55,136,142
YJR096W,206,102,41,148,233
YDR498C,157,110,44,130,225
YDR410C,257,142,91,201,209
YOR335C,8779,5873,2092,6400,11568
YGL059W,66,41,12,35,55
YNL087W,1730,1169,392,1179,1991
YJL177W,2666,1305,500,1919,1707
YHR015W,8,11,11,32,17
YGL037C,1122,372,289,779,1561
YDR502C,2904,2001,849,2463,3901
YDR359C,184,108,50,135,255
YLR073C,111,75,28,84,218
YJR076C,960,567,302,706,843
YAR018C,149,116,39,93,149
YOR112W,402,285,174,452,538
YJR057W,185,128,65,149,285
YCR105W,14,8,0,9,8
YKL045W,264,193,81,256,318
YBR258C,47,33,10,36,134
YPR074C,12512,8698,4334,11391,16174
YHR162W,1344,614,277,829,1367
YLR262C-A,1072,565,226,1114,5676
YFR020W,22,34,6,17,36
YML013W,513,315,143,426,901
YPL003W,73,40,24,30,74
YGR217W,358,261,87,217,311
YGR014W,1292,792,586,1358,1095
YLR017W,864,676,333,750,1297
YNL165W,105,69,21,60,97
YLR297W,41,12,4,16,43
YMR319C,1719,1590,334,1291,2769
YDL169C,15,7,1,12,15
YDL127W,110,77,56,100,126
YOR152C,37,21,16,48,31
YDL216C,60,39,19,42,97
YFR028C,461,298,107,257,418
YBR068C,2103,1498,471,1363,2116
YHR126C,0,0,0,0,3
YHR008C,1117,620,259,759,1027
YOL001W,34,20,15,28,33
YML111W,439,318,152,332,433
YMR016C,426,278,204,377,318
YKL023W,157,71,28,118,264
YBL017C,2093,1251,515,1618,2203
YBR133C,269,218,87,226,375
YGR229C,961,629,141,477,982
YOR092W,250,130,83,189,138
YJL127C,122,92,34,106,191
YNR010W,120,72,44,132,54
YPL001W,290,170,80,191,276
YJR119C,90,56,26,60,104
YDR047W,612,359,94,309,630
YOR381W,347,309,73,187,357
YMR247W-A,0,0,0,0,0
YER078W-A,0,0,1,2,2
YBR159W,1424,952,380,900,1035
YOR350C,83,41,24,80,49
YGR158C,338,260,85,290,399
YDR249C,43,33,14,48,52
YOR210W,831,470,150,521,1257
YKL174C,377,239,107,224,461
YLR058C,7211,4379,3041,8511,13428
YLR403W,440,268,185,395,346
YLR028C,2284,1559,637,1874,3765
YLR286C,8396,5447,2308,5352,5810
YBR274W,157,81,51,127,153
YDL044C,128,83,32,103,138
YNL305C,339,191,80,217,264
YMR179W,216,153,70,195,186
YER081W,112,50,36,91,148
YDR148C,938,525,238,777,1191
YJL059W,98,57,45,78,64
YIL130W,559,337,161,370,462
YEL044W,297,160,80,245,550
YGL108C,99,60,19,83,115
YOR351C,1,1,0,1,3
YGL023C,436,224,90,262,541
YBL066C,95,51,19,53,97
YBL051C,1433,745,475,1029,715
YFR035C,0,1,0,0,1
YJR068W,471,289,135,371,567
YDR042C,7,3,2,2,4
YDL168W,1351,811,285,927,1706
YBR020W,0,0,0,0,0
YDL049C,18,11,4,13,21
YAL019W,738,510,229,646,1070
YDR484W,175,108,66,149,176
YEL037C,1885,1074,398,1248,2060
YBR273C,429,297,139,369,580
YCL027W,28,23,10,35,40
YDL114W,0,0,0,0,0
YIL062C,1307,577,214,646,1046
YML091C,224,101,54,152,99
YCL021W-A,0,2,0,3,6
YAL017W,438,268,124,342,467
YOR372C,298,177,112,289,193
YGL098W,123,73,50,133,141
YNL329C,135,86,51,107,135
YMR199W,247,153,86,203,214
YDL209C,143,85,33,81,238
YCR093W,2014,1362,622,1649,1977
YMR300C,1203,857,411,1110,2049
YLR159C-A,0,0,0,0,0
YLR008C,461,289,118,356,236
YIL057C,3,2,2,3,4
YIL107C,166,94,39,131,168
YGL136C,49,24,10,24,61
YHR024C,622,369,110,275,494
YLR120C,992,651,400,1016,2093
YPR089W,544,352,133,371,530
YGR211W,2063,1376,498,1597,2359
YML007W,902,475,294,706,744
YPL039W,59,39,23,62,78
YLR237W,269,182,41,102,172
YHR120W,117,108,50,114,149
YGL041C-B,0,0,0,0,0
YBL007C,2813,1680,860,2347,4115
YFL034C-A,1059,676,281,921,899
YNR064C,3,3,3,12,8
YGR068C,113,89,24,75,119
YPL017C,10,9,5,8,12
YPL075W,143,89,44,114,112
YML004C,1526,870,420,1089,1283
YGR163W,334,201,78,224,291
YMR202W,2395,1479,947,1776,3467
YDR108W,238,139,48,151,244
YOR140W,245,160,80,185,289
YHR172W,168,118,39,138,134
YNL267W,463,303,90,293,413
YEL029C,163,93,45,119,184
YLR250W,875,561,205,632,1385
YDR058C,75,43,16,60,62
YHR053C,0,0,0,0,0
YGR245C,1349,1126,267,887,1524
YNL040W,164,103,41,139,265
YKR066C,418,133,36,92,239
YIL003W,196,123,44,153,252
YGL161C,611,372,154,410,823
YMR105W-A,0,0,0,0,0
YPR144C,582,440,197,505,540
YOR359W,372,225,168,292,186
YFL055W,12,11,2,7,16
YDR524W-C,1,0,0,0,0
YGR181W,439,183,88,291,306
YGR070W,37,15,9,33,20
YPL029W,136,78,22,79,99
YER007C-A,1100,758,319,1119,969
YLR116W,191,149,57,139,216
YDR197W,78,47,31,56,126
YPL172C,141,82,31,83,128
YPL224C,275,212,121,240,408
YJR144W,402,255,128,330,1000
YMR083W,3912,2512,1512,3573,5480
YMR156C,59,27,22,62,63
YGR086C,5318,3200,1053,3386,5897
YHR205W,801,488,242,639,733
YOL013W-A,0,0,0,0,0
YGR281W,936,471,104,309,493
YCR048W,954,658,199,538,1164
YKL182W,30651,21851,10534,28061,37063
YPR201W,15,10,9,16,26
YDL065C,500,239,95,262,677
YMR126C,52,23,10,30,32
YDR175C,331,187,86,230,450
YDR428C,228,157,69,159,231
YOR182C,754,444,8,349,207
YER032W,233,153,81,248,179
YGR194C,184,92,42,132,154
YGR078C,749,452,112,324,591
YMR265C,100,65,18,40,97
YHR163W,1083,649,182,515,1197
YOR222W,383,210,29,102,280
YIL162W,614,477,193,410,610
YBL103C,209,117,52,182,135
YLR358C,0,0,0,0,0
YKL108W,99,52,27,97,107
YMR059W,84,28,24,85,147
YOL017W,153,102,28,94,152
YDR302W,297,172,104,185,105
YLR382C,164,90,33,81,122
YBR242W,215,170,59,180,300
YBL021C,144,80,22,41,101
YNL246W,314,191,66,181,500
YOL030W,1888,1145,436,1178,1770
YER012W,1313,775,392,926,1346
YLR301W,2411,1502,629,1824,3864
YKL068W-A,144,88,47,146,78
YDR082W,13,10,5,15,23
YPR139C,229,167,80,211,252
YGL141W,372,250,95,197,322
YPL202C,263,136,92,300,305
YDR458C,336,200,69,249,369
YPR071W,40,27,16,30,51
YOL068C,164,82,46,93,127
YLR114C,544,355,86,287,469
YJR072C,1058,781,238,725,1461
YDR267C,289,181,36,119,372
YJL019W,295,146,50,164,280
YLR248W,898,605,291,894,1002
YIL020C,367,253,76,254,583
YNL063W,62,31,10,34,50
YFR044C,4305,2668,629,2100,2891
YFL023W,515,366,68,353,546
YIL129C,727,513,212,585,899
YBR150C,202,120,58,171,274
YGL176C,49,34,9,38,39
YDR245W,792,495,163,511,821
YDR212W,3302,2305,763,2209,4563
YOR103C,428,266,213,540,452
YMR185W,241,166,75,205,191
YJL091C,361,232,140,309,227
YDR065W,27,22,12,27,45
YOR254C,2518,1675,716,2016,2688
YKL126W,954,626,343,911,1342
YLR441C,7053,4345,1320,4893,11625
YFR012W,0,1,0,3,9
YDR182W-A,1,0,0,1,0
YBR204C,160,96,37,97,176
YLR283W,56,16,15,35,55
YGL174W,97,44,26,88,135
YGR145W,976,886,213,807,1535
YGR199W,667,358,132,394,498
YDR061W,255,158,51,176,371
YBL005W,315,121,40,93,127
YIL108W,482,328,127,368,636
YDR404C,339,204,125,274,470
YBR131W,134,87,29,100,180
YOR058C,232,133,49,218,218
YBL104C,328,233,57,168,361
YBR095C,247,136,75,194,301
YIL004C,213,139,48,124,153
YBR084W,1939,1449,635,1726,2408
YMR173W,1904,1079,323,1037,883
YCR095W-A,0,0,1,0,0
YKL203C,546,405,130,408,491
YKL221W,4,2,0,2,2
YHR085W,237,179,78,226,315
YOR301W,283,189,51,193,382
YDL210W,11,5,7,5,20
YKR052C,408,322,183,424,760
YDR168W,1941,1172,557,1863,2241
YNL308C,1367,959,239,930,1718
YOL089C,239,136,59,195,264
YOR171C,492,302,163,468,455
YIL050W,144,76,44,130,106
YOR031W,0,0,0,0,1
YLR043C,2260,1067,539,1972,3476
YBL099W,4336,2630,1088,3342,6162
YLR359W,2749,1686,1043,2826,3859
YPL217C,1264,985,330,976,2289
YOR237W,399,206,69,229,474
YNR009W,175,95,51,128,160
YGL194C,278,166,64,210,317
YLR038C,292,152,53,242,650
YOR106W,116,87,34,114,126
YMR030W-A,0,0,3,1,4
YMR236W,392,180,82,275,531
YJR056C,137,82,38,94,111
YLR287C-A,449,287,33,658,178
YER039C,1,0,1,0,2
YNL314W,64,32,19,36,29
YDR044W,1128,435,119,274,445
YLR118C,387,256,77,247,427
YDR387C,59,33,23,57,64
YOL130W,362,263,102,332,377
YIL071C,34,37,8,26,30
YLR157C-C,0,0,0,0,0
YDR169C,232,135,78,223,280
YER178W,7192,5078,1815,5151,9998
YDR514C,219,139,46,121,203
YIR019C,0,1,0,0,0
YDR333C,554,355,117,340,544
YMR210W,120,68,40,106,189
YDR124W,3,1,0,3,6
YOR338W,17,12,5,15,27
YKR061W,24,19,10,35,47
YER088C,705,412,266,596,713
Q0130,6,13,40,67,30
YDR115W,190,88,64,182,184
YOR334W,54,27,10,46,54
YPR021C,102,65,37,75,97
YGR256W,8,7,1,7,15
YKR097W,15,11,4,11,11
YOL038C-A,2,0,0,2,3
YMR107W,1,2,1,3,10
YDR451C,321,190,137,359,321
YCL063W,206,132,56,195,169
YJL192C,872,574,203,619,718
YHR177W,13,5,7,10,8
YBR039W,1358,802,409,1288,1881
YIR027C,7,4,6,3,9
YAL042W,1860,1180,309,815,2054
YPR036W,4273,2795,1071,3017,5916
YIL007C,90,53,36,86,153
YOR030W,85,49,34,62,78
YPL267W,144,83,81,159,135
YHR181W,473,289,200,341,186
YOL051W,670,374,285,638,625
YMR243C,1482,956,418,1084,1182
YDR188W,3790,2485,707,1788,4810
YNR034W-A,8,2,1,11,9
YAL067W-A,0,0,0,0,0
YEL023C,1,3,0,0,1
YNL045W,976,558,318,695,926
YPR141C,192,95,62,162,197
YJR061W,42,27,10,24,31
YIL104C,288,216,55,207,388
YLL035W,194,145,39,122,123
YNL282W,95,75,30,56,97
YLR424W,91,71,33,90,148
YDR520C,135,82,18,86,103
YBR243C,442,241,96,225,313
YGL137W,4442,3138,1001,3054,5444
YNL212W,642,447,145,538,776
YMR234W,80,66,28,76,74
YMR112C,160,95,22,108,196
YHR005C-A,1219,662,277,723,623
YGL212W,168,93,40,128,227
YJL134W,385,233,108,247,354
YLR454W,638,411,153,376,437
YOR105W,0,0,0,1,0
YJL127C-B,33,17,18,26,15
YNR023W,201,146,75,158,184
YKL064W,303,186,80,241,440
YDR080W,344,234,89,284,388
YPL253C,141,69,47,145,157
YBR096W,760,445,221,536,648
YJR042W,670,494,168,457,1190
YGR150C,159,69,44,105,109
YLR390W-A,4169,2314,1535,3277,4253
YGR074W,243,150,96,250,282
YDR089W,431,306,172,443,573
YGL180W,165,106,44,111,180
YPR101W,134,81,31,86,148
YBR146W,345,165,72,248,260
YDR017C,468,331,141,370,491
YDR085C,34,14,9,37,44
YPL043W,1324,979,213,841,1771
YHR011W,70,44,12,42,62
YDL235C,596,337,100,359,401
YLR278C,279,133,94,232,219
YLR348C,665,369,163,283,861
YGL158W,1,0,1,1,0
YGR186W,952,575,182,835,1618
YAL028W,19,13,7,17,22
YDL002C,232,128,39,226,433
YJL213W,0,0,0,1,2
YDR099W,4794,2910,1194,3826,3751
YNL278W,307,211,137,278,425
YNL173C,186,80,34,130,242
YMR216C,550,309,156,430,733
YLR313C,51,29,15,26,34
YER039C-A,8,3,4,3,6
YMR306W,1,1,4,6,3
YLR196W,1854,1551,434,1215,2781
YBR085C-A,406,210,178,476,988
YDL059C,50,34,11,45,50
YOR329C,355,192,124,344,217
YHL035C,553,396,98,274,391
YJR116W,362,239,107,220,399
YHL004W,402,260,89,228,253
YBR073W,490,321,142,445,610
YDR449C,668,455,130,473,505
YBR215W,283,182,79,297,196
YDL088C,345,218,129,329,300
YNL161W,493,294,170,384,613
YDR435C,197,117,32,109,365
YDL052C,1243,771,250,674,1113
YMR144W,178,111,38,119,166
YFR031C,274,190,36,185,225
YDR161W,787,599,239,761,1058
YCR068W,209,140,29,94,272
YPR051W,230,131,37,139,263
YCR094W,495,283,139,317,528
YOR285W,1357,666,277,998,1250
YLR253W,166,95,31,79,114
YJL001W,1477,900,321,853,1962
YLL022C,352,228,60,180,548
YHR067W,63,28,16,29,68
YGL237C,98,40,33,78,107
YOR266W,84,49,20,71,74
YBR044C,104,49,21,85,130
YLR071C,502,345,133,397,471
YDR120C,1053,875,263,770,1031
YJL012C,6719,4601,1635,4538,6915
YER126C,1215,828,230,984,1502
YMR246W,5178,4025,1575,4424,9217
YPL031C,501,323,99,285,786
YLR201C,208,133,85,203,297
YJL098W,671,517,144,417,846
YBR059C,907,521,309,811,1062
YHR091C,91,58,18,43,78
YGR020C,1117,539,256,965,1207
YML066C,1,0,0,0,1
YDR501W,76,52,21,66,92
YNL088W,1348,979,364,1094,1523
YNL053W,112,69,34,114,124
YKR043C,2294,1532,486,1189,2923
YDR400W,265,163,58,195,203
YDR137W,171,104,52,144,185
YBR231C,160,77,46,158,367
YDL120W,243,113,43,143,233
YLR151C,45,30,21,47,56
YHL043W,1,1,0,0,0
YER082C,624,428,180,452,629
YFR021W,268,161,59,205,319
YML121W,270,169,46,155,242
YLR310C,633,440,171,439,550
YGR087C,9,3,3,2,9
YGR244C,842,510,201,713,1181
YGL255W,545,408,99,217,348
YNL036W,1629,665,684,1754,2244
YHR046C,375,224,91,240,298
YOR016C,319,184,112,226,402
YKR071C,621,348,148,546,680
YGR063C,389,196,56,247,599
YML065W,304,215,89,223,331
YPR005C,13,7,3,18,29
YGR223C,170,92,40,91,156
YAR003W,143,111,24,102,158
YHR021W-A,8,3,5,9,1
YMR267W,221,126,41,152,180
YPL093W,2483,1974,497,1372,2794
YNL077W,187,80,46,122,152
YJR034W,123,65,16,55,110
YPL160W,9286,6776,2637,7927,13720
YGL185C,103,88,38,113,159
YKL175W,1216,919,382,866,1243
YDR456W,807,514,230,583,777
YGL190C,569,325,130,394,559
YOR101W,534,383,147,389,599
YMR262W,87,47,27,62,109
YGL005C,132,86,37,113,155
YNL125C,129,67,26,65,108
YBL019W,73,42,17,44,60
YBR043C,105,56,24,75,114
YDL231C,30,16,10,21,25
YML101C,191,94,29,88,283
YKL037W,0,0,0,0,0
YOL094C,354,232,109,312,459
YPR007C,1,0,0,0,1
YMR077C,95,71,12,68,72
YMR108W,3857,2554,1614,3993,5803
YIL067C,224,178,55,134,250
YPL126W,1747,1468,561,1384,1427
YKL179C,719,417,127,578,706
YJL033W,849,780,263,726,1132
YEL041W,59,40,11,32,41
YLL036C,345,261,105,253,284
YGL208W,98,48,35,97,159
YNL113W,674,373,114,579,659
YKR099W,246,163,53,164,305
YGL025C,201,132,62,165,201
YBR171W,818,523,132,532,823
YDL005C,364,244,90,210,259
YDL056W,251,152,86,240,253
YML120C,182,85,51,130,172
YOR384W,581,431,142,340,794
YLL021W,1438,893,434,1295,1646
YGR048W,472,246,106,343,462
YOL149W,360,238,114,301,351
YML129C,319,87,73,179,149
YPL058C,189,58,11,37,64
YOL154W,14,11,4,10,9
YBR227C,298,226,64,250,372
YNR056C,0,0,1,0,0
YER165W,13806,8659,3661,12064,18840
YNL327W,3216,1885,1693,3737,2317
YOR130C,96,70,31,77,154
YJL181W,113,70,37,70,130
YPL099C,125,75,33,109,124
YER016W,354,208,79,204,274
YDL039C,0,0,0,0,3
YNL242W,202,150,58,167,257
YNL297C,761,523,243,619,837
YMR058W,22058,16302,6140,15507,25132
YLR099W-A,177,65,42,209,484
YOL078W,199,130,58,168,232
YAL018C,2,1,0,0,0
YEL002C,2294,1407,618,1708,2442
YJL156C,251,165,76,179,210
YNL146C-A,1,0,0,1,1
YMR166C,91,47,15,54,68
YCL032W,167,109,36,109,170
YDR034C-A,0,0,0,0,0
YPL050C,1040,771,255,629,763
YDR510W,2574,1252,430,1375,3583
YLR327C,367,112,88,242,305
YPL257W,33,21,25,32,39
YLR142W,37,15,9,27,40
YLR104W,179,87,64,133,292
YNL222W,197,126,68,224,314
YLR291C,801,624,218,620,744
YKR051W,73,48,22,64,100
YBR293W,18,17,15,27,33
YLR412W,130,98,24,94,117
YFR040W,709,452,147,405,625
YNR067C,3000,1776,1059,2487,2040
YNL074C,484,279,208,460,369
YBR021W,79,66,34,79,85
YML021C,283,181,80,261,349
YER038C,41,39,16,45,46
YNL044W,705,466,326,817,922
YHR007C-A,0,0,0,1,0
YER173W,69,47,15,62,86
YOR190W,1,2,0,4,1
YML048W,2133,1293,528,1294,2049
YBR130C,474,274,135,457,509
YPR072W,1053,614,227,854,1078
YFR012W-A,0,0,0,0,0
YHR048W,14,13,4,15,17
YHL006C,23,13,8,12,48
YHL034C,4284,2579,665,2718,5593
YLR183C,292,183,137,353,400
YIR024C,88,69,20,76,91
YIL009C-A,92,30,44,83,90
YJR040W,533,360,149,351,406
YJL037W,2,1,0,3,3
YOR059C,117,63,22,67,134
YGR271W,569,424,137,479,760
YGR173W,1191,865,332,997,1657
YNR002C,2,2,2,2,0
YIL158W,142,85,29,101,138
YBR086C,1780,1140,574,1305,1241
YLR361C-A,125,52,22,102,212
YOR027W,8139,3763,1851,6417,10802
YER048W-A,444,195,119,351,430
YHR164C,182,100,53,173,159
YGR278W,131,87,46,138,187
Q0085,20,22,66,127,50
YKL204W,864,474,272,790,758
YDR462W,314,141,68,178,304
YMR273C,232,143,61,188,315
YJL162C,104,71,29,115,110
YMR175W-A,0,0,0,0,1
YLL054C,88,53,18,83,76
YDL055C,14891,9483,5913,16590,22631
YFL017W-A,289,106,44,164,444
YOL019W,375,263,141,300,284
YGL127C,152,82,38,148,121
YLR266C,47,35,14,46,80
YGR268C,97,53,61,135,172
YKR076W,156,148,63,172,383
YJR130C,140,104,31,97,145
YEL007W,647,367,249,527,677
YMR285C,341,227,88,255,397
YBR104W,409,288,87,255,501
YPL263C,1036,721,206,725,945
YER096W,6,5,3,7,12
YIL128W,475,345,179,479,630
YDR311W,305,164,82,278,328
YKL088W,358,195,123,370,374
YJL046W,138,89,19,68,86
YLR228C,233,144,73,158,307
YER053C-A,1,0,1,1,0
YKL056C,16642,9487,3800,10725,21684
YPL037C,6817,3706,2072,5884,8311
YDR459C,51,21,7,19,39
YOR357C,432,213,74,307,378
YNR004W,53,28,6,32,79
YNL192W,876,526,286,831,877
YGL068W,779,362,170,483,671
YKL096C-B,0,0,0,0,0
YDL157C,682,308,152,611,714
YOR007C,5771,3382,1028,2968,4507
YJL029C,313,225,84,193,337
YBR105C,204,84,35,153,152
YDL013W,168,100,32,85,185
YJR052W,158,112,37,124,201
YGL200C,2016,1290,344,920,1808
YNL194C,2,1,0,1,2
YDR260C,146,96,30,111,177
YPL012W,2096,1728,680,1767,2244
YBL047C,3910,2218,1391,3657,3607
YKR001C,3153,2023,898,3217,4654
YBR154C,1079,673,372,1199,1222
YPL156C,322,215,142,456,420
YKL048C,85,67,34,80,133
YJL020C,1638,1033,730,2074,2716
YPL105C,646,358,194,576,696
YLR251W,12,5,2,12,25
YGR113W,222,140,47,136,222
YBR253W,94,46,20,90,131
YLR212C,314,193,72,188,348
YCR020C,9,8,3,2,7
YJR141W,71,32,15,62,99
YHR060W,225,153,43,150,268
YDR361C,845,698,213,664,1006
YPL009C,1174,731,305,1134,1371
YNL027W,391,253,142,413,434
YNL065W,411,242,56,183,281
YNL211C,21,7,6,6,11
YHL038C,134,77,25,68,103
YPL070W,275,193,118,225,203
YOL111C,679,405,193,601,599
YDR075W,200,150,74,136,250
YER009W,4551,2745,1292,2984,2748
YMR219W,819,538,193,748,1045
YFL034C-B,200,151,74,160,148
YIR011C,276,161,105,253,488
YMR297W,3498,2112,711,1982,4944
YIL139C,29,22,13,31,27
YJR021C,45,24,21,47,107
YDR254W,66,50,21,50,67
YPL005W,46,31,10,38,56
YBR255C-A,60,32,20,55,56
YDL224C,435,261,166,358,361
YGL105W,6167,3828,1842,5593,9480
YKL188C,6,5,0,3,6
YGR090W,1473,1166,447,1333,1476
YKL062W,155,95,53,150,168
YER044C,563,317,292,528,527
YNL315C,339,149,60,198,199
YLL049W,120,69,17,36,98
YKL216W,7670,5439,3643,11538,14987
YJL158C,8063,4942,2541,6519,5986
YDR162C,174,94,58,138,146
YCR024C-B,1,1,2,3,34
YCR059C,267,153,60,143,405
YDL183C,63,34,12,24,22
YKR046C,176,70,38,126,185
YCL039W,255,129,64,131,198
YER140W,105,75,38,91,152
YPL069C,124,85,49,112,132
YOR386W,112,62,24,63,89
YPL151C,117,79,32,113,204
YNL042W,58,36,17,51,61
YHR207C,295,212,104,346,487
YDR171W,312,96,62,183,274
YPL157W,172,116,41,140,269
YDR479C,192,82,46,107,147
YAL034W-A,102,72,20,62,126
YBR013C,56,37,14,39,57
YOR258W,57,20,17,49,63
YNR057C,17,11,8,22,38
YIL015W,948,610,381,986,1150
YGR161W-C,63,32,11,23,83
YHR127W,281,137,79,195,317
YFL018C,2303,1321,547,1714,3552
YNL328C,17,19,6,12,47
YCL049C,173,88,38,79,150
YLR072W,251,168,59,149,204
YHR111W,479,318,118,316,610
YBR288C,460,325,171,396,614
YGL055W,12560,10191,2763,6975,9430
YOL055C,89,59,13,80,143
YOR347C,322,138,93,223,429
YGL065C,456,302,164,382,357
YHR013C,956,621,308,626,1115
YOR307C,205,145,81,167,196
YNL144C,27,8,3,16,16
YIR038C,487,205,83,276,478
YAL046C,186,59,19,73,111
YPL193W,97,79,19,75,82
YJL045W,4,4,0,0,0
YGR208W,944,565,268,794,1365
YDR347W,370,224,59,189,321
YKR078W,127,74,42,76,113
YDR201W,154,78,32,122,406
YLR027C,4963,2859,1515,3602,6310
YOR275C,166,99,63,152,141
YML077W,206,96,67,154,187
YGL245W,10779,7136,3104,10567,18855
YHR058C,220,143,58,136,168
YPR181C,3631,2368,1304,2837,3659
YBR106W,7030,4297,1563,4568,7882
YHR018C,1276,734,220,663,1162
YBR170C,670,435,157,458,734
YMR304W,665,447,176,546,776
YDL211C,35,13,14,22,17
YPL078C,1015,570,263,765,1276
YDR273W,23,18,9,23,47
YOL007C,400,271,102,302,220
YDR399W,1304,893,413,1144,1923
YLR064W,338,201,156,422,227
YKL181W,2035,1449,380,1258,2862
YGL045W,62,33,14,33,72
YDL078C,1234,809,282,889,1419
YOL041C,1273,902,287,1241,1882
YMR226C,1840,1105,501,1397,1737
YHR200W,1261,825,246,717,1629
YDR524C,148,92,62,153,99
YGR270W,686,401,160,410,864
YPR125W,554,313,110,302,428
YEL046C,4822,3233,1475,3238,5598
YIR015W,51,26,10,28,22
YGR136W,1223,685,353,982,958
YDR204W,238,144,93,188,232
YPL161C,275,153,66,175,193
YMR145C,601,336,197,507,823
YLL031C,752,528,284,729,680
YDR300C,1010,697,258,703,1610
YLR229C,888,482,195,608,1276
YLR421C,960,574,107,620,1451
YJR151C,143,26,0,1,1
YPL096W,198,112,59,132,222
YML038C,635,408,188,488,573
YJL082W,375,200,73,199,394
YIL006W,24,18,12,30,52
YLR392C,95,80,21,79,86
YGR075C,72,61,21,69,88
YBR268W,216,101,64,127,178
YDR316W,124,74,19,75,138
YNR070W,5,2,4,8,9
YKR020W,191,95,40,175,337
YOL164W-A,1,0,0,0,0
YNL145W,649,319,260,785,954
YHR068W,4665,3155,840,2835,5335
YGL160W,302,217,69,196,170
YDR430C,765,398,103,329,383
YGR042W,59,33,18,47,77
YPR160W,106,56,24,54,133
YER007W,64,48,31,54,101
YGR095C,263,165,112,248,430
YFL033C,291,152,74,213,230
YDL089W,200,118,51,175,136
YDR522C,2,2,0,0,0
YEL062W,109,69,53,142,85
YBR026C,685,358,232,655,827
YLR143W,366,306,94,286,417
YMR125W,1650,1138,526,1322,1934
YLR126C,631,479,154,554,1183
YGL086W,468,324,94,392,308
YNL129W,244,152,52,165,214
YGL048C,1930,1170,491,1693,2686
YER106W,0,1,1,1,0
YBR083W,121,59,39,104,118
YJR012C,60,44,14,45,76
YGR169C,64,54,12,59,45
YMR074C,839,427,160,573,1022
YDR341C,4687,3176,1487,4350,6899
YMR269W,161,96,30,156,251
YJR112W-A,42,29,5,31,39
YHR138C,176,81,54,157,214
YFL021W,121,80,30,134,87
YPL144W,257,98,42,112,113
YEL053C,230,187,51,135,172
YHL020C,297,175,65,158,410
YGR106C,2643,1785,719,1868,2934
YMR194C-B,26,9,7,14,31
YLR452C,365,199,58,180,202
YMR005W,308,167,94,310,297
YLR363C,249,128,46,171,287
YIL023C,208,133,73,147,188
YGL115W,718,471,157,447,680
YKL138C,239,101,66,243,173
YOL109W,6053,3482,1327,6193,11446
YGL002W,164,111,31,98,196
YLR179C,2098,1291,433,1351,2495
YNL230C,30,21,12,38,69
YHL028W,27,15,6,16,24
YCR015C,106,68,31,90,113
YPR199C,92,36,15,51,55
YMR313C,247,173,67,136,221
YLR361C,264,173,44,117,276
YBR077C,192,96,67,235,255
YOR298W,3,2,2,2,0
YDR380W,196,123,89,232,306
YGL226C-A,372,225,271,475,240
YDL177C,38,29,14,62,55
YOL084W,5,0,1,5,6
YLR069C,423,212,71,222,417
YDR060W,2156,1734,535,1699,2262
YGR149W,106,61,34,99,164
YPL213W,179,99,38,99,238
YPL203W,272,126,92,195,328
YLL041C,74,31,10,29,59
YBL026W,392,239,110,357,425
YGL258W-A,0,0,0,0,0
YNR021W,2224,1476,621,1672,2146
YGR080W,504,258,173,505,501
YBL055C,290,257,100,215,407
YBR195C,224,133,58,156,226
YPL191C,96,67,27,106,103
YMR013C,183,92,46,130,87
YPL148C,8,2,1,2,12
YFL038C,3401,2147,519,1458,2720
YPL088W,27,21,7,17,33
YIL037C,1,2,0,0,4
YGL145W,347,212,108,277,251
YPR060C,496,356,180,555,521
YNL004W,609,416,89,309,940
YHR069C,431,300,138,344,589
