ORF,WT_RNA,WT+DTT_RNA,WT+Tm_RNA,WT_Ribo,WT+DTT_Ribo,WT+Tm_Ribo
YJL108C,102.2202282,223.6526097,211.2619331,62.65169801,166.3660289,143.139049
YHR009C,464.5902495,668.8150396,603.6962766,232.2419195,277.7550978,305.5110111
YHR006W,133.5630371,158.6423814,138.8862732,88.7166131,109.239524,109.7573017
YHR207C,307.6177497,404.1814383,330.862393,121.4713343,199.4462744,132.0165478
YOR375C,4721.737476,4053.885231,4972.061471,3179.69631,2970.299862,4142.973934
YHR078W,178.3845784,299.6393128,238.7899517,46.51093724,105.2165079,59.33839138
YLR378C,454.840348,1126.884076,1044.533655,1356.436032,2955.012084,3263.526793
YKL217W,18.24719861,26.31782649,19.40939627,1.979940523,7.156532288,7.74522927
YHR076W,464.6225004,796.9369679,690.9652909,196.8929205,357.4018473,308.6389725
YLR178C,49.24684003,203.1924292,88.95702585,16.85869615,200.4993423,42.51954466
YJL088W,489.6160492,101.5871549,223.2002555,691.3819036,158.5680137,315.2076143
YHR113W,391.7727091,801.0162727,556.9657284,297.9687503,584.0072324,427.2144923
YHR002W,111.7573573,135.4998074,154.6665563,22.72613909,33.35919387,34.6748238
YPR145C-A,9.005983318,263.3034571,61.06989243,8.721582796,279.9503641,51.22909197
YOR317W,479.4537748,1232.408251,691.4074369,440.9445879,1157.252013,686.1632512
YHL017W,336.9627162,498.4931557,368.7448339,179.1404515,230.4566267,141.3835178
YML123C,99.22015777,76.99197325,10.11752496,94.00449989,67.05900366,15.92441333
YOR239W,550.1055716,1385.813102,1170.54952,631.197612,1386.557656,1437.2482
YJR120W,74.53624982,33.39668313,63.33442157,175.6180017,110.7352926,208.8567386
YHR048W,63.63574008,78.63977708,50.24324595,12.75625862,15.33825925,11.49026131
YNL276C,4.458969421,8.813050809,14.00305247,1.354716655,5.265213818,6.508093569
YHL042W,12.11383729,34.94343158,13.69532867,7.066379235,23.6877378,12.73015018
YPL003W,192.4365008,387.8096245,340.2873164,40.04502525,96.41784595,82.03518946
YLL058W,91.88957079,513.3774626,225.1312925,72.24210412,513.4936796,210.8469086
YPL094C,920.7431838,2197.829467,2201.605789,480.1422778,1226.381862,1076.17495
YJL144W,23.88714693,300.334098,160.9735064,14.19916922,192.5998321,80.88133401
YJL091C,257.2377854,715.0576617,846.0365349,168.1566271,508.0956064,453.1187396
YLR414C,304.0546069,1981.776717,1068.852773,157.9466369,1401.513604,550.520702
YJR130C,431.1141047,272.2497174,337.47564,140.4067363,72.17100123,98.93829053
YGL062W,403.0396786,873.3403354,815.0526332,613.098705,1463.570936,1464.111246
YNL117W,6.105248037,11.95040705,13.91593397,1.987378157,3.475846336,8.183499138
YHR133C,705.3570336,1052.263066,954.362658,270.2406171,430.1961253,373.4671235
YPR030W,14.76612135,26.74996734,20.68198629,5.461483239,18.19413269,17.26829909
YIR017C,85.85142582,51.11232635,43.74756179,28.29852569,19.99717572,18.97959178
YLR318W,81.59711774,83.21933148,92.45396764,14.52120175,20.36336957,18.58477057
YKL218C,309.6261535,648.1697729,361.9038731,105.2932159,296.6920702,148.7244883
YHR209W,93.41580675,391.3984685,233.9103993,62.11009616,266.6544545,134.2279798
YPL264C,83.09439062,44.98261836,62.96418804,24.77182123,21.78084532,21.73852049
YDR069C,59.07601895,221.6362587,188.4181075,66.1805632,260.2599888,187.857357
YDL174C,383.1725829,1062.196327,822.296882,462.8829173,1243.366423,943.6235695
YHR195W,255.4817371,313.74654,242.5351931,60.05339583,76.92748945,59.71825616
YDR379C-A,14.85322249,104.8230952,53.91334898,7.663043707,55.09860118,24.7176079
YIR002C,193.9107733,416.0082727,408.3504513,53.56971078,140.8789191,111.500558
YGL157W,400.737106,1431.711185,880.5797664,353.6681574,1412.478248,724.8082568
YPL156C,55.60837105,234.9596688,176.626119,31.31726919,150.1443906,72.9620919
YOL064C,1079.727456,1008.007256,1313.244907,528.7885577,555.2767945,658.8216522
YDR309C,145.0152479,159.9041538,170.0203692,158.0439608,224.5705743,230.5204452
YPL085W,193.6646265,526.2132654,375.7693587,774.120957,2180.994281,1911.85907
YHR039C,968.3000704,1199.684965,908.9392037,759.9838923,983.1705046,742.4622471
YBL111C,0.866697469,1.666710169,0.395099582,1.974889351,1.381601562,1.219811029
YCR040W,9.788507641,15.89028449,14.1401699,0.46346931,2.837063666,2.146999941
YDL172C,0.480427681,3.233617332,0.876046294,1.313664636,1.531698565,1.352331132
YER067W,17.50473782,28.59018705,21.86259896,3.934055537,2.548336522,4.0498508
YMR195W,41.73883857,9.670631274,16.73494041,11.91710722,1.603273265,5.6620967
YNL198C,29.87770855,34.52435419,32.01962723,32.4875211,98.04131477,64.92024202
YDL210W,9.147708599,15.91619256,17.07774484,3.573310599,5.323716195,7.356975341
YJL160C,3.613963455,2.606199044,2.265298811,2.470473792,1.200211563,1.271594945
YLR329W,0.909380968,3.497586094,1.865509295,0.414429915,4.107322642,2.559769641
YNL196C,2.034580988,1.304206271,1.236666968,0,0.480492371,1.272674936
YNR070W,7.468520698,23.59537838,11.8676688,1.555936119,7.71026828,1.201300238
YDL070W,1117.438212,3597.00716,3513.207771,395.9274324,1168.399121,1178.76877
YDL211C,51.08201763,165.5024665,228.0067138,25.10135252,75.52908319,92.107765
YNL098C,1239.280547,1630.027278,1698.624038,563.6510069,794.1194633,869.9418598
YEL012W,83.50343107,438.5979429,242.3182843,37.94939484,247.051337,113.2925599
YCL047C,220.4871585,489.7137563,516.686789,103.3885673,256.8309483,236.3724402
YMR149W,624.9264281,1403.368728,1437.190959,481.0439812,1301.36772,1123.110372
YPL088W,645.4995838,2850.732137,1609.490032,187.1633183,874.3333354,497.5971481
YLR257W,896.6512542,2298.150308,1631.136013,280.2491806,1000.533694,617.3690143
YHR202W,108.2640278,144.6516837,120.1147937,80.05186122,90.565947,55.4826901
YDR047W,717.8232992,1366.513839,1123.360084,377.1088812,981.9946133,865.3297824
YMR053C,33.36309367,259.3273062,146.0079792,13.73307803,104.3094096,42.81581801
YKL151C,183.7711659,645.6064914,328.3586285,85.79224642,295.0929627,157.7097524
YOL057W,371.7541764,1342.058669,1109.49649,381.2164917,1317.607169,1143.222045
YDL206W,61.73164322,137.1847465,126.5382475,10.23011178,25.23239749,19.03721551
YER087C-B,235.0992877,591.0975493,806.1420579,444.7180515,1037.94206,1099.05078
YHR039C-A,731.2520205,1009.665101,901.4718082,1417.421095,1857.637974,1428.583627
YHR084W,143.3036241,105.3203424,147.8257326,144.8206443,85.8088426,123.0851266
YHR101C,165.3826684,246.4814578,236.3661613,87.99890191,139.8935199,106.5260333
YBR056W-A,57.22903097,1561.51037,946.5755925,31.67934878,1155.245622,514.4792732
YKR011C,95.12414154,415.5537124,432.4217946,81.219086,493.6202445,392.1294659
YKL023C-A,184.2740426,345.8671324,352.663386,215.7967844,451.9946736,426.6322983
YGR286C,749.6783825,357.3237985,750.0986437,375.9454802,181.423815,384.5115522
YDR050C,19762.89081,23211.0676,22847.76158,15051.89267,23034.85689,19070.48651
YGR161C-C,638.4995151,934.8764068,572.7081764,1074.826519,1694.04588,828.814359
YGR161C-D,716.9162704,1139.489681,730.2062217,1032.864406,1646.243472,800.7408919
YGL210W,153.314413,218.0162947,239.5665648,106.4879958,173.4835687,199.7466915
YOR040W,55.81969125,84.52839819,54.1895149,7.415291166,15.13056181,11.45033004
YHR070W,265.3612272,272.2048965,246.7302257,304.5261641,324.5884656,297.0550286
YNL012W,48.62053739,84.10839463,72.62846051,13.84857245,34.83154284,28.91970436
YDR358W,104.2043623,414.6167584,262.362024,84.24790134,412.8475686,210.2736661
YKR003W,232.7452341,739.6960891,603.11148,181.2586707,486.7431881,395.8927058
YGR019W,140.6914396,379.2453656,206.918452,86.82296335,425.6930316,171.7550294
YEL020C,95.24739647,166.1909708,134.9306115,23.83900659,56.28620629,49.08137111
YHR105W,26.88239251,43.67456231,30.42576166,16.47554397,36.44984386,31.31166697
YNR014W,31.54766954,40.14795613,30.03210385,23.6799962,39.68974227,20.89456702
YAL032C,96.51091498,145.7036532,154.7453648,59.85688585,91.71931561,123.6537779
YAR027W,92.08920097,744.3644879,345.8943061,40.188407,542.5350777,159.4519446
YOR011W,55.23029384,162.3922624,135.3180925,36.92890427,95.63438484,88.83709081
YEL059C-A,20.3499339,66.1421727,40.24337661,29.25889416,46.90826858,31.7336794
YOR336W,151.2369655,502.2998704,428.6396563,288.9121194,855.7614204,580.021202
YHL036W,34.90621618,49.08640315,31.42743352,15.90772261,25.03978381,11.46316613
YJL199C,36.03882369,65.34450306,48.58273443,14.5468678,40.21461676,27.05168754
YER011W,6.970106203,10.63069823,1.095671688,31.98375754,21.45579997,6.314416102
YGR144W,3.134321149,18.94352043,14.90072349,1.224339719,5.472267534,2.940879713
YJR153W,42.04848461,68.24043536,49.2905718,3.244469967,1.891483511,2.922471931
YOR284W,83.11023558,187.5642411,131.7183511,23.37228331,39.41730528,30.07528089
YFR042W,209.3707486,954.0633854,863.7969217,82.97044149,459.8935521,277.7004507
YOR250C,94.62367155,418.5238274,311.1803577,119.1387436,431.0034069,328.7064088
YGL081W,17.93224254,77.5907016,27.5897283,12.66693488,34.3029237,13.46041219
YGL059W,249.1091324,155.6812048,232.714877,85.86830121,52.62130952,71.95003292
YNL148C,114.9499892,217.7660672,195.6757738,69.84782818,136.2193307,153.6514315
YHR019C,1998.596555,1462.562097,1708.280295,4131.75919,2744.528268,3726.356332
YHL019C,134.1115718,307.2281348,187.6722693,41.20782139,112.4952222,59.14429434
YLR266C,201.8554415,532.9672269,502.6055493,25.6352408,71.50612352,76.73339009
YJR022W,53.43423436,104.2392476,132.1004807,31.84420385,82.17633716,79.06128486
YPR009W,272.9376706,192.3523439,279.6941611,64.98661142,51.15862957,63.91665464
YLL059C,17.76081085,21.99025897,21.51694954,8.426723748,13.18663949,10.04445492
YIL074C,399.3228146,565.9144711,571.4346551,360.5632354,599.8152856,566.8571412
YMR122W-A,617.6105722,1989.545249,1265.278295,598.7489727,2347.922076,1235.324148
YGL200C,1084.072008,2553.485678,2570.401955,734.0529519,1816.03468,1644.695567
YHR045W,464.2493237,823.8293901,835.6159373,124.7574678,148.9383977,165.240616
YHR046C,327.9832784,302.3607946,291.4298133,99.44187441,124.3311914,105.7529478
YBR046C,108.1896448,145.7245049,123.5042764,99.42495121,160.3496936,102.3514321
YHR117W,210.6752872,238.2445803,273.5807796,325.901833,329.265782,366.4381131
YPL114W,5.640020803,6.366184125,5.142209234,4.917119714,9.902856697,8.743196414
YNR050C,851.9636725,750.6403411,858.6151265,591.2190763,525.6613708,561.1370557
YEL017W,157.8986193,197.8639295,260.5120352,228.156917,245.4340884,346.8757614
YBL033C,392.8474467,925.7816666,830.65245,253.3482171,644.6111519,586.9165507
YHR159W,49.5920982,79.26462465,61.07976968,29.34097781,36.98466141,40.81702996
YHR068W,1040.460467,1120.400077,922.1565617,1135.575619,1277.890979,1024.694617
YHR079C,126.2733587,169.981763,138.738936,60.4723221,84.61097285,60.64575848
YKL024C,463.4909827,754.4870412,742.1717701,536.2370166,927.2140716,964.1785931
YDL055C,6895.506519,13494.49262,10396.6595,3528.361089,5692.892499,5424.942897
YHL007C,257.9224312,292.3963324,256.4994511,331.1934172,372.4691337,345.7778411
YER130C,161.9947755,466.653308,340.1433105,78.64017873,325.1337268,205.2784437
YDR481C,517.8822123,667.8557765,724.0497092,235.1195523,394.3124493,329.1254434
YPR007C,23.82014593,51.84580725,42.8430622,5.131688801,16.33932493,15.84820585
YBR132C,8.69890503,45.16696515,12.88804349,20.21808421,116.7132075,38.36155611
YBR115C,558.9251863,532.0918202,487.6219308,1113.721266,589.9087738,799.9506905
YDL238C,32.21229272,174.0391328,73.92223079,8.788043741,78.4798621,22.61677908
YHR176W,37.68252842,68.01606747,61.07824456,22.09387238,34.4258988,27.70655259
YHL025W,529.0792345,434.9751236,340.276025,165.4997097,134.5074798,146.4519528
YCR012W,28027.27744,32362.89139,27561.93851,31974.21008,57932.61474,42404.47843
YHR086W,121.2829673,135.5280241,113.3673866,121.897131,142.1288627,137.3774345
YKL174C,339.2742792,1372.764692,959.6709634,112.8443953,397.0291389,343.1988013
YCR089W,33.15351359,27.72826863,24.50374487,25.74782686,5.003548648,7.362691716
YDR273W,28.68519687,33.01441086,41.01316518,7.130527111,10.85439919,8.156008378
YML007C-A,1.829864257,1.759468255,0.417088217,0.833919462,2.430820641,3.433860422
YPR157W,50.94034761,83.60488742,75.4717304,10.80694423,12.36726928,14.83338209
YOR137C,44.08317362,139.898861,87.90808568,2.771022688,21.46267213,9.78029198
YHL009C,123.2608856,217.6791127,191.1095165,111.7350621,192.5673846,146.088723
YPL273W,730.8906461,554.2087236,753.5556614,309.4116673,239.8760087,353.3963125
YJL158C,1052.916163,1542.097337,1615.163498,2203.287169,1918.896131,2794.748322
YHR108W,355.5816307,474.561909,392.0516115,674.3749242,993.2863362,843.278611
YPL149W,264.2548787,1000.528972,685.3778043,16.02969415,93.69063616,75.31459909
YDR410C,140.0992632,155.8750537,168.9176535,50.15810426,65.79341566,50.77388703
YHR191C,144.7783568,149.4236132,142.1361097,78.81507673,111.0632615,92.72562874
YHR135C,367.6442455,479.1757706,408.1414357,432.3238794,516.4928911,524.4628661
YPL192C,16.3060948,19.95482275,37.16712852,12.16004041,11.81524058,20.86326647
YPL247C,59.87663612,368.762298,244.467106,78.07790088,194.3821211,161.1621843
YNL092W,14.82177717,88.06196651,45.78469995,8.46856838,63.71164172,30.71998228
YGR122W,76.7435398,168.8478038,189.543652,45.96025509,111.1725382,105.8318278
YLR028C,1054.833569,3167.633448,2019.850316,640.0302715,1847.845256,1498.988133
YMR039C,343.1154448,976.5154197,977.9814396,217.1251857,689.7233732,582.4964077
YHR032W,797.5321776,555.673692,462.7967852,595.5780291,463.5691161,412.9596973
YCR014C,90.26900605,148.6439083,128.2233361,3.9746926,10.42737185,6.95586276
YGR028W,528.7468182,1066.218734,1398.369341,218.5609538,369.7254635,469.6073349
YEL031W,817.6236426,2498.850793,2281.378369,1708.997143,4762.22843,4586.932316
YIR033W,262.4003556,647.8451831,472.2351968,149.8202096,391.2248421,265.0828606
YDR040C,20.76852566,59.49689988,48.99781266,13.2702186,96.93208633,41.78602275
YFL058W,2.67939457,8.373028993,7.12512535,1.628098382,8.067860345,5.447064816
YMR084W,8.644485534,95.36842396,18.66668086,2.073436723,93.07655759,5.549612649
YHL010C,65.28426512,103.9935048,67.45827323,26.97499696,66.14200051,32.26102193
YKL103C,134.4879043,644.0471582,224.1008272,193.7356778,1338.14692,344.2974729
YIL076W,994.9779777,2265.310914,2200.600814,505.7152384,1192.95299,1035.703179
YHR155W,156.4021588,266.2558907,202.7922855,76.72963197,121.7083795,111.8663916
YHR177W,43.97463052,46.2997749,49.9160934,51.30354792,53.0422684,45.79931118
YER103W,126.0390552,173.9632923,149.7248629,22.14533529,49.5668699,47.22269403
YHR067W,78.29751732,186.0375316,131.4257195,18.56306278,52.42668703,32.27373651
YJL164C,112.2032178,338.5556713,219.1271629,56.88289507,183.449268,130.4039553
YFL054C,14.31484848,29.6137718,16.01757908,2.372243674,2.765974004,3.663102689
YPL171C,3.318308321,14.03886422,9.883040958,1.209795482,3.996671252,3.736214061
YMR121C,179.340732,194.6124188,211.2906755,166.0084509,220.5413075,256.5606683
YHL001W,1525.370253,807.5874373,997.4431204,818.1168495,503.0428455,615.9835158
YMR008C,147.2205549,2271.660781,567.1641378,429.3141507,5801.762687,1029.221934
YKR049C,46.94178803,167.9530915,60.36842695,30.62528696,156.7488583,52.8536084
YBR072W,21.78400773,65.28901405,35.91930195,5.914297836,24.13570742,10.00233806
YIL094C,2094.459622,1469.458604,1742.917123,764.0881836,567.9707987,717.7996921
YHR190W,1403.439121,1820.918872,1495.669329,1583.067631,2155.946071,1709.784069
YDR169C,57.2985381,199.5588645,180.251845,117.2073394,304.2327233,270.0423682
YGL038C,162.2863344,278.5579835,308.3213813,98.74438544,188.3153059,161.3244013
YKR009C,29.44933756,123.6000675,82.70589235,12.53920977,55.51179419,30.65718814
YIR015W,38.03545955,86.03847317,85.13965412,29.77858785,33.68460429,45.75386994
YLR054C,2.809948252,60.27198974,12.80965297,2.364130505,53.98173764,9.734865946
YHR008C,475.5198546,497.0043397,279.3234206,805.2426591,975.5291536,602.5156534
YHR199C,272.9290466,544.0818129,232.2499198,180.5831799,386.0179751,156.3907829
YGL148W,2409.622718,1899.467128,2369.966642,1746.732857,1628.089208,2027.652595
YER027C,234.8772308,627.0069317,548.2459488,299.3901116,709.1881418,680.6135912
YHL027W,252.5675967,473.8610007,350.4355097,246.5486794,432.5816046,345.435112
YOR230W,609.4148995,1136.786683,735.3452423,926.2254931,1820.287706,1307.274726
YOR292C,87.62628165,210.4220727,150.1560339,32.76611792,88.82531251,53.12562902
YKL206C,223.7306189,652.1410794,632.4515542,158.5817456,450.4274618,410.4679426
YHR010W,12754.74312,6170.367175,9721.389551,8350.241889,4224.130631,6791.09872
YHR114W,151.9235175,225.1702308,165.8211885,117.8985483,139.5424583,133.5871162
YMR088C,256.5022082,514.0137715,424.8067259,81.43924397,249.4332681,184.8488889
YIL040W,130.121718,241.7332755,558.4875642,132.4740632,262.7407394,404.0520145
YHR072W,1149.821504,1562.075605,1307.609368,577.4792246,696.2903764,671.1180658
YKR013W,752.25768,926.1329958,1536.10365,976.82051,1260.794481,2181.956418
YBR137W,271.9295744,1017.225278,995.5923921,149.1419882,632.5077429,520.4995744
YNL230C,59.23773402,143.570364,105.7932363,16.17753672,60.83183401,45.79769549
YMR017W,2.655697461,8.937359017,7.465658402,1.210274363,3.29267917,2.076496104
YDR074W,251.7420851,638.7339059,391.6187274,305.6741824,1002.74046,570.4428004
YDL160C,256.6747161,468.3524533,463.6499742,1016.763952,1928.505012,1726.281234
YMR054W,392.8295746,1184.836976,936.2654242,254.7676098,840.4296818,767.0285159
YHR132C,599.3089122,784.1620378,650.9108555,485.3708492,693.8260647,462.4311659
YHR042W,643.0512006,881.579361,482.6901009,1688.303088,2029.932719,1196.573576
YHR013C,198.645055,204.2365258,196.1696164,351.6584753,322.754183,332.7385534
YFR015C,44.77168494,220.0297079,103.1344651,28.38773986,84.58725669,39.77616727
YOL088C,273.5886676,795.7236652,665.5190843,153.9945066,436.3681077,311.9543127
YMR187C,85.95224371,407.718333,308.8414029,36.55941435,104.6945711,71.5488204
YER091C,801.2917136,352.5507496,213.8770989,3104.688306,1208.420068,943.1894947
YLR278C,163.0123467,245.3696716,243.362405,126.4083401,193.646227,181.3798786
YHR146W,663.8887134,637.5038507,726.0290129,612.5108635,508.0887691,586.0308765
YAL065C,134.5664591,78.69591625,54.70650549,108.9216518,94.98303908,65.0151974
YKL129C,108.225024,480.2049363,313.9583863,140.7503887,548.4771309,297.412451
YHR204W,234.5698975,254.153687,246.8891817,59.73820894,51.32340118,46.12241063
YGL196W,184.3089147,337.4781727,321.8106661,91.63051725,154.1664905,165.0732585
YDR523C,3.286683801,2.528194443,9.189534972,0.798843834,0.931430993,4.522963826
YHR141C,3895.168208,1949.464726,3280.793369,2731.267323,989.5513641,2042.770656
YMR170C,108.7530554,317.4949919,202.2982246,71.79972984,311.611807,166.3044482
YPL028W,3478.723681,6041.279169,5625.535608,3004.309428,5100.154102,4995.802451
YLR078C,341.2457804,775.0711276,726.7953816,136.4277215,300.1434251,280.0277083
YER063W,208.8742334,234.6454512,323.0910457,277.8739022,262.2923149,388.9277151
YJL053W,159.9640682,524.1491595,394.6512507,114.4560723,346.5999845,243.1441288
YHR012W,393.3112323,656.5418906,554.6998971,162.8542473,321.6006433,243.6197109
YLR207W,121.5242557,404.9391536,322.3928291,177.6143091,546.9923453,275.2723946
YBR296C,6.968365471,82.07853003,30.97237993,10.32094625,72.89798495,23.29268542
YGR088W,20.04945043,58.67258706,54.24332844,5.561704465,24.54960671,23.31058997
YJL070C,80.51183373,246.3188445,173.3076996,40.41946562,114.388443,80.79451451
YER144C,113.1560762,406.8191955,288.4786452,69.54358405,265.7055299,180.3919689
YMR191W,323.3224011,1523.032622,1400.024522,142.0845197,650.3957006,579.232584
YOR077W,58.40043936,96.16880424,79.03014633,33.53031331,61.81970767,54.36466383
YHR001W,454.3631868,417.8241663,469.4803869,222.0211086,220.7189542,243.8482733
YHR158C,179.4272826,181.1611164,188.9380088,199.6005376,239.7745069,223.534972
YBR233W,108.440545,310.4703515,368.091195,148.9625679,475.0559214,511.0189909
YDR406W,76.09245736,237.275755,140.1089629,14.33591884,38.62590976,23.13397919
YHR073W,430.2665689,665.1183887,595.8653986,151.3153081,253.2472639,229.0249016
YPR138C,245.4269923,161.8184673,191.5984307,43.9402187,59.61674985,62.09333892
YML012W,1916.297783,3892.685807,4193.220109,654.4798087,1480.337468,1297.838761
YDR476C,76.82082572,401.7128727,298.670356,127.0009317,664.1524367,488.3234732
YIL136W,115.3634999,202.6890137,175.6382052,55.29890017,107.7755396,79.36478262
YNL079C,2343.819825,4748.028116,4817.28123,1680.335195,3416.361465,3207.153451
YHR199C-A,14.68974362,16.61720018,12.08011058,6.300724826,14.99906366,12.9723616
YOL153C,41.13907794,195.0613487,51.39981447,36.10766199,179.2744834,36.76199085
YKL106W,558.8116264,710.0746709,810.0487782,209.2649519,304.7631037,329.3270649
YEL067C,6.554016268,8.102416154,6.402355368,1.706768826,2.736315667,2.635508966
YMR319C,158.5398392,1091.408414,83.50689405,25.04435082,192.1244164,14.73229027
YOR237W,14.32057965,80.71138081,18.68096157,0,29.26720715,2.480631503
YKL086W,3.487549096,10.53919723,2.044108018,9.082125876,19.32587573,8.414504817
YOR313C,69.24314564,8.590879904,79.83074834,6.921962521,0.949509064,7.544863108
YHR154W,189.2045349,113.7035751,111.7359081,146.9756413,87.51281853,92.79839595
YJR019C,47.4831791,72.87887548,94.51096023,38.19911181,71.0731342,110.022041
YOL112W,310.2095132,527.0377522,482.1677538,33.14630924,50.05579309,60.43283351
YDR063W,189.1683996,271.2041075,298.5085628,140.5873788,229.3865881,214.812599
YDL227C,32.64016772,27.40911287,39.67894864,21.02336444,11.33133895,15.10868305
YDR238C,1384.772172,3550.664361,2886.267666,1405.917905,3818.562523,3133.400017
YHR203C,3089.781795,1713.013793,2160.828593,3744.973791,1923.783598,2934.532478
YOR172W,207.9038264,510.9621297,452.0572699,48.74974637,123.5373389,121.0097604
YMR022W,238.5019058,645.0097599,644.0725353,233.0667506,716.2002179,535.4629215
YJL042W,96.8791746,169.2743235,142.4146596,110.0845165,204.7794421,198.2182055
YHR168W,99.76925309,105.108984,91.37761702,67.11389466,53.85934801,54.16262266
YPL218W,1287.950406,2288.312562,2614.175452,1284.75185,2355.512226,2340.706262
YHR201C,617.8922761,788.4027417,734.8629162,263.4363865,334.2069357,300.2613367
YDR127W,1527.741866,904.8781676,1142.342487,7702.130847,4096.392363,6395.717246
YJL171C,379.5940192,1804.310225,1308.480578,683.4926827,3264.891332,1692.985256
YMR281W,96.04813459,181.0293861,177.6020562,76.26745079,167.5726377,117.3463591
YMR305C,772.3183364,1713.150799,2106.189167,1314.574437,1698.984887,3301.890068
YOR254C,1511.584758,3500.950619,3296.928808,835.1384937,2182.875793,1730.420377
YKL091C,105.3528583,289.2122062,148.4842962,49.54776593,168.3009725,90.20923867
YFR046C,102.7851846,152.5248602,176.4724176,57.18378318,112.7797044,111.0539334
YOR378W,15.52503022,117.5299292,8.572581032,9.566444887,111.774622,5.33434649
YOR300W,31.30015287,52.66802928,39.71464836,3.328346093,9.979108428,6.363152458
YNR019W,393.3025938,1077.779774,798.6644601,692.4371804,2585.085172,1417.902097
YHR020W,2204.970869,1346.060582,1393.193387,3403.482445,2073.905405,2470.233186
YDR012W,1120.889869,650.4255105,1048.523495,1258.651578,607.7776001,1226.823073
YHR167W,172.4889233,159.2890588,164.7333559,85.45243698,79.56314318,89.67575968
YOR069W,361.7140747,1093.795709,890.6242515,182.0183147,548.7559169,462.1395802
YGR010W,121.0879001,280.5378037,279.7342796,67.38994766,150.3274559,169.9027832
YNL212W,327.6431391,693.5409902,797.2528614,268.5525217,481.378431,635.8918419
YPL041C,47.90477297,123.2042604,82.90054032,35.18478366,90.69882444,47.13017858
YER153C,22.57946217,74.34309849,45.12395633,14.13586999,38.05415466,34.66787175
YPL077C,64.17839922,101.3797561,109.9222555,21.72698274,50.17901102,52.90536616
YLR080W,16.28579189,99.66912129,64.61034661,16.44849794,79.05291514,25.60546191
YMR226C,1257.888495,2838.757451,2368.27635,1105.931704,2373.072014,1758.661195
YHR156C,87.75017215,111.2110005,98.32672983,33.37601684,41.05117175,37.71044872
YNR026C,247.3623283,721.3470559,635.9640625,248.0656096,740.8225031,560.1602875
YHR005C-A,1301.597885,694.4357087,882.4279653,669.7085982,455.4086537,493.5171039
YBR147W,93.20484689,23.55109186,29.05068749,28.84417546,8.52306487,5.694581874
YFL050C,118.3586418,163.6727306,108.5004283,3.530571567,2.515671887,2.826826067
YOL107W,60.26448396,189.5051176,163.4113663,66.72779174,207.7905593,152.4624259
YLR218C,113.8700706,165.1659532,139.8248879,58.73927739,155.2576728,95.93077458
YBR073W,298.9018645,323.5959918,275.7686646,221.6838104,253.0333944,179.7249319
YKL065C,524.4314531,2516.806939,1713.380974,210.3689902,1097.105206,615.6270525
YNL010W,1405.668908,1923.953153,1938.587848,851.6299462,1386.224862,1317.840088
YER040W,124.04114,127.1650715,169.442108,124.0879578,124.9328894,167.4818202
YIL116W,2118.304752,1405.690341,1684.763882,1023.9627,851.1464442,861.9177302
YHL003C,793.5121067,654.4424905,666.6751403,348.7388635,308.4868263,279.4093209
YDR517W,428.6447567,697.2458747,594.1134086,223.078149,346.4896691,328.4204472
YNR030W,310.7766565,844.8767406,786.2112043,327.586476,979.9243113,863.5346028
YMR169C,55.79885134,160.3255029,94.96445257,0.797774776,16.27822872,9.033821876
YHR129C,133.4659359,219.7835438,173.4324148,27.07783731,30.39398772,30.78714584
YHL018W,9.820524507,22.27514118,11.47913383,25.24631479,53.25338045,24.57181203
YNR058W,52.85271162,62.8389698,67.18286907,7.995496797,10.48785738,6.173127603
YGL026C,1559.719117,1350.596889,1420.277002,2926.02854,2582.085903,3021.083178
YPR154W,55.82398078,228.7371812,138.5404638,113.162825,495.2856719,302.970471
YIL111W,45.9863921,105.6559966,51.4162852,13.67737195,43.21246559,14.07995267
YIL056W,166.6225319,172.9376692,147.761792,240.4591545,252.2399431,221.4803358
YGL166W,181.9383711,584.4606357,462.9495344,55.48638832,197.7629182,152.7516001
YHL031C,146.0924059,141.137886,146.6647503,249.0639461,252.6301523,235.1730354
YLR280C,15.97205353,34.85931159,14.09999896,3.235068452,17.51288083,11.41813605
YHR153C,25.47021574,12.13283933,9.800156142,6.815399766,3.724958278,3.508002358
YGR268C,58.41792601,238.6125069,142.315311,53.67127316,257.0221212,150.8441014
YOR219C,143.0544538,421.1210409,340.953351,79.8771477,307.9378917,184.610499
YDR075W,126.0751745,150.8289476,198.9550581,65.95653312,80.96371793,107.1184297
YLR327C,9.552533612,83.45266524,13.68618032,4.975259721,140.0946947,20.99897763
YPL066W,99.13520768,119.3626572,139.9769621,19.59073783,51.97785785,47.33158961
YHR166C,180.2034172,236.9427107,216.7544823,54.61717626,87.67838762,73.74409815
YOR181W,38.19791296,71.16130553,57.97805278,177.2434552,434.3114861,322.1567344
YHR143W-A,411.1218671,329.4683561,334.8166268,337.1138207,330.2499782,334.4069613
YMR303C,29.43130642,22.72500753,14.63649685,70.31483129,87.19818714,70.29244584
YGL080W,210.6018041,428.6127003,460.0175319,186.3017095,452.3719924,332.8313318
YHR011W,84.05220116,105.5720209,93.88595309,68.98892885,71.08587934,62.76146612
YLR408C,20.08001135,42.71789012,47.82877868,26.08038808,59.75111492,48.04386111
