Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YJR052W	250353	570608	460778	232533	309875	178494	248768	256036	224431
YJR053W	111	131	162	69	134	105	106	109	49
YJR054W	138	196	227	130	208	163	179	164	91
YJR055W	265	267	314	216	314	214	233	283	263
YJR056C	80	105	110	50	77	39	71	87	77
YJR057W	200	354	312	167	250	150	187	262	215
YJR058C	273	460	400	250	372	231	212	353	189
YJR059W	464	721	655	325	512	402	441	615	362
YJR060W	153	270	207	104	193	112	135	196	122
YJR061W	197	487	388	275	317	237	369	432	298
YJR062C	184	300	310	162	243	201	224	267	142
YJR063W	206	381	386	176	294	147	314	418	257
YJR064W	2242	3836	3571	2016	2600	1844	2566	2762	1901
YJR065C	1045	2215	1491	1050	1403	964	1148	1297	822
YJR066W	1471	2077	1955	1095	1723	1037	1337	1554	973
YJR067C	122	224	156	107	138	80	138	148	102
YJR068W	362	690	621	327	481	349	434	541	410
YJR069C	308	491	412	289	326	258	373	406	279
YJR070C	2025	3162	2797	1478	1889	1272	2006	2404	1745
YJR072C	949	1613	1471	669	1115	719	1080	1147	812
YJR073C	3798	6980	5469	2885	4092	2941	4389	5829	3261
YJR074W	776	1057	867	546	826	518	699	677	477
YJR075W	598	1076	792	442	688	422	570	645	457
YJR076C	1301	2346	2219	1030	1693	1021	1222	1514	1076
YJR077C	7218	13518	11255	6513	9412	6812	7863	9322	6503
YJR078W	250	403	381	194	295	186	334	377	286
YJR079W	25	55	63	40	41	24	48	29	34
YJR080C	531	967	892	461	669	413	551	726	457
YJR082C	66	118	88	46	74	42	71	81	80
YJR083C	34	82	47	24	64	38	67	83	48
YJR084W	201	325	277	177	211	102	185	224	116
YJR085C	374	757	516	304	495	353	323	433	241
YJR086W	78	94	124	61	93	80	79	118	88
YJR088C	471	701	695	393	467	385	522	550	399
YJR089W	273	574	412	282	332	255	331	388	276
YJR090C	602	1110	874	417	834	546	615	769	502
YJR091C	617	1201	1029	617	883	551	811	1003	606
YJR092W	1054	1871	1788	884	1349	985	1124	1368	915
YJR093C	159	256	225	149	190	168	236	253	165
YJR094C	29	27	37	19	9	15	22	40	23
YJR094W-A	4515	8294	6496	3738	5548	4115	5435	6553	4105
YJR095W	11	23	15	10	9	10	14	16	25
YJR096W	125	225	202	120	164	124	166	176	119
YJR097W	57	179	142	83	115	107	162	108	49
YJR098C	101	198	206	113	148	85	180	192	98
YJR099W	86	230	173	95	156	93	104	197	82
YJR100C	188	360	353	167	247	181	262	245	173
YJR101W	650	946	852	439	757	642	702	788	511
YJR102C	46	137	92	54	87	68	66	89	80
YJR103W	394	650	562	330	478	349	408	484	288
YJR104C	5829	10423	8251	4909	7630	5167	6381	7338	4595
YJR105W	3057	6246	4845	2602	3626	2553	3698	4520	2931
YJR106W	161	279	258	107	146	125	152	253	161
YJR107W	57	91	120	49	80	51	97	90	50
YJR108W	11	6	7	14	20	11	5	17	8
YJR109C	6060	10753	9113	4539	6200	4621	3630	4186	2830
YJR110W	179	276	273	131	227	95	153	224	121
YJR111C	106	206	194	144	150	73	87	110	82
YJR112W	108	194	174	98	121	120	124	171	102
YJR112W-A	96	145	214	69	91	109	125	151	66
YJR113C	1082	1903	1753	955	1335	953	1164	1311	1112
YJR115W	20	36	40	9	45	12	22	35	32
YJR116W	51	108	144	44	90	40	111	121	68
YJR117W	1001	1890	1704	797	1481	902	1046	1310	887
YJR118C	163	273	211	142	175	157	181	231	164
YJR119C	130	215	200	107	184	126	177	210	124
YJR120W	434	1241	876	810	865	659	576	729	470
YJR121W	16145	33125	26126	15894	23486	16811	17818	20861	14212
YJR122W	443	753	733	391	570	428	538	607	383
YJR123W	11501	21797	17738	9995	13721	10870	13232	16826	9926
YJR124C	233	328	271	175	270	181	198	232	167
YJR125C	425	684	631	369	516	441	448	509	306
YJR126C	547	1029	876	581	815	526	716	837	578
YJR127C	450	903	712	438	676	458	547	629	341
YJR129C	225	279	273	135	221	142	229	267	214
YJR130C	477	888	749	451	727	394	357	572	350
YJR131W	360	599	464	236	338	267	294	315	206
YJR132W	958	1255	1068	567	872	590	752	1047	722
YJR133W	749	1443	1193	719	957	697	893	1170	701
YJR134C	295	543	535	260	437	310	384	444	348
YJR135C	65	130	95	61	88	84	105	141	101
YJR135W-A	258	493	405	238	286	203	231	399	214
YJR136C	184	289	296	185	180	153	177	245	226
YJR137C	12723	23013	19125	10448	14526	10794	12683	16005	10014
YJR138W	547	976	901	430	678	446	531	694	506
YJR139C	4125	7789	6553	3697	5001	3630	4667	5112	3606
YJR140C	1022	1455	1412	691	1060	693	877	1038	685
YJR141W	94	135	172	67	147	109	106	173	58
YJR142W	138	287	205	145	158	155	214	180	116
YJR143C	1880	3816	3043	1881	2270	1906	2142	2603	1594
YJR144W	617	1054	846	498	699	500	541	648	461
YJR145C	25959	45211	38226	21809	29572	21609	28868	34189	22035
YJR146W	169	284	202	141	200	179	212	224	140
YJR147W	239	466	343	250	347	281	327	370	245
YJR148W	335	571	534	280	399	283	344	461	352
YJR149W	183	262	269	154	218	131	138	224	149
YJR150C	6	0	0	0	0	2	0	3	0
YJR151C	147	273	133	104	188	81	104	142	76
YJR151W-A	0	0	0	0	1	0	0	0	1
YJR152W	75	158	144	65	141	68	78	95	51
YJR153W	0	3	3	0	2	1	3	2	0
YJR154W	65	62	83	41	60	51	28	71	53
YJR155W	80	138	116	86	86	115	79	99	77
YJR156C	30	67	50	21	34	31	23	23	29
YJR158W	11	24	2	6	16	8	11	8	11
YJR159W	108	202	146	109	173	154	102	97	64
YJR160C	70	72	70	48	78	49	56	66	73
YJR161C	488	788	650	360	520	427	494	600	411
YKL001C	2706	4662	3944	2096	2957	2216	3511	4541	2861
YKL002W	632	959	982	536	821	521	574	699	594
YKL003C	533	746	636	371	528	372	550	567	304
YKL004W	836	1432	1125	837	919	710	824	943	714
YKL005C	271	506	553	301	412	363	332	452	250
YKL006C-A	115	243	222	114	177	132	170	172	104
YKL006W	8996	17070	14120	8101	11448	9140	11181	12792	8390
YKL007W	504	1095	759	566	677	464	503	563	375
YKL008C	235	393	362	238	288	193	264	278	183
YKL009W	727	1198	1084	647	831	624	909	915	598
YKL010C	1164	2081	1852	947	1404	923	1424	1497	1029
YKL011C	82	177	120	50	106	63	87	97	53
YKL012W	278	498	402	231	336	272	415	371	269
YKL013C	814	1505	1199	735	910	659	1033	1230	858
YKL014C	1219	2204	2011	1035	1550	1083	1263	1538	998
YKL015W	565	1042	934	474	798	606	570	757	475
YKL016C	2276	4054	3575	2059	2831	2237	2460	3131	2291
YKL017C	296	420	429	238	383	306	285	412	271
YKL018C-A	153	245	208	129	178	103	134	182	137
YKL018W	191	311	320	177	196	158	185	267	158
YKL019W	545	1081	842	552	763	539	674	766	494
YKL020C	906	1346	1355	630	1056	619	824	968	775
YKL021C	332	558	527	327	346	313	394	422	279
YKL022C	416	795	627	418	568	387	428	463	307
YKL023C-A	381	589	444	255	353	273	422	544	313
YKL023W	216	369	247	135	267	163	193	334	160
YKL024C	848	1629	1218	730	1074	726	1162	1435	881
YKL025C	492	848	706	483	537	470	418	521	274
YKL026C	36	62	47	22	42	20	49	77	36
YKL027W	432	776	586	360	497	387	367	505	371
YKL028W	483	809	729	392	652	447	496	702	458
YKL029C	2445	4249	3328	1765	2518	1821	2527	2930	2001
YKL032C	364	659	580	316	532	387	394	425	306
YKL033W	345	641	428	279	395	378	407	411	269
YKL033W-A	339	669	559	329	382	361	347	458	301
YKL034W	352	759	567	294	397	351	384	438	301
YKL035W	1364	2504	2186	1076	1856	1110	1492	1849	1148
YKL037W	36	29	8	18	24	17	21	42	16
YKL038W	652	1033	947	462	816	538	694	886	550
YKL039W	763	1484	1140	715	1002	724	892	1047	632
YKL040C	411	803	702	394	573	387	479	543	346
YKL041W	227	479	369	144	276	234	238	305	201
YKL042W	102	176	134	78	120	82	158	155	132
YKL043W	833	1502	1255	713	1012	827	832	1205	771
YKL044W	117	199	149	86	132	129	109	165	86
YKL045W	237	411	388	200	307	166	329	358	234
YKL046C	809	1745	1314	826	969	821	921	1007	751
YKL047W	210	411	382	224	313	208	292	267	169
YKL048C	280	291	294	171	230	151	217	288	172
YKL049C	151	226	225	111	151	118	157	250	139
YKL050C	67	211	180	82	153	108	99	121	66
YKL051W	330	588	418	297	371	250	204	227	171
YKL052C	296	478	490	271	362	238	264	316	251
YKL053C-A	463	995	699	455	701	483	642	825	564
YKL054C	1381	2819	2368	1281	1690	1228	1870	2309	1448
YKL055C	61	115	75	82	74	65	55	65	39
YKL056C	10943	18338	15388	8810	11734	8516	14437	18088	11558
YKL057C	836	1315	1160	688	940	696	846	934	618
YKL058W	277	510	461	301	456	309	402	495	387
YKL059C	213	402	306	198	278	210	240	218	133
YKL060C	41828	76172	66287	36911	46101	35056	49967	63104	38536
YKL061W	165	283	275	151	181	156	167	239	201
YKL062W	473	909	696	439	600	403	553	622	355
YKL063C	146	206	211	118	155	145	182	232	111
YKL064W	759	1468	1054	712	1024	685	987	1047	700
YKL065C	305	478	502	251	373	250	438	532	342
YKL065W-A	7	14	12	3	11	5	5	12	12
YKL067W	694	1352	990	651	873	695	978	982	779
YKL068W	772	1479	1194	597	844	658	929	939	665
YKL068W-A	292	441	346	218	268	223	330	393	244
YKL069W	401	637	448	370	504	316	376	487	343
YKL070W	7	2	9	0	0	0	0	3	0
YKL071W	9	12	16	8	21	14	22	17	1
YKL072W	207	406	361	171	276	203	240	277	147
YKL073W	755	1196	1023	616	831	489	888	1131	711
YKL074C	221	391	380	188	282	202	231	287	196
YKL075C	271	448	458	222	416	233	337	385	280
YKL077W	791	1288	1095	634	857	666	848	920	562
YKL078W	321	442	444	209	348	232	286	301	200
YKL079W	292	565	452	275	306	232	306	335	258
YKL080W	1795	3388	2821	1663	2105	1629	1709	2185	1424
YKL081W	7441	13482	10373	6537	7785	6131	7860	9412	5806
YKL082C	294	496	401	211	326	186	432	502	291
YKL084W	102	236	119	76	178	123	152	113	67
YKL085W	1573	3911	2896	1849	2861	2092	2128	2772	1544
YKL086W	10	25	15	15	15	15	19	9	19
YKL087C	695	1091	962	458	862	511	599	801	484
YKL088W	252	456	403	260	307	243	310	391	196
YKL089W	149	297	284	99	157	107	154	229	106
YKL090W	46	153	125	100	92	60	81	72	68
YKL091C	150	246	249	130	259	104	179	184	120
YKL092C	465	727	627	299	530	311	443	503	315
YKL093W	33	85	34	25	70	37	47	48	53
YKL094W	527	1029	893	498	775	521	520	705	400
YKL095W	99	169	159	113	164	47	85	199	98
YKL096C-B	2	3	3	0	0	0	0	1	0
YKL096W	227	315	283	215	195	126	141	104	81
YKL096W-A	3619	6239	4938	3605	3333	2768	5450	6835	5221
YKL098W	231	445	411	197	313	170	214	328	218
YKL099C	162	254	237	115	169	98	219	205	143
YKL100C	660	1069	945	599	840	623	648	788	491
YKL101W	1277	2137	1905	1168	1711	1038	1282	1661	993
YKL103C	1016	1656	1600	875	1297	783	795	934	711
YKL104C	1482	2777	2324	1396	1757	1327	1664	2137	1428
YKL105C	298	549	552	227	363	270	486	475	355
YKL106C-A	6	3	10	0	3	5	0	11	4
YKL106W	469	888	737	379	589	396	448	673	417
YKL107W	8	14	21	14	9	12	13	5	6
YKL108W	114	169	118	76	131	75	89	124	90
YKL109W	1281	2122	2061	1210	1875	1366	1497	1765	1094
YKL110C	211	323	282	206	312	195	222	273	167
YKL112W	867	1429	1312	700	1027	713	974	1092	704
YKL113C	445	808	687	357	472	367	461	572	349
YKL114C	521	856	714	374	509	401	429	441	362
YKL116C	432	738	647	281	599	357	519	671	385
YKL117W	2400	4494	3706	1838	2883	2327	2440	3027	2113
YKL119C	195	309	288	138	219	113	300	431	268
YKL120W	770	1443	1209	748	953	589	962	1081	652
YKL121W	207	250	206	134	240	167	209	245	150
YKL122C	118	220	225	102	148	122	202	321	200
YKL124W	161	368	341	133	240	186	170	212	133
YKL125W	222	409	342	206	259	236	274	282	189
YKL126W	744	1467	1231	648	1023	721	728	894	503
YKL127W	1002	1492	1340	601	1193	775	910	918	756
YKL128C	398	728	508	308	480	335	470	476	347
YKL129C	470	832	683	371	585	466	542	701	386
YKL130C	214	380	372	180	234	209	200	257	168
YKL132C	41	118	83	46	74	73	50	97	40
YKL133C	56	89	61	48	93	59	55	66	62
YKL134C	364	660	608	352	512	367	301	407	343
YKL135C	646	1033	899	497	807	503	625	715	432
YKL137W	229	409	296	202	251	199	234	218	146
YKL138C	182	402	247	127	222	226	245	243	126
YKL138C-A	172	264	220	107	133	140	153	139	80
YKL139W	140	282	239	131	265	155	197	199	125
YKL140W	182	344	272	194	234	155	232	269	172
YKL141W	1176	2150	1686	1089	1544	1098	1104	1403	798
YKL142W	454	922	779	466	637	448	511	620	398
YKL143W	316	576	548	245	374	271	402	445	339
YKL144C	166	293	278	118	202	161	167	193	132
YKL145W	3095	5378	4599	2586	3885	2552	2696	3149	2204
YKL146W	753	1475	1143	597	906	644	653	808	638
YKL148C	4299	7448	7048	4088	6586	4443	4987	5647	3878
YKL149C	138	253	250	113	151	160	140	188	113
YKL150W	904	1932	1504	858	1294	954	927	964	590
YKL151C	215	341	298	171	293	189	281	390	207
YKL152C	19240	33895	29327	15003	21050	15113	26881	32915	21316
YKL154W	181	335	281	209	271	206	259	270	193
YKL155C	550	961	777	444	677	469	580	649	415
YKL156W	1918	2697	2251	1470	1533	1508	1564	1938	1457
YKL157W	1729	3254	2899	1555	2396	1604	2335	2590	1815
YKL159C	52	64	53	31	76	54	92	72	51
YKL160W	785	1220	1176	560	1047	667	809	1021	699
YKL161C	69	150	116	80	102	64	70	93	63
YKL162C	60	139	123	56	115	61	61	77	65
YKL163W	97	334	152	140	178	126	166	162	113
YKL164C	2202	4052	3544	1995	2402	1789	2598	3100	2191
YKL165C	624	1020	942	536	639	523	789	788	526
YKL166C	269	383	436	209	269	208	254	302	134
YKL167C	298	513	467	272	427	266	250	347	262
YKL168C	170	317	276	162	248	191	251	231	142
YKL170W	475	780	700	364	553	331	456	569	437
YKL171W	316	426	385	237	326	264	315	328	248
YKL172W	752	1228	1138	519	797	652	1017	1099	761
YKL173W	578	903	880	479	657	484	599	678	527
YKL174C	292	661	415	295	355	318	343	359	238
YKL175W	406	811	751	395	557	381	474	511	348
YKL176C	746	1480	1217	666	1083	720	1104	1212	706
YKL178C	56	46	35	33	44	26	36	67	26
YKL179C	465	793	669	331	511	342	550	614	423
YKL180W	6636	12427	9903	5709	7193	6381	7382	9306	5626
YKL181W	2368	3789	3637	1887	2730	1969	2691	3109	2063
YKL182W	25551	43144	37193	19445	26591	17409	27079	34308	22398
YKL183C-A	2	2	6	0	1	6	1	1	2
YKL183W	312	609	470	254	368	227	258	315	222
YKL184W	812	1425	1232	683	1026	707	910	1037	795
YKL185W	460	735	489	422	467	323	595	652	445
YKL186C	251	399	363	230	303	211	235	261	157
YKL187C	101	186	166	102	157	73	72	132	67
YKL188C	63	167	135	67	98	88	103	110	74
YKL189W	102	212	177	127	195	85	137	126	82
YKL190W	524	1019	896	529	881	542	640	748	498
YKL191W	1019	2025	1748	837	1401	845	1149	1274	953
YKL192C	1204	2099	1719	1015	1483	1023	1267	1496	937
YKL193C	517	913	674	476	681	529	697	697	529
YKL194C	358	732	593	307	511	362	547	613	351
YKL195W	1357	2230	2000	990	1502	1089	1494	1742	1131
YKL196C	616	1139	952	570	709	638	802	795	515
YKL197C	307	583	554	281	360	252	331	361	211
YKL198C	140	338	316	199	267	194	230	245	166
YKL201C	680	1095	1079	655	988	584	823	834	632
YKL203C	1172	1983	1720	1051	1316	986	1139	1320	887
YKL204W	524	870	920	418	652	464	713	719	489
YKL205W	619	1101	852	532	600	494	718	658	444
YKL206C	285	534	392	207	327	211	260	270	207
YKL207W	517	1032	800	544	656	495	611	651	458
YKL208W	119	255	261	114	141	75	140	135	86
YKL209C	1730	2971	2529	1486	2021	1381	1965	2509	1598
YKL210W	7232	13477	11395	6095	8597	6076	5472	6646	4198
YKL211C	973	1891	1626	884	1239	884	1138	1350	805
YKL212W	1587	2815	2482	1289	1904	1342	2017	2267	1537
YKL213C	858	1388	1205	680	1060	753	855	1061	596
YKL214C	163	303	241	157	174	146	176	200	144
YKL215C	697	1285	1118	591	869	622	778	813	558
YKL216W	737	1406	1272	706	825	663	859	1065	747
YKL217W	113	262	207	151	332	228	170	181	140
YKL218C	263	501	427	291	399	308	286	323	196
YKL219W	134	266	225	124	172	113	130	174	127
YKL220C	40	53	56	39	35	41	53	47	45
YKL221W	13	25	20	1	20	20	11	18	9
YKL222C	74	154	173	84	131	75	118	187	85
YKL224C	20	51	33	13	19	17	16	9	22
YKR001C	2070	3473	3020	1596	2222	1549	2244	2916	1978
YKR002W	465	861	668	485	523	391	486	593	301
YKR003W	298	635	598	289	480	334	439	522	339
YKR004C	130	170	185	118	162	116	99	173	103
YKR005C	25	114	50	51	61	25	52	71	23
YKR006C	580	1122	842	513	727	527	613	767	537
YKR007W	139	279	158	105	163	121	158	158	127
YKR008W	350	642	549	271	368	282	334	474	259
YKR009C	137	149	173	98	181	137	108	116	80
YKR010C	259	411	338	168	205	173	249	270	181
YKR011C	258	431	452	280	409	278	343	387	256
YKR013W	873	1439	1263	795	944	604	1105	1268	866
YKR014C	280	526	477	243	373	361	378	517	267
YKR015C	13	30	26	22	29	15	0	22	7
YKR016W	1549	2699	2310	1114	1889	1289	1665	2294	1458
YKR017C	126	198	197	94	132	91	111	171	54
YKR018C	1635	2977	2437	1317	2171	1433	1433	1676	1203
YKR019C	131	212	192	131	173	154	136	168	130
YKR020W	117	165	167	82	92	92	125	151	89
YKR021W	294	543	463	228	341	274	318	343	244
YKR022C	55	98	117	53	87	68	112	88	48
YKR023W	100	158	169	103	140	112	115	207	118
YKR024C	388	661	642	264	419	379	474	457	297
YKR025W	217	323	316	151	260	128	197	249	155
YKR026C	246	373	282	166	224	162	274	233	187
YKR027W	369	514	527	289	383	293	319	346	236
YKR028W	1528	2514	2056	1170	1783	1186	1492	1681	1110
YKR029C	230	326	298	190	262	137	261	281	215
YKR030W	94	232	173	100	177	117	102	133	90
YKR031C	1096	1843	1668	817	1442	942	954	1205	900
YKR034W	55	57	40	28	44	43	51	52	48
YKR035W-A	240	419	341	199	313	297	367	423	243
YKR036C	457	730	767	290	517	327	473	457	297
YKR037C	110	323	202	144	193	130	173	172	117
YKR038C	88991	267651	164815	112684	131891	88364	99088	122917	104278
YKR039W	1775	3104	2516	1534	1719	1159	1250	1650	926
YKR041W	74516	170498	129739	78581	114701	65315	94105	85705	74131
YKR042W	4477	7003	6278	3500	4672	3023	6114	7458	4723
YKR043C	922	1765	1376	729	1255	868	944	1117	725
YKR044W	143	275	219	91	168	125	147	195	72
YKR045C	153	211	137	179	224	150	170	162	101
YKR046C	1682	3178	2717	1398	2153	1448	1549	1538	1221
YKR048C	2426	4063	3792	1851	2846	1875	2030	2328	1670
YKR049C	187	404	384	213	281	244	238	250	204
YKR050W	226	330	308	222	293	185	317	426	256
YKR051W	104	167	183	78	86	131	94	140	79
YKR052C	117	147	166	86	129	94	108	110	81
YKR053C	80	175	96	96	109	65	138	96	70
YKR054C	1981	3469	3210	1717	2542	1623	2112	2373	1541
YKR055W	140	276	292	127	193	164	190	197	146
YKR056W	687	1129	1060	560	813	508	797	819	552
YKR057W	8411	14929	12391	6851	9339	6866	9164	11223	7485
YKR058W	136	252	196	93	167	122	113	166	96
YKR059W	15671	28891	23616	12515	18021	11834	15888	19531	13411
YKR060W	207	309	274	131	145	177	202	239	183
YKR061W	99	116	127	73	97	81	91	123	83
YKR062W	303	568	436	314	400	360	333	443	228
YKR063C	210	381	371	170	246	217	275	308	191
YKR064W	195	407	340	232	263	193	256	327	220
YKR065C	447	828	577	405	525	431	599	684	478
YKR066C	617	1070	1004	613	820	559	622	689	432
YKR067W	589	1152	824	460	676	443	505	578	436
YKR068C	354	554	491	280	396	269	282	404	277
YKR069W	1261	2387	1806	1020	1448	1217	1432	1754	1124
YKR070W	371	610	478	275	459	361	313	380	235
YKR071C	1267	2201	1826	1000	1461	912	1079	1429	888
YKR072C	577	943	843	497	686	464	627	691	360
YKR074W	491	1201	827	509	748	567	575	754	427
YKR075C	101	149	94	51	110	56	75	100	62
YKR076W	197	408	338	160	278	200	192	238	185
YKR077W	183	211	208	157	122	102	145	195	97
YKR078W	86	103	128	56	104	96	64	93	75
YKR079C	477	811	688	424	582	415	517	571	373
YKR080W	1372	2430	2080	1270	1484	990	1335	1836	1061
YKR081C	740	1177	1134	626	849	681	823	956	610
YKR082W	942	1747	1427	794	1181	833	975	1106	736
YKR083C	75	242	204	77	113	81	67	124	69
YKR084C	696	1156	1102	499	870	553	733	786	548
YKR085C	551	1357	1152	612	937	642	817	989	531
YKR086W	379	463	492	222	425	264	341	373	237
YKR087C	205	355	313	197	273	164	201	242	125
YKR088C	284	556	500	284	419	278	294	390	277
YKR089C	419	742	637	400	521	434	580	635	321
YKR090W	293	417	376	225	264	265	347	405	257
YKR091W	24	50	56	19	38	35	37	88	32
YKR092C	1217	2095	1834	840	1302	904	1097	1228	1192
YKR093W	1028	1530	1111	670	862	510	685	728	514
YKR094C	9956	17139	15466	8406	11280	9128	11000	14143	9239
YKR095W	1434	2110	2256	985	1571	1108	1464	1917	1172
YKR095W-A	136	225	261	161	181	155	240	242	174
YKR096W	538	844	825	414	811	555	573	767	443
YKR097W	28	36	25	14	17	8	31	29	9
YKR098C	140	305	223	160	209	162	138	190	143
YKR099W	286	477	436	276	278	240	285	349	258
YKR100C	401	719	566	355	501	358	430	614	324
YKR101W	135	241	176	122	120	105	139	155	104
YKR102W	141	309	337	165	334	141	157	238	271
YKR103W	140	300	156	103	161	104	167	189	71
YKR104W	46	113	40	46	56	31	31	46	31
YKR105C	6	2	8	0	1	5	1	0	1
YKR106W	48	99	67	48	42	32	45	67	16
YLL001W	1420	2622	2196	1313	2129	1482	1601	1649	1163
YLL002W	53	150	114	66	72	62	84	130	58
YLL003W	211	379	273	174	292	185	266	324	145
YLL004W	184	285	322	163	222	157	226	209	127
YLL005C	3	4	1	0	1	0	1	0	0
YLL006W	233	374	347	180	288	187	280	268	236
YLL006W-A	45	85	73	20	58	19	59	60	70
YLL007C	120	259	163	98	128	95	103	141	105
YLL008W	1154	1757	1634	786	1216	765	1101	1100	912
YLL009C	516	801	861	420	683	446	571	716	532
YLL010C	201	361	285	202	277	160	240	266	192
YLL011W	687	1263	958	552	801	562	723	854	512
YLL012W	501	857	714	425	589	387	536	546	351
YLL013C	1443	2330	1945	1154	1699	1058	1634	1993	1459
YLL014W	449	735	570	363	395	365	431	515	317
YLL015W	905	1428	1295	663	984	638	821	1072	744
YLL018C	3568	6225	5452	2848	4518	3144	3141	3677	2483
YLL018C-A	70	115	85	58	61	58	78	101	67
YLL019C	767	1323	1194	635	1015	659	877	1077	651
YLL021W	1221	2137	1872	964	1404	1022	1246	1465	990
YLL022C	244	428	347	206	293	233	291	321	207
YLL023C	199	394	347	177	241	161	209	242	182
YLL024C	40523	69779	63050	31897	46699	32655	41685	49928	33864
YLL025W	21	51	35	32	37	26	39	41	22
YLL026W	3050	5692	5256	2786	4726	2840	3123	4422	2676
YLL027W	481	994	905	501	768	432	478	653	395
YLL028W	2220	3744	2919	1803	2412	1771	2180	2694	1764
YLL029W	1112	2146	1779	1035	1545	1097	1325	1405	947
YLL031C	662	1220	992	584	856	650	691	835	459
YLL032C	192	292	291	123	227	176	210	248	145
YLL033W	47	66	58	36	46	36	57	62	25
YLL034C	690	1127	1093	581	942	694	788	850	641
YLL035W	288	415	366	234	281	198	305	293	192
YLL036C	410	592	427	355	449	339	397	431	378
YLL038C	157	284	228	176	214	116	172	260	135
YLL039C	5422	8992	7829	4927	6393	4460	4009	4749	3260
YLL040C	2112	3507	3181	1665	2548	1637	2231	2616	1615
YLL041C	3108	5879	4990	2992	4689	3235	3128	4092	2488
YLL042C	13	36	21	18	40	27	29	36	12
YLL043W	529	1093	744	473	710	517	573	600	375
YLL045C	10722	19129	16176	9657	12238	9942	12140	15781	8964
YLL046C	3	0	0	0	0	0	0	5	3
YLL048C	2780	4973	4139	2540	3451	2446	3302	3864	2435
YLL049W	192	349	341	167	237	167	232	284	207
YLL050C	1831	3545	2506	2029	2369	1573	2110	2390	1583
YLL051C	166	345	253	197	237	147	179	204	125
YLL052C	273	502	375	304	465	289	454	641	397
YLL053C	230	488	377	282	429	260	462	632	396
YLL054C	265	401	398	216	290	231	233	371	186
YLL055W	116	286	224	127	179	139	155	212	142
YLL056C	41	141	104	64	100	80	74	79	56
YLL057C	26	72	62	19	51	12	19	52	30
YLL058W	81	240	144	141	146	83	142	187	81
YLL060C	95	198	136	85	104	95	47	99	67
YLL061W	909	1537	1285	860	1316	736	883	1019	686
YLL062C	418	736	547	365	507	406	258	409	292
YLL063C	0	1	1	0	0	0	0	0	1
YLL064C	1	12	10	6	13	5	2	0	3
YLL066C	228	385	350	179	342	201	273	377	254
YLL066W-B	12	25	33	22	35	16	10	33	23
YLL067C	228	435	355	191	347	249	319	407	232
YLR001C	252	486	478	180	333	212	301	306	227
YLR002C	495	720	751	331	560	346	558	700	494
YLR003C	138	180	246	128	153	153	344	258	237
YLR004C	44	54	65	60	49	51	75	61	60
YLR005W	388	561	492	211	374	199	288	415	274
YLR006C	195	315	308	173	235	195	189	292	134
YLR007W	120	240	194	104	182	129	168	166	109
YLR008C	569	878	704	495	681	460	618	660	589
YLR009W	661	1071	999	490	611	525	872	877	585
YLR010C	12216	59486	21725	18775	18587	14632	14469	14093	12304
YLR011W	72	104	63	52	92	63	103	114	42
YLR012C	0	0	0	0	0	0	1	0	3
YLR013W	0	0	0	0	0	0	2	4	0
YLR014C	188	376	328	190	242	182	245	233	162
YLR015W	206	306	320	175	235	214	212	286	150
YLR016C	150	229	242	105	190	98	131	184	112
YLR017W	545	976	729	432	638	433	507	494	369
YLR018C	197	310	262	124	185	152	177	219	184
YLR019W	411	743	542	338	496	296	377	447	283
YLR020C	380	612	511	334	395	367	417	494	261
YLR021W	121	267	214	142	178	121	123	177	69
YLR022C	188	360	283	177	232	203	228	303	161
YLR023C	1204	2025	1734	1083	1553	1031	1285	1540	862
YLR024C	729	1339	1163	584	872	611	710	816	544
YLR025W	199	410	366	226	335	191	225	355	182
YLR026C	154	299	239	136	194	147	231	221	141
YLR027C	3522	5764	4703	2657	4104	2764	3271	3563	2498
YLR028C	1052	1878	1561	887	1346	1086	1082	1329	781
YLR029C	7857	16022	11866	7024	9537	8263	9429	10854	6466
YLR030W	13	32	34	13	25	14	17	35	43
YLR031W	6	17	10	5	14	10	7	36	16
YLR032W	263	601	435	207	321	239	316	364	252
YLR033W	293	443	469	220	336	236	340	437	269
YLR034C	382	707	562	342	480	331	341	430	217
YLR035C	87	161	120	69	122	77	130	144	78
YLR036C	12	34	26	17	36	18	15	31	13
YLR037C	16	24	11	16	23	19	18	17	6
YLR038C	2090	3568	3422	1762	2824	1865	1933	2346	1620
YLR039C	375	512	587	251	447	299	349	410	286
YLR040C	2	20	9	11	8	3	22	10	2
YLR042C	31	24	11	17	12	13	29	47	19
YLR043C	1401	2228	1984	1281	1724	1240	1392	1715	1300
YLR044C	86801	159496	124583	74640	86945	70381	84881	101436	66658
YLR045C	497	814	713	380	574	438	547	623	376
YLR046C	75	91	88	48	77	70	79	76	29
YLR047C	101	209	206	87	179	94	184	153	92
YLR048W	8993	16545	13195	8171	11158	8200	10081	12033	7483
YLR049C	297	539	467	187	359	275	333	324	236
YLR050C	149	252	217	142	179	145	184	173	107
YLR051C	184	278	196	143	142	140	239	263	155
YLR052W	140	257	247	167	190	114	126	194	155
YLR053C	1	3	10	0	4	2	10	7	4
YLR054C	29	37	56	16	23	15	38	28	8
