Genes	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3	WT_1	WT_2	WT_3
YBR085C-A	802	1613	1290	760	1176	877	905	1203	721
YBR085W	12	47	25	36	15	22	38	42	23
YBR086C	1475	2482	2111	1320	1766	1202	1651	1903	1327
YBR087W	454	714	667	443	437	335	462	667	385
YBR088C	914	1667	1207	640	917	724	1137	1233	820
YBR089C-A	858	1544	1221	699	1009	677	970	1012	664
YBR090C	930	1695	1380	801	1137	755	1089	1164	749
YBR091C	168	298	270	176	259	166	246	278	179
YBR092C	78	169	134	105	88	101	430	621	331
YBR093C	94	166	126	124	130	90	380	549	258
YBR094W	480	844	744	469	637	483	568	549	347
YBR095C	177	340	325	128	246	166	214	297	146
YBR096W	316	527	513	262	310	266	376	422	250
YBR097W	380	670	552	267	485	279	363	456	292
YBR098W	155	217	242	135	194	134	150	175	114
YBR101C	906	1432	1274	651	1056	756	911	1139	849
YBR102C	554	854	828	503	690	469	488	692	425
YBR103W	415	723	648	276	548	333	426	487	317
YBR104W	184	391	261	223	222	176	287	274	190
YBR105C	268	440	370	227	309	166	271	300	162
YBR106W	2558	4402	3847	2128	2857	2417	2978	3696	2445
YBR107C	70	83	79	91	57	70	65	84	65
YBR108W	231	500	401	183	364	230	326	359	198
YBR109C	772	1360	1314	714	1052	860	1145	1312	924
YBR110W	360	624	572	304	389	310	343	467	268
YBR111C	737	1332	1361	664	948	662	913	1071	738
YBR111W-A	114	189	144	82	143	63	135	201	106
YBR112C	776	1499	1196	720	1031	708	926	1086	644
YBR114W	258	405	352	188	321	176	218	278	183
YBR115C	9082	16005	14405	7214	10046	7102	6970	8285	5217
YBR117C	24	20	12	7	22	3	8	27	10
YBR118W	178954	320362	272642	148671	208310	153915	197430	241561	152547
YBR119W	105	243	102	78	122	94	123	108	89
YBR120C	121	286	233	145	210	128	220	175	173
YBR121C	3076	5579	4934	2570	3690	2609	3567	3977	2622
YBR122C	770	1283	1238	643	1045	660	887	1014	635
YBR123C	197	404	388	231	286	246	298	372	245
YBR125C	338	655	705	365	547	371	411	502	311
YBR126C	1361	2544	2089	1183	1729	1061	1353	1754	1042
YBR126W-A	465	864	831	426	697	418	520	552	480
YBR127C	5897	10561	8899	4953	6991	5180	5499	6085	4227
YBR128C	112	165	156	76	220	94	85	103	86
YBR129C	149	246	220	114	157	179	162	189	161
YBR130C	237	533	362	210	324	288	340	353	243
YBR131W	142	293	256	145	172	85	139	181	161
YBR132C	244	525	450	231	429	296	275	302	184
YBR133C	572	1122	906	548	682	588	686	843	583
YBR135W	156	237	196	110	149	130	236	250	152
YBR136W	667	1017	898	487	748	505	657	817	485
YBR137W	178	367	292	164	289	154	166	325	118
YBR138C	76	191	69	74	80	46	66	82	57
YBR139W	382	890	759	452	674	459	526	793	435
YBR140C	1982	3449	3040	1756	2555	1824	2341	2554	1619
YBR141C	143	231	216	74	139	77	89	122	52
YBR142W	731	1265	1079	578	754	561	785	948	615
YBR143C	2040	3746	3124	1818	2446	1839	2502	2966	1715
YBR145W	150	343	245	181	229	164	200	228	114
YBR146W	739	1305	1191	633	1051	764	1154	1293	829
YBR147W	148	225	269	127	251	122	122	164	105
YBR148W	15	29	18	25	38	14	40	29	16
YBR149W	1045	1901	1538	1009	1392	864	1041	1168	787
YBR150C	281	502	430	232	337	263	341	414	279
YBR151W	305	753	609	345	594	327	477	620	350
YBR152W	48	130	136	52	112	72	74	90	65
YBR153W	171	290	292	165	196	126	163	209	97
YBR154C	403	735	712	357	488	396	550	633	374
YBR155W	318	560	532	304	396	291	440	487	338
YBR156C	112	166	174	76	114	125	124	142	89
YBR157C	50	102	97	55	52	41	58	81	54
YBR158W	648	1008	836	632	757	606	819	969	591
YBR159W	619	1155	888	504	807	538	775	812	538
YBR160W	331	613	516	319	426	380	397	484	349
YBR161W	88	177	157	110	123	76	82	119	47
YBR162C	3470	5792	5022	2895	4074	2731	4135	4981	2987
YBR162W-A	169	336	303	203	366	218	240	230	145
YBR163W	180	341	284	193	237	184	231	198	165
YBR164C	401	645	514	247	452	370	359	580	359
YBR165W	100	208	156	134	143	80	127	132	84
YBR166C	493	674	569	388	458	375	440	483	336
YBR167C	98	99	57	43	69	56	66	73	49
YBR168W	74	178	172	71	162	77	67	163	73
YBR169C	175	322	269	154	275	154	314	364	196
YBR170C	688	1174	973	517	871	634	738	896	528
YBR171W	255	564	354	197	309	239	286	326	193
YBR172C	415	693	668	391	517	345	449	538	379
YBR173C	287	490	414	263	320	293	384	358	285
YBR175W	292	440	485	168	303	230	261	260	176
YBR176W	128	228	221	124	132	138	150	174	66
YBR177C	2201	3807	3109	1752	2222	1681	1778	2243	1416
YBR179C	441	695	698	367	544	348	564	605	352
