,ORF,WT_glycerol_RNA,WT_glycerol_Ribo
340,YNL106C,527.0,406.0
341,YOR378W,43.0,11.0
342,YFR015C,849.0,945.0
343,YMR230W,15577.0,6388.0
344,YIL092W,429.0,135.0
345,YLR321C,332.0,1279.0
346,YGR052W,102.0,197.0
347,YOR278W,768.0,641.0
348,YNL085W,915.0,3046.0
349,YGL061C,1173.0,614.0
350,YPL210C,2668.0,2724.0
351,YOR087W,892.0,1032.0
352,YGL234W,1358.0,5942.0
353,YOR347C,266.0,1227.0
354,YPR093C,476.0,404.0
355,YNL332W,148.0,189.0
356,YAL029C,1374.0,705.0
357,YOL155C,61.0,242.0
358,YDR393W,2251.0,1345.0
359,YGL171W,1168.0,1554.0
360,YDR294C,3595.0,2401.0
361,YHR135C,2485.0,4611.0
362,YBR181C,2327.0,2141.0
363,YOR078W,2748.0,576.0
364,YOR243C,758.0,1184.0
365,YMR165C,651.0,690.0
366,YCR005C,10098.0,25758.0
367,YPR055W,766.0,540.0
368,YHR037W,2872.0,12902.0
369,YLR032W,882.0,784.0
370,YDR114C,14.0,0.0
371,YLR089C,1547.0,4244.0
372,YBL027W,22312.0,14005.0
373,YOL060C,560.0,1511.0
374,YOR382W,1293.0,4933.0
375,YNL232W,2562.0,856.0
376,YDL076C,746.0,527.0
377,YDR120C,1234.0,1507.0
378,YJL192C,2623.0,1102.0
379,YLR054C,91.0,53.0
380,YLR009W,3770.0,1596.0
381,YKL116C,313.0,646.0
382,YGR238C,988.0,623.0
383,YER044C,7089.0,2749.0
384,YLR105C,1581.0,510.0
385,YML091C,7544.0,5097.0
386,YHR191C,1569.0,322.0
387,YDL098C,1056.0,194.0
388,YKR005C,309.0,99.0
389,YMR143W,14987.0,10462.0
390,YCR063W,97.0,278.0
391,YNL189W,3683.0,5439.0
392,YFR024C-A,1552.0,5236.0
393,YCL047C,825.0,356.0
394,YGL122C,885.0,2357.0
395,YOR120W,9630.0,18835.0
396,YPR160W,1012.0,5645.0
397,YBL060W,1002.0,545.0
398,YBR019C,84.0,34.0
399,YKL056C,18838.0,15131.0
400,YKL065W-A,726.0,59.0
401,YPL068C,439.0,139.0
402,YJR057W,1710.0,612.0
403,YGL211W,1292.0,304.0
404,YPL195W,1523.0,1815.0
405,YCL044C,184.0,974.0
406,YAL059W,1007.0,422.0
407,YNL007C,2603.0,8586.0
408,YPL148C,1207.0,303.0
409,YJR137C,301.0,332.0
410,YMR021C,664.0,1033.0
411,YMR074C,6562.0,2045.0
412,YDR378C,3666.0,1122.0
413,YJR039W,418.0,243.0
414,YOR104W,315.0,259.0
415,YFL009W,618.0,918.0
416,YLR297W,344.0,949.0
417,YDR216W,2249.0,11236.0
418,YIL120W,1202.0,633.0
419,YPL162C,80.0,227.0
420,YGR095C,1772.0,677.0
421,YCL027W,137.0,87.0
422,YHR029C,1388.0,815.0
423,YIR021W-A,190.0,44.0
424,YAL033W,1491.0,286.0
425,YBR284W,193.0,286.0
426,YNR036C,7858.0,7442.0
427,YNR049C,2301.0,1440.0
428,YDR192C,563.0,1712.0
429,YOL112W,1447.0,529.0
430,YML109W,889.0,867.0
431,YOL083W,675.0,1044.0
432,YNL251C,239.0,2965.0
433,YBL004W,972.0,1016.0
434,YBR164C,1625.0,1095.0
435,YHR074W,1648.0,2000.0
436,YDR464W,978.0,796.0
437,YFR030W,787.0,291.0
438,YBR131W,298.0,159.0
439,YKL078W,606.0,185.0
440,YIL055C,1309.0,1331.0
441,YPL053C,1399.0,952.0
442,YLR351C,1979.0,2838.0
443,YNR014W,27.0,26.0
444,YER125W,920.0,6843.0
445,YER152C,1231.0,899.0
446,YLR015W,845.0,445.0
447,YHR116W,3172.0,3955.0
448,YPL259C,636.0,852.0
449,YGR093W,1015.0,826.0
450,YHL043W,11.0,1.0
451,YLR179C,2752.0,1815.0
452,YOR386W,101.0,392.0
453,YDR397C,5048.0,1083.0
454,YHL038C,1255.0,675.0
455,YLL053C,201.0,102.0
456,YDR425W,925.0,711.0
457,YML076C,347.0,452.0
458,YKR060W,1041.0,571.0
459,YER069W,1318.0,2232.0
460,YMR091C,1897.0,1665.0
461,YER012W,4818.0,3863.0
462,YHR098C,1468.0,2496.0
463,YDL135C,3141.0,4652.0
464,YCR093W,1502.0,5433.0
465,YGR273C,10.0,0.0
466,YPR108W-A,176.0,1.0
467,YBR069C,6450.0,7328.0
468,YGL040C,4848.0,12028.0
469,YCR104W,8.0,1.0
470,YDR512C,4876.0,3092.0
471,YGR255C,1364.0,1180.0
472,YDL051W,3460.0,2543.0
473,YBL102W,1327.0,1304.0
474,YPL237W,6429.0,5804.0
475,YLR120C,175.0,1907.0
476,YCL001W-B,11.0,0.0
477,YCL001W-A,17.0,4.0
478,YNL068C,962.0,1073.0
479,YBL002W,5292.0,6815.0
480,YDR146C,845.0,2211.0
481,YBR112C,1201.0,2788.0
482,YBL081W,264.0,358.0
483,YFL040W,47.0,13.0
484,YNL326C,637.0,257.0
485,YDR337W,2733.0,4311.0
486,YJL061W,825.0,933.0
487,YPR147C,874.0,965.0
488,YDR441C,312.0,627.0
489,YPL094C,3088.0,2705.0
490,YOR101W,746.0,403.0
491,YDR231C,7665.0,2582.0
492,YJL112W,2852.0,1796.0
493,YNL193W,361.0,208.0
494,YBR188C,1243.0,762.0
495,YER034W,424.0,470.0
496,YJR076C,966.0,1739.0
497,YKL157W,3097.0,6088.0
498,YBR003W,1030.0,1284.0
499,YPR129W,2648.0,6314.0
500,YDL113C,1015.0,990.0
501,YMR135C,1104.0,1311.0
502,YPL005W,518.0,294.0
503,YBR247C,1115.0,866.0
504,YLR185W,28155.0,8290.0
505,YJL210W,805.0,131.0
506,YAL010C,686.0,466.0
507,YIL154C,501.0,692.0
508,YIL101C,401.0,2669.0
509,YKL004W,505.0,740.0
510,YPL154C,6717.0,17740.0
511,YPL101W,764.0,1035.0
512,YLR258W,919.0,5072.0
513,YJR098C,210.0,332.0
514,YHR176W,1017.0,479.0
515,YDL211C,304.0,122.0
516,YDL244W,36.0,39.0
517,YDR319C,1046.0,212.0
518,YKL095W,203.0,1023.0
519,YIL094C,4006.0,3451.0
520,YLR451W,427.0,794.0
521,YFR017C,1219.0,5227.0
522,YGR084C,5682.0,5203.0
523,YIL076W,4036.0,1914.0
524,YOL044W,1186.0,728.0
525,YLR323C,804.0,468.0
526,YOR085W,317.0,1146.0
527,YGR054W,1266.0,3722.0
528,YNL087W,1440.0,812.0
529,YLR318W,402.0,54.0
530,YOR341W,1105.0,2930.0
531,YNL024C-A,503.0,519.0
532,YDR296W,4924.0,2954.0
533,YGL232W,2226.0,1108.0
534,YPR091C,815.0,373.0
535,YGR141W,470.0,525.0
536,YJR158W,5.0,4.0
537,YHR137W,8988.0,11406.0
538,YBR187W,823.0,501.0
539,YMR198W,537.0,280.0
540,YCR003W,6182.0,2573.0
541,YMR163C,614.0,310.0
542,YBR020W,78.0,6.0
