ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YJL124C,225,205,298,1458,1035,1324
YJL125C,140,164,221,1365,873,891
YJL126W,36,35,25,300,216,189
YJL127C,43,36,65,696,452,508
YJL127C-B,2,1,1,301,172,272
YJL128C,159,171,238,1855,1294,1409
YJL129C,82,67,111,2460,1832,2007
YJL130C,8868,10098,12617,109405,68092,66153
YJL131C,33,40,61,367,279,342
YJL132W,23,9,26,188,162,113
YJL133C-A,494,321,431,1945,1490,1787
YJL133W,40,46,63,779,662,714
YJL134W,156,156,229,1439,1069,847
YJL136C,3439,2896,4061,21861,15073,16709
YJL136W-A,0,0,0,0,0,0
YJL137C,72,94,136,756,541,428
YJL138C,7542,7010,8409,69100,43185,50265
YJL139C,65,87,120,984,728,880
YJL140W,144,134,200,1870,1212,1482
YJL141C,102,96,146,1291,842,912
YJL143W,422,423,574,3683,2562,2513
YJL144W,17,15,32,144,129,113
YJL145W,233,227,317,1698,1185,1223
YJL146W,103,117,173,1178,732,920
YJL147C,92,98,116,673,495,480
YJL148W,141,142,226,1942,1335,1619
YJL149W,90,93,120,832,537,464
YJL151C,335,250,456,1547,1136,1434
YJL153C,1694,496,504,4053,1803,6986
YJL154C,240,268,345,2808,2017,2112
YJL155C,98,95,111,697,535,430
YJL156C,172,158,249,1683,1157,1333
YJL157C,158,136,178,1792,1057,1687
YJL158C,2811,1732,2589,10504,7244,10182
YJL159W,3270,2356,3342,14164,9922,13053
YJL160C,1,0,3,48,20,15
YJL161W,3,0,3,31,23,26
YJL162C,33,32,41,397,253,310
YJL163C,28,16,37,157,125,199
YJL164C,52,48,102,844,676,704
YJL165C,34,57,79,1042,685,751
YJL166W,138,161,245,2306,1624,1716
YJL167W,2923,2463,3402,15239,9775,11355
YJL168C,122,158,223,2035,1229,1614
YJL170C,15,13,17,176,119,127
YJL171C,410,240,436,2138,1710,1515
YJL172W,657,714,907,4378,3013,2803
YJL173C,106,108,129,916,633,781
YJL174W,312,246,360,2213,1424,1707
YJL176C,180,214,244,2148,1436,1816
YJL177W,1926,1557,2248,16020,11233,13605
YJL178C,152,168,259,1085,709,841
YJL179W,85,69,98,799,513,737
YJL180C,95,81,127,1073,820,876
YJL181W,44,39,59,416,301,386
YJL183W,391,482,585,4265,3062,3069
YJL184W,64,78,116,891,544,587
YJL185C,19,13,21,240,216,228
YJL186W,493,412,613,2579,1737,1803
YJL187C,34,51,70,1342,857,931
YJL189W,4306,3034,3786,25598,16039,20175
YJL190C,3050,2462,3947,31824,22164,25267
YJL191W,2764,3105,4171,23281,16814,12401
YJL192C,284,189,267,1473,951,1448
YJL193W,44,37,83,398,302,290
YJL194W,107,115,158,1385,954,895
YJL196C,449,602,818,4408,2977,2252
YJL197W,229,191,297,3019,2144,2354
YJL198W,147,141,214,1654,1099,1149
YJL200C,2593,3387,4227,29688,19095,16412
YJL201W,82,77,118,1027,711,700
YJL203W,56,57,50,391,341,395
YJL204C,51,38,57,536,363,366
YJL205C,29,29,63,411,342,280
YJL206C,43,46,91,646,431,472
YJL207C,344,344,469,4951,3550,3406
YJL208C,222,149,250,1693,1224,1540
YJL209W,27,31,38,880,580,744
YJL210W,90,108,131,2121,1480,1520
YJL212C,4,9,11,345,280,312
YJL213W,71,109,133,1180,780,513
YJL214W,22,13,28,167,136,87
YJL216C,11,9,7,127,173,199
YJL217W,597,442,603,3149,2248,2937
YJL218W,36,29,57,240,200,203
YJL219W,8,15,10,124,40,34
YJL221C,82,92,165,1006,834,578
YJL222W,129,149,174,3071,2134,1829
YJL223C,0,1,0,69,25,25
YJL225C,54,42,40,6127,4640,4823
YJR001W,398,396,509,5560,3763,3358
YJR002W,375,322,463,3490,2225,2617
YJR003C,112,138,156,969,833,852
YJR004C,0,0,2,277,246,261
YJR005C-A,0,0,0,3,1,2
YJR005W,223,220,226,2296,1580,1839
YJR006W,146,105,189,1259,948,1013
YJR007W,1019,654,1050,3360,2354,3671
YJR008W,93,70,104,521,451,640
YJR009C,44378,34396,41214,227439,147008,175512
YJR010C-A,46,37,92,486,421,352
YJR010W,4867,3752,5006,18261,11531,14538
YJR011C,46,47,72,568,391,481
YJR012C,21,11,31,373,234,358
YJR013W,217,203,249,1321,1026,875
YJR014W,312,179,319,1517,1012,1481
YJR015W,305,335,461,2480,1654,1771
YJR016C,3793,3839,5094,25538,17748,15864
YJR017C,267,253,312,2308,1763,1959
YJR019C,206,165,274,1083,805,678
YJR021C,15,13,15,484,383,416
YJR022W,12,7,5,46,42,43
YJR024C,210,192,368,2011,1288,1425
YJR025C,377,380,492,2639,1995,1982
YJR030C,55,74,101,1747,1275,1384
YJR031C,155,211,258,2763,1985,1843
YJR032W,230,196,253,1575,954,1134
YJR033C,196,190,258,2343,1580,1709
YJR034W,189,149,255,1429,912,1110
YJR035W,60,53,72,970,604,784
YJR036C,4,5,21,190,200,164
YJR039W,39,35,31,709,507,530
YJR040W,135,167,183,1772,1181,1125
YJR041C,271,255,343,2511,1609,1962
YJR042W,328,368,476,4173,2754,3023
YJR043C,66,49,58,518,397,495
YJR044C,92,67,114,1027,776,796
YJR045C,6972,5869,9143,45277,31270,32681
YJR046W,137,123,163,1628,1214,1287
YJR047C,1519,1368,2311,19106,12647,13583
YJR048W,3041,2864,5674,18873,15934,14432
YJR049C,128,113,122,1038,737,930
YJR050W,34,26,27,290,242,320
YJR051W,173,214,291,1603,1111,1219
YJR052W,3185,4002,3534,1281739,720902,729235
YJR053W,35,30,28,404,308,264
YJR054W,23,18,12,561,501,434
YJR055W,10,17,32,846,744,779
YJR056C,33,39,39,295,166,235
YJR057W,84,85,124,866,567,664
YJR058C,113,97,111,1133,853,754
YJR059W,169,195,231,1840,1239,1418
YJR060W,88,97,140,630,409,453
YJR061W,60,39,66,1072,829,1099
YJR062C,68,74,106,794,606,633
YJR063W,135,106,178,973,617,989
YJR064W,1151,1064,1396,9649,6460,7229
YJR065C,615,586,882,4751,3417,3267
YJR066W,294,327,385,5503,3855,3864
YJR067C,89,61,65,502,325,388
YJR068W,204,172,206,1673,1157,1385
YJR069C,377,274,368,1211,873,1058
YJR070C,1558,1478,1691,7984,4639,6155
YJR072C,1059,1041,1145,4033,2503,3039
YJR073C,4025,2981,3318,16247,9918,13479
YJR074W,259,307,440,2700,1890,1853
YJR075W,250,244,364,2466,1552,1672
YJR076C,401,462,633,5866,3744,3812
YJR077C,4961,3982,6056,31991,22737,23688
YJR078W,238,162,168,1034,675,997
YJR079W,29,22,18,143,105,111
YJR080C,202,193,267,2390,1543,1734
YJR082C,7,8,31,272,162,232
YJR083C,26,22,48,163,126,198
YJR084W,85,104,131,803,490,525
YJR085C,189,185,248,1647,1152,997
YJR086W,40,32,74,296,234,285
YJR088C,269,269,377,1867,1245,1471
YJR089W,88,68,73,1259,869,995
YJR090C,187,209,227,2586,1797,1886
YJR091C,175,139,196,2847,2051,2420
YJR092W,343,275,417,4713,3218,3407
YJR093C,63,70,97,640,507,654
YJR094C,7,7,9,93,43,85
YJR094W-A,2876,2594,3812,19305,13401,16093
YJR095W,7,4,3,49,29,55
YJR096W,72,67,80,552,408,461
YJR097W,33,40,43,378,305,319
YJR098C,37,40,51,505,346,470
YJR099W,57,44,52,489,344,383
YJR100C,121,86,119,901,595,680
YJR101W,243,207,329,2448,1838,2001
YJR102C,38,26,34,275,209,235
YJR103W,189,224,317,1606,1157,1180
YJR104C,4837,3749,5979,24503,17706,18314
YJR105W,2982,2333,3200,14148,8781,11149
YJR106W,35,33,59,698,378,566
YJR107W,0,0,0,268,180,237
YJR108W,1,0,0,24,45,30
YJR109C,2805,4905,5672,25926,15360,10646
YJR110W,38,45,79,728,453,498
YJR111C,68,87,132,506,367,279
YJR112W,57,58,72,476,339,397
YJR112W-A,13,13,25,455,269,342
YJR113C,624,610,847,4738,3243,3587
YJR115W,2,1,2,96,66,89
YJR116W,52,38,55,303,174,300
YJR117W,563,609,711,4595,3180,3243
YJR118C,112,89,162,647,474,576
YJR119C,73,55,98,545,417,511
YJR120W,40,52,69,2551,2334,1775
YJR121W,7008,6461,9704,75396,56191,52891
YJR122W,172,165,265,1929,1389,1528
YJR123W,8424,6192,8473,51036,34586,39984
YJR124C,65,71,97,832,626,597
YJR125C,247,261,350,1740,1326,1263
YJR126C,192,162,233,2452,1922,2131
YJR127C,44,74,105,2065,1572,1517
YJR129C,81,55,62,777,498,710
YJR130C,136,177,218,2114,1572,1279
YJR131W,111,105,155,1423,841,815
YJR132W,326,266,335,3281,2029,2521
YJR133W,703,615,907,3385,2373,2764
YJR134C,138,127,159,1373,1007,1176
YJR135C,15,12,33,290,233,347
YJR135W-A,194,151,270,1156,727,844
YJR136C,35,37,73,769,518,648
YJR137C,6014,5948,7777,54861,35768,38702
YJR138W,133,146,157,2424,1554,1731
YJR139C,3994,3417,4816,18467,12328,13385
YJR140C,215,205,215,3889,2444,2600
YJR141W,25,15,17,401,323,337
YJR142W,100,88,128,630,458,510
YJR143C,991,905,1262,8739,6057,6339
YJR144W,327,351,394,2517,1697,1650
YJR145C,15317,12265,16073,109396,72990,85092
YJR146W,8,4,0,655,520,576
YJR147W,18,6,12,1048,878,942
YJR148W,206,177,195,1440,962,1157
YJR149W,61,63,68,714,503,511
YJR150C,0,0,0,6,2,3
YJR151C,0,1,2,553,373,322
YJR151W-A,0,0,0,0,1,1
YJR152W,19,21,33,377,274,224
YJR153W,0,0,0,6,3,5
YJR154W,2,0,4,210,152,152
YJR155W,1,5,3,334,287,255
YJR156C,12,26,11,147,86,75
YJR158W,1,3,3,37,30,30
YJR159W,6,7,4,456,436,263
YJR160C,6,11,12,212,175,195
YJR161C,200,178,243,1926,1307,1505
YKL001C,1941,1176,1836,11312,7269,10913
YKL002W,186,189,287,2573,1878,1867
YKL003C,131,130,193,1915,1271,1421
YKL004W,218,232,254,3393,2466,2481
YKL005C,73,79,97,1330,1076,1034
YKL006C-A,26,30,50,580,423,446
YKL006W,5381,3977,5973,40186,28689,32363
YKL007W,127,131,224,2358,1707,1441
YKL008C,103,98,123,990,719,725
YKL009W,436,437,507,3009,2102,2422
YKL010C,433,372,536,5097,3274,3950
YKL011C,22,20,32,379,219,237
YKL012W,107,80,130,1178,839,1055
YKL013C,312,267,351,3518,2304,3121
YKL014C,405,406,482,5434,3668,3799
YKL015W,88,91,131,2541,1878,1802
YKL016C,1850,1526,2414,9905,7127,7882
YKL017C,404,299,411,1145,927,968
YKL018C-A,41,35,58,606,410,453
YKL018W,120,145,167,822,531,610
YKL019W,207,195,271,2468,1854,1934
YKL020C,294,312,436,3607,2305,2567
YKL021C,270,279,384,1417,986,1095
YKL022C,258,326,450,1838,1373,1198
YKL023C-A,116,79,128,1414,881,1279
YKL023W,82,61,83,832,565,687
YKL024C,432,290,488,3695,2530,3478
YKL025C,135,170,183,2046,1490,1213
YKL026C,8,3,4,145,84,162
YKL027W,310,255,390,1794,1244,1243
YKL028W,157,128,225,2021,1491,1656
YKL029C,1279,1319,1554,10022,6104,7458
YKL032C,163,199,252,1603,1235,1125
YKL033W,59,102,104,1414,1052,1087
YKL033W-A,201,165,252,1567,1072,1106
YKL034W,182,194,213,1678,1042,1123
YKL035W,931,925,1207,6054,4042,4489
YKL037W,0,0,4,73,59,79
YKL038W,91,88,134,2632,1816,2130
YKL039W,593,378,632,3387,2441,2571
YKL040C,289,269,389,1916,1354,1368
YKL041W,94,106,149,1075,654,744
YKL042W,67,67,81,412,280,445
YKL043W,117,90,121,3590,2552,2808
YKL044W,1,2,5,465,347,360
YKL045W,111,92,122,1036,673,921
YKL046C,432,465,681,3868,2616,2679
YKL047W,82,100,165,1003,745,728
YKL048C,50,62,82,865,552,677
YKL049C,98,78,84,602,380,546
YKL050C,1,3,2,458,343,286
YKL051W,84,129,181,1336,918,602
YKL052C,139,115,179,1264,871,831
YKL053C-A,116,101,192,2157,1639,2031
YKL054C,981,927,1305,6568,4199,5627
YKL055C,6,9,24,251,221,159
YKL056C,7787,5606,7290,44669,29060,44083
YKL057C,349,282,409,3311,2324,2398
YKL058W,116,101,132,1248,1066,1284
YKL059C,76,87,97,921,686,591
YKL060C,59903,41045,55427,184287,118068,151607
YKL061W,53,41,44,723,488,607
YKL062W,166,158,236,2078,1442,1530
YKL063C,38,33,46,563,418,525
YKL064W,165,175,226,3281,2421,2734
YKL065C,209,95,187,1285,874,1312
YKL065W-A,0,1,0,33,19,29
YKL067W,615,402,649,3036,2219,2739
YKL068W,191,185,259,3445,2099,2533
YKL068W-A,33,34,47,1079,709,967
YKL069W,191,154,238,1486,1190,1206
YKL070W,0,0,0,18,0,3
YKL071W,4,0,1,37,43,40
YKL072W,64,54,107,974,650,664
YKL073W,375,275,368,2974,1936,2730
YKL074C,116,134,119,992,672,714
YKL075C,143,107,170,1177,871,1002
YKL077W,319,299,409,3174,2157,2330
YKL078W,95,97,138,1207,789,787
YKL079W,106,118,160,1309,813,899
YKL080W,1046,1195,1706,8004,5397,5318
YKL081W,6088,5438,6883,31296,20453,23078
YKL082C,138,131,143,1191,723,1225
YKL084W,16,8,23,457,377,332
YKL085W,1786,1340,2329,8380,6802,6444
YKL086W,8,4,17,50,45,47
YKL087C,460,455,597,2748,1831,1884
YKL088W,105,109,151,1111,810,897
YKL089W,59,60,76,730,363,489
YKL090W,22,22,24,324,252,221
YKL091C,51,50,94,645,493,483
YKL092C,92,101,144,1819,1140,1261
YKL093W,20,7,24,152,132,148
YKL094W,237,243,308,2449,1794,1625
YKL095W,46,37,59,427,324,382
YKL096C-B,0,0,0,8,0,1
YKL096W,104,170,292,825,536,326
YKL096W-A,9784,4032,4610,14796,9706,17506
YKL098W,19,19,38,1087,680,760
YKL099C,86,87,93,653,382,567
YKL100C,263,251,404,2674,2062,1927
YKL101W,216,212,281,5319,3917,3936
YKL103C,560,635,991,4272,2955,2440
YKL104C,1067,857,1193,6583,4480,5229
YKL105C,113,91,136,1399,860,1316
YKL106C-A,0,0,1,19,8,15
YKL106W,85,106,157,2094,1364,1538
YKL107W,3,4,8,43,35,24
YKL108W,47,22,42,401,282,303
YKL109W,438,396,734,5464,4451,4356
YKL110C,68,98,119,816,713,662
YKL112W,454,462,591,3608,2440,2770
YKL113C,236,237,282,1940,1196,1382
YKL114C,204,264,323,2091,1284,1232
YKL116C,145,112,193,1817,1237,1575
YKL117W,1814,1737,2396,10600,7048,7580
YKL119C,79,56,87,792,470,999
YKL120W,591,383,450,3422,2290,2695
YKL121W,35,37,67,663,541,604
YKL122C,80,47,39,563,372,723
YKL124W,106,131,160,870,559,515
YKL125W,86,97,143,973,701,745
YKL126W,359,380,564,3442,2392,2125
YKL127W,583,553,668,3834,2569,2584
YKL128C,188,190,295,1634,1123,1293
YKL129C,227,245,317,1985,1422,1629
YKL130C,211,186,188,966,623,625
YKL132C,0,5,5,242,193,187
YKL133C,24,15,20,206,200,183
YKL134C,132,136,228,1632,1231,1051
YKL135C,348,396,509,2578,1807,1772
YKL137W,148,122,224,934,652,598
YKL138C,61,46,84,831,575,614
YKL138C-A,18,9,37,656,380,372
YKL139W,65,63,95,661,551,521
YKL140W,146,103,141,798,583,673
YKL141W,447,476,775,5012,3731,3305
YKL142W,400,350,574,2155,1551,1529
YKL143W,219,174,246,1440,890,1186
YKL144C,73,67,72,737,481,492
YKL145W,1535,1826,2770,13072,9023,8049
YKL146W,211,220,305,3371,2147,2099
YKL148C,2828,2665,4172,18795,15117,14512
YKL149C,44,63,95,641,424,441
YKL150W,599,698,1080,4340,3106,2481
YKL151C,124,118,147,854,653,878
YKL152C,11690,8055,10169,82462,51166,81112
YKL154W,101,103,145,797,686,722
YKL155C,261,297,432,2288,1590,1644
YKL156W,785,954,1377,6866,4511,4959
YKL157W,1104,846,1133,7882,5555,6740
YKL159C,31,23,30,169,161,215
YKL160W,106,83,206,3181,2274,2529
YKL161C,5,7,7,335,246,226
YKL162C,64,41,69,322,232,203
YKL163W,79,98,141,583,444,441
YKL164C,2032,1491,2336,9798,6186,7889
YKL165C,320,281,374,2586,1698,2103
YKL166C,102,97,132,1088,686,690
YKL167C,148,94,203,1278,965,859
YKL168C,62,53,95,763,601,624
YKL170W,321,281,432,1955,1248,1462
YKL171W,56,47,45,1127,827,891
YKL172W,661,525,619,3118,1968,2877
YKL173W,173,157,211,2361,1620,1804
YKL174C,120,138,170,1368,968,940
YKL175W,215,253,314,1968,1333,1333
YKL176C,60,48,84,3443,2469,3022
YKL178C,7,8,12,137,103,129
YKL179C,144,163,241,1927,1184,1587
YKL180W,3437,3038,4034,28966,19283,22314
YKL181W,1143,1002,1370,9794,6586,7863
YKL182W,10426,9606,11002,105888,63445,83785
YKL183C-A,0,0,0,10,7,4
YKL183W,166,171,208,1391,849,795
YKL184W,330,320,396,3469,2416,2742
YKL185W,176,133,159,1684,1212,1692
YKL186C,180,159,212,1013,744,653
YKL187C,1,1,4,453,332,271
YKL188C,15,17,15,365,253,287
YKL189W,55,49,61,491,407,345
YKL190W,267,296,419,2439,1952,1886
YKL191W,284,283,430,4792,3083,3376
YKL192C,814,782,1227,5022,3521,3700
YKL193C,270,242,354,2104,1686,1923
YKL194C,269,237,282,1683,1180,1511
YKL195W,920,743,1114,5587,3581,4367
YKL196C,374,343,544,2707,1917,2112
YKL197C,81,99,113,1444,893,903
YKL198C,52,42,74,794,660,641
YKL201C,249,228,301,2854,2227,2289
YKL203C,218,159,259,4875,3353,3346
YKL204W,253,293,386,2314,1534,1921
YKL205W,191,160,263,2572,1626,1820
YKL206C,149,190,264,1211,745,737
YKL207W,310,331,519,2349,1695,1720
YKL208W,83,61,116,635,330,361
YKL209C,742,560,752,7230,4888,6072
YKL210W,3692,4858,6549,32104,20768,16316
YKL211C,741,767,1032,4490,3007,3293
YKL212W,866,642,905,6884,4535,5821
YKL213C,302,377,498,3451,2493,2512
YKL214C,77,70,95,707,477,520
YKL215C,325,256,322,3100,2082,2149
YKL216W,453,455,580,3415,2194,2671
YKL217W,26,25,53,582,711,491
YKL218C,115,131,220,1191,998,805
YKL219W,72,50,88,625,409,431
YKL220C,0,0,1,149,115,145
YKL221W,3,7,7,58,41,38
YKL222C,11,10,11,401,290,390
YKL224C,1,1,1,104,49,47
YKR001C,1022,904,1282,8563,5367,7138
YKR002W,270,262,349,1994,1399,1380
YKR003W,204,139,218,1531,1103,1300
YKR004C,20,25,49,485,396,375
YKR005C,5,9,11,189,137,146
YKR006C,290,240,364,2544,1767,1917
YKR007W,96,81,109,576,389,443
YKR008W,133,136,209,1541,921,1067
YKR009C,30,49,74,459,416,304
YKR010C,64,57,80,1008,546,700
YKR011C,312,270,410,1141,967,986
YKR013W,623,494,676,3575,2343,3239
YKR014C,194,129,230,1283,977,1162
YKR015C,0,0,0,69,66,29
YKR016W,742,505,717,6558,4292,5417
YKR017C,53,45,75,521,317,336
YKR018C,580,646,987,7049,4921,4312
YKR019C,33,45,46,535,458,434
YKR020W,33,14,42,449,266,365
YKR021W,97,110,126,1300,843,905
YKR022C,13,16,8,270,208,248
YKR023W,39,36,67,427,355,440
YKR024C,211,225,248,1691,1062,1228
YKR025W,59,63,83,856,539,601
YKR026C,142,107,160,901,552,694
YKR027W,113,135,204,1410,965,901
YKR028W,381,398,527,6098,4139,4283
YKR029C,97,87,154,854,589,757
YKR030W,29,45,75,499,394,325
YKR031C,251,252,345,4607,3201,3059
YKR034W,10,10,8,152,115,151
YKR035W-A,174,147,228,1000,809,1033
YKR036C,98,90,143,1954,1134,1227
YKR037C,138,143,198,635,467,462
YKR038C,1807,1658,1983,521457,332939,326283
YKR039W,721,897,1062,7395,4412,3826
YKR041W,363,311,323,374753,258597,253941
YKR042W,2442,1473,1594,17758,11195,18295
YKR043C,665,669,910,4063,2852,2786
YKR044W,43,47,71,637,384,414
YKR045C,21,18,31,501,553,433
YKR046C,1518,1683,2560,7577,4999,4308
YKR048C,1232,1338,1752,10281,6572,6028
YKR049C,51,44,63,975,738,692
YKR050W,15,8,30,864,700,999
YKR051W,27,19,38,454,295,313
YKR052C,43,48,61,430,309,299
YKR053C,13,7,3,351,270,304
YKR054C,228,206,306,8660,5882,6026
YKR055W,133,102,115,708,484,533
YKR056W,335,336,455,2876,1881,2168
YKR057W,2860,2221,3054,35731,23056,27872
YKR058W,37,17,31,584,382,375
YKR059W,7532,7033,8357,68178,42370,48830
YKR060W,61,85,93,790,453,624
YKR061W,18,12,16,342,251,297
YKR062W,123,127,246,1307,1074,1004
YKR063C,63,74,80,962,633,774
YKR064W,48,46,65,942,688,803
YKR065C,337,264,426,1852,1361,1761
YKR066C,382,519,680,2691,1992,1743
YKR067W,248,236,338,2565,1579,1519
YKR068C,236,220,327,1399,945,963
YKR069W,693,635,826,5454,3685,4310
YKR070W,125,133,182,1459,1095,928
YKR071C,486,497,711,5294,3373,3396
YKR072C,206,206,284,2363,1647,1678
YKR074W,225,240,254,2519,1824,1756
YKR075C,38,38,68,344,217,237
YKR076W,49,74,127,943,638,615
YKR077W,121,130,170,602,381,437
YKR078W,32,42,42,317,256,232
YKR079C,157,157,208,1976,1421,1461
YKR080W,1090,1110,1413,5882,3744,4232
YKR081C,373,312,412,3051,2156,2389
YKR082W,342,397,472,4116,2808,2817
YKR083C,71,45,72,521,271,260
YKR084C,305,331,532,2954,1922,2067
YKR085C,264,247,381,3060,2191,2337
YKR086W,72,73,82,1334,911,951
YKR087C,113,130,161,873,634,568
YKR088C,118,139,203,1340,981,961
YKR089C,98,83,155,1798,1355,1536
YKR090W,98,108,148,1086,754,1009
YKR091W,10,16,16,130,92,157
YKR092C,537,528,708,5146,3046,3517
YKR093W,410,576,627,3669,2042,1927
YKR094C,2962,2386,3318,42561,28814,34382
YKR095W,389,368,467,5800,3664,4553
YKR095W-A,102,53,97,622,497,656
YKR096W,118,128,176,2207,1780,1783
YKR097W,8,6,6,89,39,69
YKR098C,35,19,42,668,531,471
YKR099W,74,88,93,1199,794,892
YKR100C,111,77,152,1686,1214,1368
YKR101W,52,37,61,552,347,398
YKR102W,0,0,2,787,640,666
YKR103W,5,2,6,596,368,427
YKR104W,0,0,0,199,133,108
YKR105C,0,2,1,16,6,2
YKR106W,12,6,3,214,122,128
YLL001W,648,687,1052,6238,4924,4413
YLL002W,27,20,29,317,200,272
YLL003W,28,27,40,863,651,735
YLL004W,67,75,106,791,542,562
YLL005C,0,0,0,8,1,1
YLL006W,107,126,159,954,655,784
YLL006W-A,6,14,12,203,97,189
YLL007C,45,45,72,542,321,349
YLL008W,383,407,551,4545,2767,3113
YLL009C,444,297,561,2178,1549,1819
YLL010C,71,81,111,847,639,698
YLL011W,380,406,496,2908,1915,2089
YLL012W,216,209,307,2072,1401,1433
YLL013C,426,386,523,5718,3911,5086
YLL014W,154,88,140,1754,1123,1263
YLL015W,265,285,344,3628,2285,2637
YLL018C,2305,2382,3181,15245,10510,9301
YLL018C-A,18,8,15,270,177,246
YLL019C,170,174,222,3284,2309,2605
YLL021W,398,475,570,5230,3390,3701
YLL022C,161,171,247,1019,732,819
YLL023C,137,116,191,940,579,633
YLL024C,25193,20500,28919,173352,111251,125477
YLL025W,6,3,1,107,95,102
YLL026W,1915,1856,2720,13998,10352,10221
YLL027W,320,363,576,2380,1701,1526
YLL028W,1081,1125,1496,8883,5986,6638
YLL029W,394,440,630,5037,3677,3677
YLL031C,250,273,368,2874,2090,1985
YLL032C,132,84,134,775,526,603
YLL033W,6,17,28,171,118,144
YLL034C,333,346,501,2910,2217,2279
YLL035W,91,88,112,1069,713,790
YLL036C,187,170,246,1429,1143,1206
YLL038C,61,70,90,669,506,567
YLL039C,2149,3887,5628,22243,15780,12018
YLL040C,597,600,788,8800,5850,6462
YLL041C,1712,1709,2871,13977,10916,9708
YLL042C,7,7,4,70,85,77
YLL043W,289,287,346,2366,1700,1548
YLL045C,6220,4524,6747,46027,31837,36885
YLL046C,0,0,0,3,0,8
YLL048C,881,759,1021,11892,8437,9601
YLL049W,25,19,28,882,571,723
YLL050C,1747,1581,2361,7882,5971,6083
YLL051C,19,35,47,764,581,508
YLL052C,348,173,372,1150,1058,1492
YLL053C,148,55,172,1095,971,1490
YLL054C,69,63,106,1064,737,790
YLL055W,150,143,157,626,445,509
YLL056C,0,0,2,286,244,209
YLL057C,20,10,6,160,82,101
YLL058W,47,43,81,465,370,410
YLL060C,5,27,26,429,284,213
YLL061W,106,145,198,3731,2912,2588
YLL062C,220,198,298,1701,1278,959
YLL063C,0,0,0,2,0,1
YLL064C,0,0,0,23,24,5
YLL066C,13,6,15,963,722,904
YLL066W-B,0,0,0,70,73,66
YLL067C,14,14,10,1018,787,958
YLR001C,114,103,137,1216,725,834
YLR002C,205,214,234,1966,1237,1752
YLR003C,56,51,75,564,434,839
YLR004C,4,7,6,163,160,196
YLR005W,79,80,97,1441,784,977
YLR006C,53,53,102,818,603,615
YLR007W,32,45,47,554,415,443
YLR008C,184,179,254,2151,1636,1867
YLR009W,305,284,341,2731,1626,2334
YLR010C,408,383,455,93427,51994,40866
YLR011W,21,27,26,239,207,259
YLR012C,1,0,1,0,0,4
YLR013W,0,1,0,0,0,6
YLR014C,25,28,43,892,614,640
YLR015W,76,77,115,832,624,648
YLR016C,37,50,59,621,393,427
YLR017W,288,277,394,2250,1503,1370
YLR018C,47,69,86,769,461,580
YLR019W,55,89,101,1696,1130,1107
YLR020C,121,104,141,1503,1096,1172
YLR021W,63,67,135,602,441,369
YLR022C,115,105,174,831,612,692
YLR023C,288,281,360,4963,3667,3687
YLR024C,149,108,192,3231,2067,2070
YLR025W,113,161,220,975,752,762
YLR026C,98,88,131,692,477,593
YLR027C,2371,2264,3212,13989,9525,9332
YLR028C,494,523,788,4491,3319,3192
YLR029C,5854,5005,7337,35745,24824,26749
YLR030W,11,5,9,79,52,95
YLR031W,3,1,3,33,29,59
YLR032W,103,89,135,1299,767,932
YLR033W,160,154,174,1205,792,1046
YLR034C,265,219,367,1651,1153,988
YLR035C,24,15,25,368,268,352
YLR036C,3,1,7,72,71,59
YLR037C,1,1,0,51,58,41
YLR038C,1069,1180,2094,9080,6451,5899
YLR039C,116,128,177,1474,997,1045
YLR040C,11,5,10,31,22,34
YLR042C,19,3,11,66,42,95
YLR043C,894,598,1007,5613,4245,4407
YLR044C,60756,52630,65517,370880,231966,252975
YLR045C,195,186,234,2024,1392,1546
YLR046C,8,3,6,254,195,184
YLR047C,44,26,29,516,360,429
YLR048W,7234,6246,8581,38733,27529,29597
YLR049C,128,139,157,1303,821,893
YLR050C,69,103,121,618,466,464
YLR051C,66,86,127,658,425,657
YLR052W,60,66,129,644,471,475
YLR053C,4,1,4,14,6,21
YLR054C,0,3,6,122,54,74
YLR055C,191,214,276,2370,1807,1742
YLR056W,1856,2024,2387,13753,8548,9944
YLR057W,95,85,147,1180,800,856
YLR058C,10426,9745,13246,51675,32613,35627
YLR059C,164,145,182,908,575,707
YLR060W,1749,1681,2262,12708,8369,9079
YLR061W,6811,4458,5298,25194,17475,19681
YLR063W,581,425,532,2443,1677,2071
YLR064W,53,49,84,420,320,346
YLR065C,78,50,74,735,502,631
YLR066W,312,255,366,1679,1281,1216
YLR067C,75,89,100,1300,908,1030
YLR068W,44,50,65,436,262,275
YLR069C,1030,913,1337,9043,6772,6561
YLR070C,45,47,54,339,260,273
YLR071C,192,245,346,3124,2091,2013
YLR072W,125,131,162,1164,881,891
YLR073C,37,33,55,492,338,365
YLR074C,212,289,356,2169,1374,1701
YLR075W,10300,8591,12035,63149,43915,45975
YLR077W,185,137,213,1655,1193,1437
YLR078C,78,67,108,1258,759,842
YLR079W,74,58,119,1151,752,853
YLR080W,8,23,21,205,143,179
YLR081W,14,15,10,291,190,144
YLR082C,39,35,35,313,256,286
YLR083C,509,486,688,4376,3118,3322
YLR084C,231,208,265,3958,2550,2842
