ORF,WT_Ribo,ncs2_Ribo,uba4_Ribo,ncs2_RNA,uba4_RNA,WT_RNA
YBR086C,612,426,612,6068,4288,4881
YBR087W,202,145,218,1835,1215,1514
YBR088C,1012,947,1094,3788,2281,3190
YBR089C-A,506,547,606,3623,2385,2646
YBR090C,594,587,685,4005,2693,3002
YBR091C,110,59,99,736,601,703
YBR092C,379,45,82,381,294,1382
YBR093C,288,45,59,386,344,1187
YBR094W,289,341,390,2068,1589,1464
YBR095C,90,95,135,842,540,657
YBR096W,226,222,267,1356,838,1048
YBR097W,106,94,115,1602,1031,1111
YBR098W,32,19,48,614,463,439
YBR101C,590,503,644,3612,2463,2899
YBR102C,115,134,184,2236,1662,1605
YBR103W,193,218,260,1786,1157,1230
YBR104W,125,108,111,836,621,751
YBR105C,81,84,121,1078,702,733
YBR106W,3037,2096,3231,10807,7402,9119
YBR107C,18,5,13,232,218,214
YBR108W,97,89,130,1132,777,883
YBR109C,1027,823,1082,3446,2626,3381
YBR110W,164,212,233,1556,1003,1078
YBR111C,351,355,502,3430,2274,2722
YBR111W-A,60,41,65,447,288,442
YBR112C,268,282,390,3471,2459,2656
YBR114W,59,77,116,1015,685,679
YBR115C,2973,4613,5853,39492,24362,20472
YBR117C,5,6,11,56,32,45
YBR118W,137339,105414,140941,771958,510896,591538
YBR119W,32,21,40,450,294,320
YBR120C,342,312,424,640,483,568
YBR121C,1900,1708,2434,13589,8869,10166
YBR122C,192,261,364,3291,2348,2536
YBR123C,113,98,145,989,763,915
YBR125C,170,176,238,1698,1283,1224
YBR126C,1137,1022,1718,5994,3973,4149
YBR126W-A,306,275,457,2160,1541,1552
YBR127C,4010,3964,5702,25357,17124,15811
YBR128C,7,10,9,433,390,274
YBR129C,46,64,50,615,450,512
YBR130C,88,120,130,1132,822,936
YBR131W,50,55,64,691,402,481
YBR132C,99,100,170,1219,956,761
YBR133C,166,163,216,2600,1818,2112
YBR135W,67,61,95,589,389,638
YBR136W,124,101,150,2582,1740,1959
YBR137W,97,96,104,837,607,609
YBR138C,39,30,37,336,200,205
YBR139W,285,246,350,2031,1585,1754
YBR140C,375,415,482,8471,6135,6514
YBR141C,47,29,49,590,290,263
YBR142W,318,355,420,3075,1893,2348
YBR143C,1396,1340,1569,8910,6103,7183
YBR145W,83,86,114,738,574,542
YBR146W,356,267,382,3235,2448,3276
YBR147W,55,58,79,642,500,391
YBR148W,5,0,3,62,77,85
