ORF,RNA_Prints,Ribo_Prints
YGL044C,749.0,270.0
YGL169W,1671.0,463.0
YER107C,1064.0,624.0
YNR044W,1197.0,680.0
YDL195W,13711.0,1689.0
YBR038W,23074.0,720.0
YLR219W,1178.0,382.0
YDR117C,1865.0,480.0
YLR120C,9604.0,535.0
YCR026C,1239.0,537.0
YBL052C,704.0,526.0
YBR060C,1154.0,480.0
YNL103W,1225.0,561.0
YPL202C,993.0,380.0
YEL047C,5159.0,1113.0
YPR036W,98541.0,3900.0
YIL026C,2606.0,512.0
YNL317W,1583.0,300.0
YCR087C-A,1607.0,249.0
YGR235C,1738.0,409.0
YDR068W,2500.0,222.0
YDL055C,41640.0,16795.0
YPR176C,1373.0,427.0
YBR009C,4060.0,1557.0
YEL043W,1147.0,657.0
YJL003W,116.0,68.0
YML072C,16233.0,2048.0
YHR052W,1934.0,868.0
YDR142C,371.0,123.0
YOR378W,120.0,88.0
YKR026C,2309.0,685.0
YFL044C,3795.0,333.0
YJR043C,1504.0,229.0
YPL263C,4287.0,1165.0
YJR012C,635.0,102.0
YJL130C,54654.0,3339.0
YJL078C,4970.0,1025.0
YJR126C,1059.0,688.0
YKL060C,198598.0,104353.0
YBL085W,1665.0,551.0
YKL173W,3314.0,473.0
YOR353C,853.0,496.0
YIR023W,705.0,370.0
YGR200C,4347.0,1343.0
YCR044C,1028.0,499.0
YLR383W,1009.0,301.0
YDL177C,176.0,75.0
YIL127C,832.0,153.0
YDR082W,293.0,268.0
YOR049C,246.0,186.0
YOR338W,93.0,13.0
YDR348C,2162.0,534.0
YER044C-A,38.0,37.0
YKL182W,73029.0,6827.0
YOR291W,5571.0,851.0
YDR469W,401.0,195.0
YMR079W,3865.0,1035.0
YDR333C,2065.0,887.0
YKL018C-A,888.0,68.0
YKL051W,613.0,357.0
YMR013C,686.0,376.0
YPL167C,306.0,300.0
YLR223C,2827.0,323.0
YIR012W,6005.0,1202.0
YLR363C,2856.0,293.0
YNR026C,1916.0,419.0
YNR046W,2766.0,500.0
YNL328C,132.0,36.0
YJL179W,792.0,206.0
YJL014W,6735.0,1870.0
YDR219C,1036.0,230.0
YCR011C,12437.0,1457.0
YPL218W,17210.0,2374.0
YLR431C,202.0,89.0
YKR046C,1911.0,599.0
YJR036C,1229.0,141.0
YIL134C-A,5.0,4.0
YGR217W,1103.0,393.0
YNL072W,3610.0,233.0
YBL098W,1112.0,323.0
YDL095W,12040.0,3022.0
YGR216C,839.0,452.0
YOR174W,488.0,270.0
YER030W,8963.0,217.0
YFL002C,2409.0,478.0
YDR155C,30712.0,17270.0
YPR149W,5790.0,3084.0
YGL181W,2363.0,525.0
YJL176C,1942.0,597.0
YOL086W-A,2619.0,91.0
YJR072C,3673.0,1035.0
YDR047W,1790.0,966.0
YKR039W,270.0,172.0
YPL087W,821.0,583.0
YNL015W,395.0,155.0
YCR084C,7320.0,1733.0
YDR302W,888.0,322.0
YGL003C,570.0,305.0
YJL054W,3731.0,690.0
YHR178W,449.0,319.0
YOR118W,3440.0,512.0
YLR205C,761.0,135.0
YDR268W,1245.0,286.0
YGL192W,428.0,425.0
YPL170W,2726.0,260.0
YOL003C,533.0,411.0
YPR001W,82.0,73.0
YML094W,417.0,219.0
YKR006C,2316.0,423.0
YDL117W,1314.0,524.0
YMR131C,8934.0,2265.0
YDR204W,914.0,384.0
YBR085C-A,605.0,206.0
YDR251W,3303.0,772.0
YJR054W,550.0,352.0
YPL269W,230.0,175.0
YMR293C,317.0,176.0
YER089C,5833.0,821.0
YJL214W,71.0,42.0
YAL038W,478779.0,59115.0
YIL105C,17911.0,521.0
YNL137C,1688.0,504.0
YNL119W,783.0,378.0
YNR006W,1740.0,346.0
YML126C,19149.0,2272.0
YAL047C,582.0,185.0
YIL150C,1198.0,83.0
YJL208C,2290.0,331.0
YDR285W,103.0,74.0
YNL064C,17987.0,4030.0
YGR158C,6746.0,302.0
YJR152W,139.0,137.0
YKL077W,2595.0,1217.0
YFR046C,424.0,144.0
YBR212W,7619.0,503.0
YJR109C,5888.0,609.0
YKL025C,745.0,480.0
YLR254C,5902.0,101.0
YFR014C,1565.0,322.0
YBR158W,4352.0,1980.0
YIL169C,1041.0,366.0
YPL105C,2198.0,1086.0
YLR392C,319.0,182.0
YOL097C,20923.0,2242.0
YOR110W,2352.0,282.0
YMR285C,1212.0,345.0
YJL096W,620.0,253.0
YJR141W,397.0,275.0
YDR407C,1549.0,925.0
YLR354C,43796.0,6195.0
YGR110W,163.0,88.0
YMR244C-A,223.0,53.0
YIL065C,2747.0,246.0
YKL029C,9815.0,1849.0
YOR316C-A,8.0,7.0
YBR258C,88.0,43.0
YLR457C,272.0,119.0
YLR301W,3138.0,1736.0
YNL146W,50.0,27.0
YAL007C,2398.0,1006.0
YJL070C,624.0,230.0
YHR142W,1810.0,665.0
YGR098C,883.0,494.0
YBR223C,326.0,187.0
YOR103C,552.0,467.0
YGL154C,347.0,154.0
YPL178W,2243.0,789.0
YJL154C,2891.0,1115.0
YDR091C,6786.0,1838.0
YJL123C,11997.0,885.0
YHR066W,2569.0,428.0
YJL203W,505.0,135.0
YAL009W,932.0,251.0
YIL147C,2178.0,731.0
YPL244C,978.0,605.0
YBR129C,794.0,338.0
YDL160C,19539.0,819.0
YNL146C-A,18.0,17.0
YBR176W,1369.0,214.0
YLR183C,1590.0,469.0
YBL071C-B,4.0,2.0
YDL215C,2780.0,841.0
YGR167W,8221.0,866.0
YPR065W,1511.0,254.0
YJL059W,373.0,279.0
YKL099C,1781.0,292.0
YPL097W,950.0,204.0
YDR315C,1885.0,117.0
YJL143W,2820.0,653.0
YBR161W,865.0,243.0
YPR103W,6784.0,1835.0
YGL238W,6964.0,1777.0
YDL239C,127.0,126.0
YNL104C,9828.0,2087.0
YKL071W,85.0,80.0
YNL128W,48.0,33.0
YIL118W,3058.0,644.0
YDR450W,11801.0,6115.0
YNL151C,2234.0,339.0
YPL190C,6917.0,677.0
YKL191W,5508.0,1188.0
YLR220W,1819.0,345.0
YHR006W,1720.0,364.0
YHR120W,820.0,356.0
YPL240C,34998.0,3748.0
YMR232W,80.0,77.0
YGR106C,8507.0,3031.0
YMR180C,329.0,217.0
YKL021C,1725.0,721.0
YHR025W,49281.0,2472.0
YNL083W,881.0,269.0
YPR147C,705.0,472.0
YAR050W,50.0,43.0
YBL018C,1352.0,314.0
YOR098C,4238.0,1106.0
YOR357C,1367.0,248.0
YOL137W,653.0,288.0
YLR410W,6175.0,1315.0
YDR530C,2064.0,248.0
YDR131C,347.0,198.0
YER111C,1128.0,369.0
YEL031W,13852.0,3533.0
YOL071W,807.0,104.0
YER147C,597.0,335.0
YDL063C,4093.0,724.0
YER144C,705.0,391.0
YNL163C,3169.0,710.0
YOR385W,1096.0,113.0
YGR185C,7646.0,2462.0
YJL189W,34652.0,2727.0
YMR238W,3511.0,682.0
YER168C,4301.0,624.0
YPL265W,3490.0,1623.0
YIL083C,1697.0,484.0
YOR081C,1070.0,472.0
YEL026W,29509.0,1611.0
YGR050C,159.0,44.0
YLL050C,11054.0,5200.0
YDR392W,753.0,220.0
YBR290W,1725.0,257.0
YLR180W,22382.0,3830.0
YNL274C,358.0,151.0
YIL096C,951.0,208.0
YML113W,1210.0,282.0
YDR021W,589.0,219.0
YGL063W,247.0,164.0
YPL212C,3278.0,796.0
YMR005W,1226.0,513.0
YMR296C,3126.0,1792.0
YPL028W,24422.0,4889.0
YIL018W,26165.0,17105.0
YHR136C,1764.0,459.0
YGL173C,13601.0,2589.0
YOR152C,234.0,168.0
YLR330W,3386.0,1349.0
YMR188C,505.0,245.0
YPR095C,1021.0,376.0
YOR310C,71817.0,2976.0
YFR051C,11498.0,1868.0
YHR024C,1395.0,545.0
YOL038W,7607.0,1336.0
YDR188W,13937.0,2625.0
YAL027W,178.0,144.0
YMR194W,6539.0,2198.0
YGL236C,499.0,252.0
YGR129W,840.0,70.0
YAR018C,642.0,233.0
YHR133C,3291.0,1093.0
YDR541C,426.0,269.0
YMR303C,211.0,145.0
YOR369C,90354.0,28668.0
YNL275W,599.0,236.0
YLR289W,177.0,89.0
YOL117W,363.0,157.0
YNR014W,219.0,99.0
YNL054W-A,9.0,3.0
YGR021W,652.0,141.0
YOR177C,95.0,24.0
YDR411C,2019.0,534.0
YBR283C,10009.0,4222.0
YIL090W,939.0,500.0
YBR205W,4363.0,1682.0
YOR321W,2554.0,541.0
YML104C,1112.0,668.0
YBR183W,173.0,129.0
YDL004W,1381.0,512.0
YGL256W,908.0,580.0
YDR195W,2203.0,314.0
YOL048C,1535.0,216.0
YNR069C,124.0,112.0
YGR072W,1292.0,121.0
YHR201C,2662.0,687.0
YNL256W,1682.0,724.0
YOL038C-A,17.0,6.0
YMR278W,2218.0,369.0
YMR006C,4361.0,1084.0
YER184C,205.0,186.0
YLR136C,2502.0,547.0
YPR071W,319.0,107.0
YMR207C,772.0,381.0
YML015C,634.0,210.0
YOR197W,4152.0,1280.0
YCR007C,80.0,46.0
YDR540C,101.0,13.0
YEL004W,636.0,163.0
YER166W,3076.0,900.0
YDL014W,26666.0,3291.0
YNL098C,4397.0,1343.0
YBR056W,2028.0,481.0
YLL032C,670.0,291.0
YCR027C,1165.0,181.0
YDL194W,216.0,140.0
YER079W,224.0,123.0
YBR039W,7614.0,887.0
YER024W,250.0,234.0
YDR116C,398.0,234.0
YGR258C,1196.0,290.0
YDL009C,57.0,41.0
YIL021W,4244.0,691.0
YBR068C,4893.0,2391.0
YMR110C,1777.0,638.0
YDL056W,939.0,294.0
YGR234W,21214.0,7061.0
YMR108W,11958.0,3043.0
YNR020C,419.0,88.0
YKL117W,20978.0,2374.0
YMR178W,3435.0,623.0
YPR017C,333.0,149.0
YGL115W,9589.0,958.0
