Genes	WT_1	WT_2	WT_3	ncs2_1	ncs2_2	ncs2_3	uba4_1	uba4_2	uba4_3
YBL011W	76	87	20	91	52	21	112	55	60
YBL013W	5	21	4	17	10	1	33	16	13
YBL014C	11	11	3	19	12	7	29	17	11
YBL015W	463	717	215	642	349	151	744	612	426
YBL016W	70	119	36	80	38	14	97	63	40
YBL017C	212	323	77	324	216	72	430	262	217
YBL018C	32	45	9	40	18	5	43	19	23
YBL019W	18	23	9	27	18	4	28	21	17
YBL020W	58	51	21	91	32	20	85	53	51
YBL021C	23	20	8	27	19	11	31	16	20
YBL022C	615	839	245	1068	534	187	1159	759	583
YBL023C	91	120	23	148	67	23	140	66	59
YBL024W	224	290	89	313	178	59	351	191	160
YBL025W	10	25	8	22	7	0	36	8	12
YBL026W	53	118	39	107	41	24	106	42	30
YBL027W	2837	4402	1431	5069	2165	919	5054	2870	2513
YBL028C	52	86	24	70	62	13	83	59	43
YBL029C-A	18	25	1	14	14	4	17	10	8
YBL029W	2	3	0	4	1	1	8	0	3
YBL030C	6899	9649	2966	11311	5218	2113	12157	8202	6962
YBL031W	6	1	0	8	1	3	11	10	6
YBL032W	197	269	79	268	105	48	262	183	139
YBL033C	148	214	57	213	106	36	231	168	140
YBL034C	42	60	13	71	35	12	70	56	42
YBL035C	54	60	21	99	38	13	99	40	40
YBL036C	58	72	22	76	39	20	109	59	51
YBL037W	99	121	43	176	96	38	200	92	91
YBL038W	172	203	55	310	101	36	318	171	147
YBL039C	287	383	115	436	212	77	504	234	219
YBL039W-B	1	3	0	1	2	0	3	1	1
YBL040C	75	93	20	88	32	12	104	70	59
YBL041W	172	248	63	204	135	43	304	143	131
YBL042C	122	166	35	164	82	31	157	102	79
YBL043W	10	12	8	13	7	8	35	14	31
YBL044W	0	0	0	0	0	0	0	0	0
YBL045C	1289	1521	455	1969	1146	467	2396	1603	1306
YBL046W	54	49	22	72	34	13	70	47	47
YBL047C	313	507	146	651	341	107	726	466	353
YBL049W	2	0	0	0	0	0	3	2	0
YBL050W	83	123	28	83	56	29	114	78	50
YBL051C	60	87	20	94	42	23	100	68	68
YBL052C	7	18	3	32	13	5	11	9	13
YBL054W	24	45	12	48	15	8	34	24	24
YBL055C	35	36	11	51	22	7	45	23	31
YBL056W	153	212	61	215	124	56	228	165	137
YBL057C	51	58	14	87	30	14	90	64	38
YBL058W	134	210	41	226	128	44	331	152	179
YBL059C-A	65	96	37	114	37	12	74	85	43
