ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YPR137C-A,0,0,0,0,0,0,0,0,0,0
YLR384C,5212,2452,2506,893,2170,991,5585,2710,6429,2730
YDR307W,782,451,325,171,275,201,735,415,875,411
YML099C,275,660,129,220,105,247,292,678,335,778
YLR421C,2557,2198,1341,995,1195,1040,2344,2334,2657,2482
YLR090W,743,1218,374,420,299,512,714,1186,829,1323
YDL212W,2694,3708,1135,1649,1025,1607,2407,3741,2696,3867
YJR064W,7240,4392,3592,2442,3006,2491,7249,4597,7921,4692
YML022W,4200,2242,2039,696,1634,749,4083,2037,4334,2198
YER046W,91,405,27,94,23,119,62,374,80,369
YMR029C,905,1041,487,505,385,528,1053,987,1201,1046
YIR030C,194,194,112,80,89,57,175,199,220,200
YKR050W,12,330,13,75,8,90,23,307,21,380
YMR121C,1567,942,606,140,563,136,1202,950,1494,1027
YGL017W,474,821,227,296,247,331,515,835,615,882
YDL150W,1242,1527,511,301,484,321,1039,1603,1119,1832
YNL038W,319,1382,150,592,128,611,265,1220,298,1176
YHR001W-A,1016,265,644,85,548,99,1252,390,1349,324
YOL165C,0,8,1,3,0,2,1,5,0,7
YIL139C,136,704,60,262,44,222,132,570,142,594
YLR246W,75,465,32,124,31,112,52,411,79,423
YJR119C,234,321,78,83,77,78,199,316,186,274
YLR359W,6016,6579,2269,1252,1969,1444,5953,3809,5979,4293
YLR199C,941,591,488,186,443,201,1009,718,1179,819
YJL206C,155,267,81,86,81,83,171,263,218,296
YIL142W,7167,2938,3093,646,2659,807,6498,3170,7130,3476
YGL082W,1341,1054,554,386,520,412,1146,1003,1292,978
YNL138W,11361,2081,4389,534,3910,550,8433,1796,9437,1813
YDL236W,2601,2258,1575,670,1352,675,2923,2539,3142,2583
YGL142C,402,426,163,159,134,174,355,381,438,391
YGR179C,465,685,206,193,181,179,437,631,506,664
YJR086W,1595,848,544,152,551,196,1198,970,1422,957
YBR139W,2256,959,986,327,813,319,1906,884,2279,967
YHR188C,1334,914,559,227,494,208,1257,864,1546,868
YKL106C-A,6,2,1,1,3,0,4,4,7,1
YNL116W,1009,667,573,165,501,194,1097,721,1238,787
YDR361C,1554,1296,876,639,779,620,1939,1501,2117,1488
YLR445W,11,11,1,5,6,3,7,16,7,10
YGL255W,163,638,27,73,29,79,57,403,56,419
YFR007W,336,330,184,95,151,114,362,325,391,342
YLR333C,12867,8094,5233,1034,4750,1154,10478,7922,11384,8377
YHR103W,1557,1372,610,475,486,484,1116,1224,1257,1175
YHL030W,3129,1123,1488,554,1434,686,3521,1251,4050,1318
YGL077C,2148,1395,866,468,892,511,2107,1402,2351,1412
YPL204W,1682,1141,750,397,761,511,1777,1245,2161,1461
YIL009C-A,385,639,190,209,156,201,371,595,371,630
YBR302C,0,0,0,0,0,0,0,0,0,0
YOR091W,1693,2088,684,243,584,291,1267,2140,1661,2539
YGR026W,2480,1057,1226,331,1152,337,2582,1114,2950,1045
YAL040C,339,237,120,95,105,91,265,264,338,276
YDR288W,306,1074,164,504,108,481,280,932,303,1013
YGL208W,495,305,299,131,250,129,508,278,559,331
YNL284C,1151,1475,420,417,430,434,979,1457,1047,1403
YIL164C,11,407,9,201,9,212,12,416,12,420
YOL143C,5724,3800,3008,885,2694,1072,5166,3330,5437,3718
YBR237W,337,998,137,209,152,235,302,1000,343,1043
YBR197C,346,348,180,61,142,73,325,337,340,382
YHR147C,1280,870,623,366,631,421,1226,800,1388,819
YGR124W,15340,4230,8704,1684,8180,1971,18802,5007,21234,5326
YDR003W,377,597,221,127,202,139,451,571,477,641
YMR317W,93,86,11,16,7,9,31,56,27,60
YOR251C,1721,1058,1083,355,953,372,2000,1260,2023,1317
YPR181C,7764,1287,3228,498,2983,604,7437,1309,8590,1363
YCL008C,652,321,351,112,284,106,627,337,752,389
YEL064C,275,376,131,202,102,174,218,320,267,313
YML005W,401,488,138,112,138,167,353,431,390,524
YOR393W,0,0,0,0,0,0,0,0,0,0
YCR075W-A,402,235,182,57,176,67,351,254,386,263
YDL059C,153,425,51,133,50,122,114,335,110,357
YOR204W,20199,1242,8036,570,6819,663,16137,1252,17426,1482
YEL012W,638,734,442,253,353,284,677,901,712,909
YBL040C,1681,2548,718,1203,695,1121,1689,2283,1917,2217
YPR043W,32018,23113,13806,4874,11532,4837,25478,21479,26682,23149
YDR382W,35658,22476,15430,5460,13277,5505,27777,18661,28107,21273
YDR483W,4417,3088,1877,807,1463,799,3970,2732,4801,2696
YER061C,371,529,127,102,129,93,328,325,387,377
YLR022C,1527,1576,786,614,659,669,1240,1598,1426,1631
YLR073C,422,399,208,106,157,111,450,392,454,412
YER183C,764,1049,366,283,350,269,735,1089,862,1134
YHR090C,451,897,174,198,173,231,422,975,451,1107
YDL066W,8334,1061,3463,427,3063,435,8236,1139,8842,1179
YHR030C,994,1398,609,438,583,474,1229,1615,1380,1752
YBR295W,75,313,40,152,45,130,83,339,100,336
YDR143C,1129,384,415,140,456,147,993,393,1173,404
YIL011W,346,64,62,14,64,26,151,58,196,74
YEL034W,40966,6911,18448,2618,14907,2866,34172,6742,34666,7616
YHL015W,48565,17365,19619,6077,16574,6202,37589,16592,42456,17048
YNR050C,3009,1437,1348,467,1380,574,2993,1440,3320,1483
YKL208W,241,404,92,93,120,130,262,422,313,424
YGR004W,361,553,169,114,142,132,330,485,372,467
YML110C,3230,2081,1221,366,1120,440,2579,1726,2829,1736
YGL048C,5238,3429,2603,1244,2370,1306,4677,3815,5102,3946
YGL243W,234,888,97,337,73,394,194,828,210,838
YKL106W,946,896,428,328,396,325,938,873,1161,917
YPR029C,1765,761,1040,292,849,303,1892,703,2313,758
YJL034W,16016,5528,8632,2220,7341,2345,18050,5639,21711,5881
YFL048C,2557,1438,1341,757,1104,800,2601,1504,3154,1451
YLR117C,466,818,251,249,230,330,507,880,557,857
YOR176W,3097,1228,1834,391,1357,406,3185,1275,3705,1303
YOR109W,2782,900,1312,382,1355,386,3261,1028,3691,1052
YBL089W,303,468,136,206,123,204,282,488,383,481
YDL084W,21952,9374,9132,3227,8032,3287,17337,8295,19263,8328
YCL055W,860,861,354,323,559,464,1206,1083,1309,1093
YGL116W,761,926,395,202,346,235,761,961,845,998
YBL054W,666,418,290,83,230,101,665,435,746,471
YCR024C,249,211,65,59,61,54,136,210,196,178
YIL102C-A,128,92,31,33,26,17,87,94,82,103
YMR102C,769,1203,370,342,337,391,729,1144,814,1225
YCR071C,788,654,309,80,267,81,582,647,655,629
YDR175C,1168,1138,489,311,484,331,974,928,999,1068
YOR189W,604,575,186,98,185,137,400,543,440,577
YOR154W,263,664,207,229,158,256,341,748,458,790
YPR121W,9,462,8,136,2,158,6,452,9,422
YBR070C,415,630,180,171,139,134,322,548,378,596
YOR280C,909,509,495,134,352,117,773,479,825,488
YNL315C,1185,906,467,289,451,313,846,802,969,737
YPR174C,356,294,148,114,126,104,305,324,378,327
YJR045C,49342,3184,18416,1254,16851,1357,38923,3229,42456,3383
YMR008C,1914,711,699,228,583,203,1210,539,1358,575
YDR349C,777,736,369,183,294,225,738,757,773,758
YDL171C,12242,3517,4741,1269,3924,1281,10295,3190,11637,3314
YKL062W,1616,283,1373,257,1058,229,2254,411,2622,444
YJR010W,393,468,180,121,167,118,366,432,406,463
YJL218W,274,232,92,47,67,30,166,188,190,193
YLR222C,2300,1581,1240,604,1028,643,2534,1663,2747,1654
YDR093W,1573,1288,432,275,412,308,1030,1040,1185,1215
YMR282C,332,881,131,338,117,391,341,818,368,786
YIL109C,8097,2083,3945,781,3446,926,8697,2266,9451,2322
YFL022C,10239,1940,4402,578,3527,544,7730,1702,8549,1891
YPL109C,162,239,75,67,50,67,142,209,181,237
YJL156C,791,756,291,332,309,343,702,761,778,784
YNL071W,13881,4037,4948,881,4167,909,10159,3619,11039,3880
YMR088C,682,882,332,313,257,307,710,769,755,779
YGR211W,4217,1008,2434,387,1882,355,4342,1150,4844,1341
YKL139W,646,933,305,255,239,262,490,898,641,930
YJL069C,1310,1044,790,336,622,323,1668,1178,1877,1297
YJL016W,301,740,124,231,99,228,214,597,247,637
YBL005W-B,61,196,18,79,21,102,60,223,63,268
YER087W,487,673,127,266,139,320,324,594,418,573
YLR285W,1575,1059,747,247,714,259,1572,984,1687,1015
YLR267W,104,148,46,53,48,45,136,143,128,147
YDL219W,982,916,572,371,568,401,1078,893,1237,874
YCR024C-A,6832,842,2970,393,2719,324,6409,868,6296,846
YDR206W,678,1090,280,383,242,450,594,989,763,1012
YKR024C,936,660,493,229,382,208,1024,759,1101,875
YBR156C,412,231,208,57,199,55,427,222,518,218
YOR076C,688,583,260,170,247,185,609,510,715,545
YEL059C-A,118,131,80,44,52,33,135,211,150,220
YDR405W,687,716,280,100,249,100,572,823,668,920
YOL091W,47,160,16,44,10,37,32,152,41,171
YCL031C,1757,1568,920,612,843,622,1790,1579,1991,1624
YIL027C,1282,1246,596,481,482,484,1215,1236,1276,1382
YLR459W,826,435,339,159,255,155,728,423,836,419
YNL243W,4673,1634,2730,635,2176,704,4796,1831,5484,1930
YNR026C,1275,474,566,135,489,166,1131,467,1249,501
YHL044W,92,258,57,139,62,138,112,267,119,296
YPR204W,0,0,0,0,0,0,0,0,0,0
YOR311C,930,634,543,232,411,199,887,537,1072,590
YHR068W,8337,3034,4016,690,3719,693,7637,2679,8017,2888
YGR149W,349,550,163,142,177,154,388,507,465,513
YDR458C,666,1109,229,304,196,314,537,1211,639,1195
YKL193C,1172,370,557,128,438,104,966,348,1099,382
YLR310C,1551,1041,718,469,686,457,1507,1076,1821,1129
YNR008W,1087,952,485,248,405,262,951,944,1068,1033
YJR150C,32,18,3,2,5,0,4,9,5,11
YBR301W,2,1,2,1,0,1,0,2,0,7
YLR003C,1267,1364,388,342,307,352,763,1149,851,1266
YER113C,582,829,278,364,202,344,544,798,652,810
YHR122W,815,829,562,270,461,296,1063,989,1153,1029
YHL017W,895,972,519,413,401,460,924,958,1085,988
YOR305W,252,1251,122,408,99,432,204,1198,217,1146
YIL085C,607,1617,224,448,195,463,475,1599,506,1640
YMR190C,423,601,217,201,174,214,490,738,660,756
YCR052W,1596,1070,669,249,697,283,1556,974,1826,1189
YOR272W,2339,1304,1122,434,1020,430,2620,1471,2924,1526
YOR058C,647,419,231,130,228,177,554,398,589,379
YAL064W-B,0,3,0,2,0,1,0,7,0,2
YBR203W,118,145,71,51,46,44,68,107,98,99
YCL032W,288,615,126,124,99,144,254,597,292,632
YAR029W,8,123,3,43,2,41,6,136,5,157
YNL238W,968,681,444,259,364,281,876,608,1069,621
YJL198W,1421,1112,565,382,514,361,1479,1031,1589,1192
YOL135C,455,439,183,101,211,138,441,412,528,498
YOR323C,8756,2820,5663,651,4519,651,9341,3122,10048,3487
YLL041C,1271,440,947,208,848,231,1768,520,2039,520
YKR074W,1592,1177,715,427,564,436,1384,1032,1512,1034
YOR195W,1879,1076,883,341,744,360,1549,1036,1844,1012
YER026C,2962,2455,1862,961,1694,988,3923,2791,4175,3058
YMR201C,340,498,193,103,143,122,343,641,411,606
YLR069C,1502,891,478,342,388,372,990,739,1171,767
YML042W,58,216,33,66,20,73,45,163,55,185
YMR050C,0,0,0,0,0,0,0,0,0,0
YDR069C,602,273,236,104,197,128,470,263,531,281
YGR232W,1300,1015,748,275,631,358,1273,1108,1538,1301
YEL066W,1079,569,676,88,454,100,975,629,1185,609
YPR035W,23542,12264,8885,2696,9338,3239,19098,10233,20148,11167
YDR014W,276,333,126,130,111,159,232,344,302,339
YDR227W,862,828,351,228,275,238,755,765,887,806
YDL130W-A,1067,470,466,131,419,160,877,456,1066,544
YMR037C,1641,381,681,144,646,141,1451,379,1636,402
YCR038C,36,175,10,54,3,65,25,150,43,160
YOR157C,4341,2055,2545,409,2128,438,4723,2714,5194,3045
YCL056C,83,642,60,130,37,166,76,631,69,604
YBR093C,4096,1344,267,164,304,174,610,362,677,365
YBL112C,0,0,0,0,0,0,0,0,0,0
YNL092W,105,138,37,40,28,29,56,125,67,101
YGL054C,4014,3506,1847,1279,1563,1175,3405,3215,3871,3055
YLR134W,2755,375,1113,114,962,117,1941,391,2442,424
YLR161W,0,0,0,0,0,0,0,0,0,0
YKL096C-B,0,10,2,3,1,5,2,5,1,6
YPL225W,4523,3706,2232,1495,2116,1649,4423,3949,4680,3764
YPL270W,693,660,307,211,308,236,744,698,868,693
YDL012C,1035,368,337,96,409,115,882,359,950,413
YDR218C,18,34,24,23,16,23,24,53,39,51
YLR299W,676,485,373,168,303,174,727,500,885,534
YJL177W,21971,7606,9507,1291,8841,1378,18887,6898,20124,7582
YGL139W,1086,334,457,173,376,170,1001,363,1089,336
YNL054W,1073,390,458,144,429,160,1013,475,1076,509
YDR156W,1280,824,550,104,502,99,1102,755,1260,838
YPR155C,406,619,223,217,188,223,497,648,624,620
YOR137C,181,601,66,167,50,161,129,432,178,426
YKL172W,3272,3567,1316,710,1099,835,2780,3936,3160,4412
YNL336W,14,40,14,17,7,21,18,41,34,45
YDR305C,519,740,227,227,170,226,442,699,495,750
YJR059W,1958,948,1016,303,857,346,1880,1146,2158,1185
YPR100W,981,1172,450,246,381,283,726,1201,815,1242
YDR358W,1532,591,464,197,437,268,1157,643,1251,587
YLR096W,1133,655,445,216,425,296,1065,657,1137,753
YDR194W-A,0,3,0,1,0,0,0,3,1,0
YKR052C,327,592,200,320,181,340,470,643,466,684
YER040W,635,306,285,111,215,157,554,334,650,344
YIR032C,26,184,25,122,20,104,44,222,49,227
YGL015C,1,9,0,3,2,5,3,11,3,9
YJR066W,858,1040,373,364,301,415,800,934,969,919
YMR127C,229,492,100,187,78,223,234,469,234,473
YIL140W,1756,321,721,122,577,128,1609,360,1850,393
YOL163W,1,41,0,14,2,13,3,45,2,42
YLR197W,14949,6516,6430,1967,5733,2177,13612,6119,14875,6231
YAL064W,0,2,0,1,0,1,0,1,0,3
YJL204C,904,515,406,120,378,113,772,524,915,513
YLR244C,10129,3175,6297,668,5604,780,11982,3463,13152,3867
YJR084W,431,795,214,247,211,304,510,807,618,851
YLR233C,63,251,33,59,27,61,64,219,91,194
YDL238C,128,208,65,66,52,86,122,217,140,208
YGL084C,998,725,450,309,434,328,917,727,1212,706
YLR382C,394,413,151,124,124,144,304,361,334,390
YLR154C-H,0,0,0,0,0,0,0,0,0,0
YLR154C-G,0,0,0,0,0,0,0,0,0,0
YLR219W,762,338,345,102,281,120,772,371,985,424
YDR363W,309,396,113,94,118,86,247,347,277,378
YNL163C,1558,1515,903,549,687,534,1774,1628,2045,1680
YFR005C,5914,945,1096,290,919,383,3963,859,4033,933
YHL036W,60,123,30,31,22,32,67,83,66,88
YFR050C,3707,1497,1690,488,2011,555,4320,1835,4994,1895
YLR447C,9270,5309,5301,2263,4360,2299,9821,5110,11549,5089
YNR069C,12,145,6,40,8,46,14,130,21,163
YGR126W,208,42,102,19,68,29,181,66,197,65
YAR019C,233,209,91,91,74,83,214,229,249,254
YGL071W,586,369,302,115,251,147,631,369,631,419
YGL257C,319,1161,156,498,110,448,292,1070,367,998
YGR020C,4525,2888,2268,709,1966,738,4089,2831,4591,2885
YOR093C,638,946,301,430,255,409,598,864,784,853
YAL046C,792,707,389,90,371,113,711,659,746,739
YDR198C,271,571,113,196,117,206,239,600,327,647
YAL039C,568,611,326,142,240,173,494,635,494,721
YDL185W,49509,8839,22251,2890,19041,2802,41817,8488,44536,8734
YGR100W,681,847,392,275,344,339,776,821,973,880
YER060W,233,398,82,122,58,81,164,282,141,270
YHR164C,537,772,293,211,262,247,610,865,720,921
YDR286C,313,274,174,51,149,49,331,265,359,263
YHR141C,6589,6645,3583,2020,3194,1874,6288,6174,6343,6243
YPL128C,788,287,350,110,250,99,713,262,831,307
YJL091C,686,760,304,269,278,272,680,651,807,619
YBR191W,27460,9033,11044,2496,9888,2332,22966,7627,23834,8140
YDR380W,2412,2742,3908,1536,2572,1596,4306,3588,6146,3395
YGL100W,1486,1467,708,288,604,303,1596,1560,1865,1618
YGL056C,1231,602,689,219,621,194,1354,587,1518,647
YDR485C,630,907,303,187,258,252,627,1089,698,1070
YPL239W,1560,1279,887,368,759,365,1618,1548,1775,1584
YPR183W,6653,1033,2371,266,2112,289,4836,898,5441,1023
YOR206W,3268,2174,1184,600,1061,580,2504,2216,3071,2499
YEL049W,1,8,1,2,1,0,2,8,2,2
YOR391C,0,3,0,1,0,0,1,1,2,3
YDR525W-A,970,115,447,57,413,48,893,113,960,136
YLR075W,111056,66998,49889,20694,46030,21319,99870,62942,106919,65745
YBR054W,1691,850,380,366,316,318,560,532,800,471
YLR020C,510,1171,225,415,184,414,497,1063,617,1140
YNL217W,1028,1874,372,475,349,546,851,1426,847,1578
YER067W,789,299,220,123,255,145,498,320,580,296
YIL013C,97,168,55,69,33,68,94,161,94,147
YPL206C,1829,1473,967,623,833,654,1897,1545,1918,1666
YDL060W,1750,1765,1010,582,721,629,2286,1973,2421,2212
YBR293W,77,390,57,191,52,214,95,404,135,409
YNR052C,1480,733,582,286,605,307,1298,690,1436,808
YHR032W,1062,1079,512,348,398,361,1045,939,1180,975
YEL032W,1903,940,1147,345,908,372,2098,1099,2478,1143
YOL076W,3393,1021,1040,516,810,482,4137,1010,3245,980
YHR203C,15800,6811,6090,1108,5025,1064,12367,5894,13773,6233
YML112W,491,428,249,101,193,96,436,389,497,527
YGL241W,980,761,395,294,312,359,760,731,906,748
YPR176C,634,1346,282,576,234,601,507,1160,509,1204
YDR057W,608,855,321,348,280,375,673,863,714,821
YJL036W,734,702,359,239,337,274,649,668,735,730
YER009W,13502,4587,5665,1219,5153,1351,11032,4072,11718,4125
YLR115W,669,698,334,195,272,209,630,670,794,716
YGL114W,380,1041,204,307,165,286,434,1139,568,1232
YER167W,880,837,338,226,389,230,759,818,794,893
YMR104C,252,348,150,168,130,152,265,325,298,316
YER185W,11,85,6,32,2,26,15,81,23,77
YDL195W,13513,1342,7349,599,6166,627,14986,1499,16859,1683
YNL199C,1050,1072,457,351,449,380,971,1040,1087,1091
YCR026C,702,891,367,298,288,295,805,980,1003,964
YMR246W,8014,2991,4761,1105,3491,1089,7998,3363,9489,3626
YER159C-A,0,0,0,0,0,0,0,0,0,0
YBR076W,25,56,11,24,12,27,33,88,26,88
YNL317W,592,622,316,139,259,161,551,588,661,619
YLL019C,534,418,252,191,244,212,600,472,713,475
YDR177W,2517,1849,1086,738,1209,819,2560,1937,2770,2053
YHR052W,3117,2101,1368,707,1154,707,2739,2037,3043,2060
YKR026C,1744,1991,686,794,613,816,1357,1953,1499,1996
YJR043C,658,330,230,93,200,93,534,258,555,302
YJR012C,263,297,114,54,87,62,237,251,268,255
YKL060C,381481,117519,137914,31691,129076,35658,279618,95128,309449,102634
YCR044C,710,674,367,282,305,256,755,632,910,668
YKL035W,13283,3814,6627,1038,5468,1122,11358,3929,12784,3794
YLR264C-A,2,5,3,0,2,5,2,10,6,9
YNL073W,426,534,180,219,145,205,368,515,374,507
YMR280C,107,128,67,31,70,23,103,98,135,92
YFL020C,5,14,1,4,5,3,4,19,7,26
YNL328C,124,82,40,19,26,19,91,66,87,57
YJL014W,6369,3063,3489,1155,3102,1330,7038,3565,7913,3753
YGR217W,517,621,183,227,158,256,466,704,558,666
YOR174W,353,932,137,315,154,367,375,990,441,1011
YPR149W,10724,2187,5597,962,4461,887,11202,2668,12629,2631
YNL015W,1859,440,913,103,648,98,1278,376,1587,410
YCR084C,5738,1061,1989,346,1855,391,4167,947,5031,1149
YHR178W,264,359,108,103,78,104,216,300,212,268
YPL187W,32158,6289,9256,1218,10536,1946,23514,5383,24891,6009
YLR283W,313,419,143,170,118,153,218,395,254,420
YPL170W,595,784,363,231,329,228,609,938,712,876
YJL221C,0,0,0,0,0,0,0,0,0,0
YDR204W,816,947,353,260,298,296,698,959,827,973
YBR085C-A,1817,1326,1049,694,925,716,1945,1444,2249,1509
YDR251W,1718,930,602,257,491,254,1288,804,1419,833
YNL048W,767,1042,306,427,266,400,606,924,777,961
YOR074C,1515,562,968,128,878,126,1766,744,1769,746
YDR347W,1315,867,543,119,530,150,1123,753,1279,830
YJR152W,2,399,3,124,1,105,7,396,0,454
YKL025C,1530,487,1034,192,878,186,1848,539,2018,568
YAR008W,300,630,178,303,140,307,302,639,335,688
YBR158W,1682,2749,582,890,572,1077,1373,3020,1616,3246
YOL097C,6867,3317,3602,1163,3088,1250,6526,3233,7336,3388
YNL122C,871,420,323,136,331,165,690,371,734,386
YDR407C,870,981,402,294,360,340,902,836,1111,882
YNR020C,337,522,176,120,151,129,281,520,299,632
YBR258C,225,390,116,120,124,152,213,472,280,495
YNL146W,205,76,79,21,76,18,186,62,199,53
YFR019W,1525,1043,890,334,601,372,1186,906,1394,1026
YLR262C-A,3871,2987,1900,507,1853,583,3366,3192,3818,3418
YBR223C,142,253,68,59,50,80,138,208,149,206
YNL241C,4324,1357,3046,414,2592,478,5684,1694,6605,1839
YJL154C,1692,1390,847,492,688,524,1683,1351,2037,1315
YDR091C,6467,1508,2899,647,2328,757,5557,1256,6220,1274
YJL123C,3005,3524,1729,900,1405,1027,2875,3588,3328,3804
YIR005W,302,436,136,155,130,201,255,407,266,388
YPL047W,182,309,101,119,80,119,203,315,217,302
YER086W,4950,1334,1825,428,1555,364,4684,1346,5109,1366
YLR287C-A,11976,6162,3778,1370,3499,1508,8158,5590,9625,5846
YBR176W,523,693,219,158,204,163,478,564,548,657
YDR207C,907,390,357,99,335,122,736,395,810,340
YFR026C,5,150,1,46,0,42,5,168,6,198
YPL036W,85,113,68,44,51,46,102,98,142,109
YGL238W,3438,2080,1967,881,1729,1012,3947,2129,4412,2055
YJL165C,1275,1713,663,471,508,537,1221,1753,1337,1897
YNL128W,71,149,23,35,24,46,53,134,83,162
YLR312C,35,82,31,82,24,49,67,123,55,89
YKL191W,1271,1041,706,281,583,283,1484,1280,1603,1355
YNR006W,1097,454,497,153,460,179,958,514,1109,539
YHR120W,353,788,146,248,107,261,357,749,407,732
YAR050W,15,49,8,13,7,11,6,49,17,50
YOL137W,590,599,320,179,270,178,615,660,683,671
YDR530C,360,535,142,89,98,94,210,447,286,472
YER111C,1309,427,390,155,419,165,1044,422,1144,466
YER144C,279,443,135,153,140,156,288,445,330,472
YOL039W,37036,19983,17507,2128,14356,2158,29231,17669,32252,19491
YIL083C,1186,781,516,172,425,198,973,762,1065,767
YHL011C,4002,2340,2550,811,2074,730,4659,2537,5265,2537
YGR184C,2351,1408,1187,487,960,510,2565,1694,3170,1818
YMR303C,194,134,150,34,144,39,260,198,300,220
YPL060W,214,289,62,121,54,113,127,248,141,214
YDR411C,823,923,441,310,394,345,902,968,1035,1030
YBR205W,2287,1492,865,425,741,396,1938,1442,2187,1403
YOR321W,909,713,394,200,340,167,778,771,994,754
YMR186W,90348,16815,52724,6085,46380,6419,101135,19827,112217,19052
YMR278W,1297,671,419,213,409,244,878,558,1048,526
YLR136C,454,164,170,13,193,33,502,142,456,188
YGL260W,0,0,0,0,0,0,0,0,0,0
YMR207C,199,602,67,187,61,220,230,706,251,678
YML015C,540,523,239,158,233,173,541,505,527,549
YOR197W,4252,1737,2321,612,2123,652,4572,1719,5146,1888
YKR089C,1190,1040,546,345,530,453,1222,1067,1421,1152
YKR072C,1459,1612,685,297,660,329,1378,1488,1643,1613
YDL014W,12364,6083,6164,1039,5338,1109,11803,5938,11935,7124
YML040W,0,0,0,0,0,0,0,0,0,0
YER079W,660,320,312,119,284,160,514,385,638,404
YER024W,82,414,51,155,41,148,73,446,73,523
YOR230W,15127,4845,6973,1120,5959,1265,12062,4072,13773,4068
YGR234W,19779,6169,10259,1852,9792,2158,18871,5091,21789,5039
YMR178W,1499,1415,962,636,737,595,1449,1477,1777,1466
YPR037C,568,975,266,252,215,261,480,973,534,1075
YNL090W,849,1171,413,593,405,646,834,1192,882,1113
YOR307C,643,1099,264,270,242,301,615,952,690,973
YMR225C,881,274,351,80,307,91,622,249,680,324
YBR095C,614,861,312,243,241,250,617,880,699,1011
YDR036C,1377,393,508,90,495,117,1191,349,1395,360
YGR043C,71,226,163,163,110,156,251,328,272,352
YPL223C,33,34,23,17,13,18,32,44,30,48
YPL272C,12,265,3,157,3,120,7,241,10,180
YOL002C,758,2186,571,1451,499,1507,1016,2701,1089,2591
YFL005W,4304,3045,2227,1535,2181,1659,4121,2896,4427,2957
YCR010C,12,39,13,17,8,14,15,34,14,34
YMR152W,1470,863,1079,320,1004,381,2208,1171,2490,1149
YMR125W,3586,1606,2045,681,1629,727,3809,1614,4258,1700
YJR031C,1100,874,624,363,486,381,1268,870,1573,742
YCL026C-A,27,27,10,11,10,7,19,20,41,26
YCL026C-B,202,37,66,10,49,11,62,17,92,17
YGR118W,15042,11659,7380,3221,5761,3198,11548,10301,12592,10396
YJL055W,2267,3189,1105,905,962,995,1843,2863,2008,3005
YPR102C,14311,6413,6421,1639,5750,1702,11931,6010,11690,6053
YNL334C,0,9,1,2,0,3,3,4,6,11
YGL123W,81067,43746,33594,9206,29699,9198,67051,38392,71093,40977
YDR303C,1407,1029,570,335,457,356,1189,870,1456,832
YPL086C,1960,1452,5,3,1051,561,2572,1841,2813,1941
Q0250,17,290,14,310,11,303,29,426,29,488
Q0255,4,74,4,34,3,36,7,112,10,97
YKR066C,2502,2038,1191,552,1110,656,2577,2260,3018,2373
YLL003W,257,720,104,247,101,282,245,679,256,693
YLR425W,436,510,178,143,169,179,428,496,466,538
YDR109C,282,569,141,172,153,202,304,560,388,589
YDR221W,968,587,357,176,269,177,702,482,783,519
YLR109W,56287,20300,23490,2306,20332,2409,55780,24055,55309,28868
YKR009C,150,357,82,90,89,99,160,353,179,326
YMR078C,601,578,308,124,208,135,515,559,621,509
YLR094C,722,265,333,97,251,89,619,283,685,319
YDL154W,53,569,13,107,20,123,14,331,25,305
YJR060W,2834,1356,1161,420,1010,491,2211,1200,2303,1290
YNL161W,1562,1113,627,372,534,419,1275,1007,1474,1095
YIL146C,136,148,54,59,24,40,65,123,72,143
YLR195C,2617,1543,1647,590,1467,612,2801,1504,3196,1512
YOL161C,0,1,0,0,0,1,0,1,0,1
YLR231C,1734,1428,1320,740,823,589,1907,1370,2066,1428
YKL016C,3794,1148,2109,284,1774,307,3978,1486,4352,1581
YPL111W,2249,1184,1415,471,1251,500,3079,1682,3238,2029
YKL174C,644,961,266,438,230,396,573,997,720,970
YKL121W,282,348,137,110,111,118,234,342,323,324
R0040C,25,7709,7,2094,14,4826,23,4766,26,6937
YLR380W,1709,502,745,107,555,108,1228,415,1508,476
YOR142W-B,0,0,0,0,0,0,0,0,0,0
YOR142W-A,0,0,0,0,0,0,0,0,0,0
YMR012W,17121,2880,6941,966,5846,1013,14210,2818,16249,3029
YER093C,452,638,178,232,179,228,422,593,520,617
YOR032W-A,1,17,0,4,0,5,1,17,1,20
YDL201W,1481,845,425,168,395,165,882,901,982,957
YDR468C,968,1246,399,486,421,553,818,1214,823,1175
YFR003C,1040,851,517,170,464,215,904,1024,1055,1116
YIL033C,2777,544,1294,193,1062,231,2258,491,2841,538
YOR368W,341,571,195,261,154,216,335,557,388,572
YGR128C,2685,1236,1317,408,1100,414,2757,1313,2847,1297
YIL048W,988,693,460,245,370,264,1091,696,1354,662
YLR337C,2505,571,1032,214,1234,250,2623,605,2893,672
YOL056W,666,820,270,330,233,346,540,764,598,779
YFR052W,3698,1839,2155,542,1867,605,4290,2162,4815,2244
YGR088W,117,380,137,174,145,167,310,572,387,539
YGL073W,982,751,510,205,458,273,1059,871,1258,947
YGL259W,1,8,4,4,2,3,2,5,7,9
YGR106C,6180,5217,3054,1977,2658,2055,5944,4823,6666,4630
YGL086W,1168,1022,409,270,345,300,824,951,1028,935
