ORF,WT_Ribo,WT_RNA,elp3_Ribo,elp3_RNA,ncs2_Ribo,ncs2_RNA,ncs6_Ribo,ncs6_RNA,uba4_Ribo,uba4_RNA
YLR413W,9022,1713,3639,819,3667,908,10387,2298,10887,2521
YDL120W,1350,823,707,123,687,171,1526,891,1680,969
YGR127W,345,336,125,126,130,124,287,341,335,344
YMR113W,592,901,376,444,311,411,741,1009,816,978
YMR084W,0,36,0,10,3,12,3,25,4,31
YNL021W,1495,774,682,296,550,277,1303,734,1572,828
YGL021W,1201,1173,521,404,465,493,1166,1108,1338,1164
YHR021C,25486,14791,9847,3843,8481,3488,21603,13553,22401,14561
YHR072W-A,3013,2225,1092,696,963,821,2469,2253,2835,2248
YHR167W,378,609,203,191,156,226,375,574,393,596
YIL172C,0,0,0,0,0,0,0,0,0,0
YKL146W,759,633,317,235,340,292,878,742,938,738
YLR227C,45,422,35,191,34,184,56,428,54,418
YKL080W,9577,3962,4661,1172,4297,1209,9937,3445,10720,3621
YGL096W,76,191,24,56,23,63,53,144,54,143
YFL055W,18,139,15,42,8,36,17,107,24,119
YKL160W,1860,1940,1086,372,979,405,1967,2110,2250,2212
YDL091C,321,508,129,133,135,153,293,441,391,526
YHR198C,640,427,251,143,246,134,575,390,598,373
YJL129C,492,1061,189,402,154,413,426,1050,525,1119
YLR209C,1388,752,917,241,711,225,1482,827,1580,813
YMR026C,246,535,127,175,110,169,247,508,316,545
YJL074C,1502,908,528,274,522,329,1324,873,1523,889
YNL177C,1362,1094,488,342,452,433,1073,1126,1138,1084
YKL162C,139,155,74,37,52,39,152,170,151,147
YOR114W,201,178,73,30,63,27,185,169,179,156
YDR326C,1448,1119,528,407,403,425,1265,1280,1524,1331
YPR134W,235,521,89,198,84,243,204,518,260,503
YFR039C,523,804,213,261,169,242,427,656,495,741
YHL020C,580,1307,239,385,203,468,503,1288,591,1412
YIL009W,1184,1092,324,337,277,350,547,778,628,821
YFR042W,626,616,314,314,282,300,639,615,746,583
YHR029C,988,607,838,243,612,281,1175,734,1543,688
YOR354C,1273,587,515,227,368,205,968,504,1089,535
YGL223C,773,520,378,169,355,202,781,538,943,542
YOR036W,442,1089,310,497,284,571,558,1203,606,1272
YGR032W,1928,1101,710,386,454,367,1263,867,1252,937
YJR145C,17319,9292,6479,2388,5729,2454,13047,7716,14317,8067
YDR423C,697,820,379,146,303,177,686,807,869,842
YGL076C,22009,7598,8486,1017,7702,1076,17819,6736,18815,7027
YGR132C,3238,2183,1728,1001,1542,1035,3174,2138,3465,2201
YLR415C,2,9,2,3,3,2,5,10,1,6
YBR256C,1088,2219,930,1322,755,1226,1308,2630,1546,2631
YGR109C,536,219,196,49,213,54,556,273,567,287
YKL073W,2394,1211,998,459,759,484,1907,1131,2169,1057
YNL130C,1784,1453,893,444,786,461,1740,1300,2062,1354
YPL141C,575,266,260,95,237,107,551,244,737,292
YHR151C,287,384,139,77,108,112,252,294,267,370
YJL081C,1220,1179,484,289,437,340,954,956,1057,992
YOR304C-A,232,329,137,56,109,53,216,292,231,310
YMR318C,6410,2805,5158,1338,4728,1376,9322,3914,9881,4095
YCL018W,9,3,0,3,4,2,5,4,4,8
YGR181W,1473,511,618,116,531,123,1164,477,1329,513
YOR214C,3,25,1,6,1,6,3,21,10,19
YGL176C,139,345,76,99,60,79,142,365,167,371
YBL030C,10801,2772,7531,913,6558,934,14017,3701,15113,3837
YPL229W,308,155,137,57,134,54,331,145,306,152
YOR376W-A,0,36,1,21,0,13,1,28,1,30
YLL054C,193,191,83,91,102,116,195,177,224,187
YOR381W,5,396,4,171,3,194,5,414,5,424
YER073W,5338,3524,4092,1415,2910,1271,7668,3803,7868,4103
YLR012C,0,6,3,6,2,5,3,7,7,13
YLR065C,889,1492,359,376,304,418,727,1344,761,1333
YBR046C,1267,689,437,225,467,236,898,572,1092,578
YNR040W,397,533,181,95,159,105,338,415,397,510
YIL067C,236,745,119,312,110,287,239,696,292,774
YHR020W,12951,2914,5677,1068,4630,1075,10232,2466,11080,2603
YIL089W,85,100,45,42,24,33,72,76,79,77
YOL033W,296,847,112,432,104,364,256,721,316,678
YBR238C,855,230,309,90,301,84,819,222,899,220
YGR049W,732,239,211,53,180,73,470,252,560,228
YOR293C-A,3,20,4,0,5,5,4,17,5,26
YKR099W,481,576,195,141,156,121,403,730,406,706
YML100W,4088,1356,2422,668,2130,801,4687,1726,5857,1718
YOR144C,447,335,169,107,128,148,420,340,490,320
YMR158W,1018,603,360,133,352,172,755,510,881,558
YJL024C,863,586,411,148,366,183,887,656,951,659
YDR519W,1470,1091,731,408,642,411,1281,984,1412,1030
YER102W,10629,3610,3874,775,3828,666,8425,3227,9246,3393
YER019W,796,991,463,274,425,348,861,872,954,999
YMR263W,786,1370,290,512,311,593,727,1650,809,1758
YLR152C,89,455,63,192,45,163,127,469,144,461
YBR211C,494,743,238,305,208,333,424,664,527,711
YLR129W,2201,2659,1069,1312,908,1369,2175,2788,2609,2937
YNR032C-A,479,547,307,185,261,195,523,631,600,686
YOR298W,31,145,16,54,13,40,22,155,30,140
YMR172W,383,593,170,163,146,195,332,583,412,633
YCR034W,4266,1389,1790,608,1560,519,3691,1238,3982,1401
YCR043C,1508,936,834,128,686,160,1353,1033,1511,1006
YLL009C,1006,529,489,126,424,141,788,518,868,527
YJL146W,456,524,208,134,181,182,430,427,499,443
YBR071W,1216,320,627,146,611,155,1302,308,1376,373
YBR060C,712,580,226,134,249,139,613,508,646,559
YDR103W,883,1021,481,441,417,444,923,1109,1097,1119
YMR018W,7,119,8,52,6,41,6,98,17,70
YOR181W,1026,389,613,118,534,129,1191,448,1437,530
YIR023W,646,400,263,137,226,155,522,413,676,452
YKR043C,4545,2780,2488,637,2138,620,4642,2979,4993,3429
YER053C-A,702,120,473,71,372,66,721,154,756,158
YMR067C,1114,446,656,146,576,157,1305,539,1524,573
YDL143W,5990,3640,3671,867,3156,971,7061,4345,7911,4645
YKR034W,6,10,1,3,3,4,2,16,5,17
YHR044C,75,182,22,64,33,78,52,182,63,183
YCL021W-A,7,185,9,50,2,57,7,149,5,141
YGL197W,1208,628,587,217,497,237,1239,607,1415,692
YPR060C,1483,1304,520,466,424,535,921,1213,1158,1218
YNL036W,433,649,282,177,238,190,1389,919,925,1212
YFL012W,14,12,10,8,2,3,10,32,16,13
YMR296C,2558,976,938,261,773,281,2072,993,2481,1092
YDR267C,694,1149,359,333,345,345,717,1143,730,1241
YJL208C,770,637,336,139,260,122,710,600,777,610
YOR162C,205,319,80,127,69,127,174,375,200,446
YMR098C,481,608,182,175,141,231,406,561,446,587
YMR045C,262,296,75,95,90,132,244,300,300,320
YJL002C,3627,1745,1656,652,1503,694,3941,1596,4596,1645
YPR159W,3791,2206,1911,716,1528,672,3706,1933,3904,1842
YGR223C,371,736,168,225,160,260,384,768,436,814
YDR074W,3945,2025,2505,979,2039,1104,4537,2295,5454,2308
YPR075C,835,1235,383,198,359,227,924,1376,1005,1517
YML053C,841,488,268,131,286,135,595,518,729,493
YER099C,1163,1423,722,392,630,404,1404,1442,1483,1636
YHR186C,1073,798,445,299,377,339,1060,816,1256,892
YLR174W,27,161,16,51,39,60,26,179,43,216
YJR120W,66,82,12,39,6,31,33,87,32,79
YOR017W,354,467,153,176,129,164,310,411,402,383
YHR005C,1822,3143,706,632,647,806,1644,3016,2014,3119
YDR473C,464,726,165,216,159,255,398,763,381,795
YLR393W,331,73,125,29,114,32,307,89,345,105
YDR310C,1159,838,404,236,374,285,1053,896,1142,915
YBR217W,136,324,60,166,53,180,115,328,149,319
YNL154C,4123,1437,1683,338,1443,426,3258,1233,3767,1303
YNR065C,2,315,1,113,5,118,4,333,6,338
YIL046W,377,1010,177,189,133,219,375,987,454,1121
YFR009W,5513,2532,3267,1145,2535,1159,6129,2788,7035,2746
YNL101W,561,476,266,155,276,190,649,619,715,533
YDR081C,742,512,382,241,322,254,931,606,1000,561
YJL137C,410,269,259,67,174,81,393,228,470,266
YDR383C,233,764,117,320,97,306,211,800,236,849
YJR026W,0,0,0,0,0,0,0,0,0,0
YBR115C,5,27,7,1,4,2,6,16,20,8
YIR015W,180,158,52,50,46,40,130,144,161,152
YDR448W,721,1035,343,301,276,304,584,898,747,933
YJR111C,376,454,147,115,168,128,466,497,500,504
YLR360W,505,569,203,173,141,182,374,488,457,519
YKL181W,5052,5949,2375,1539,2077,1447,4776,5277,5413,5614
YPR096C,4,15,0,4,2,9,2,10,3,10
YNL293W,398,844,210,387,178,448,383,796,409,887
YDR034C,787,1121,359,351,323,321,721,1135,787,1112
YML125C,2551,1059,1006,295,989,341,2527,1230,3097,1510
YLR251W,140,753,81,440,80,454,154,709,150,680
YDR182W-A,2,15,1,4,2,6,1,19,2,21
YOR028C,548,450,301,151,241,174,619,528,728,499
YPL106C,57759,9867,24944,2454,23752,2892,52392,10121,58554,10549
YGL151W,1148,931,452,252,484,344,1278,1031,1519,980
YJR091C,1950,421,849,210,731,218,1722,405,1901,454
YBR271W,481,620,240,157,208,128,533,694,600,753
YBL017C,4108,2031,1776,601,1488,692,3477,1897,4127,2054
YAL024C,485,424,198,123,191,134,409,388,555,412
YOR348C,6,28,6,16,8,15,14,47,5,45
YJL197W,1135,951,473,303,410,338,995,877,1089,913
YMR213W,413,550,190,97,164,122,390,594,420,663
YBR233W-A,399,438,167,129,125,155,286,395,293,390
YDL006W,615,1106,402,586,367,588,774,1192,883,1272
YDR505C,1887,753,709,362,642,409,1427,631,1620,645
YHR132W-A,788,921,405,257,350,232,672,811,785,816
YGR068C,397,326,181,102,150,88,346,334,402,357
YOR390W,13,46,5,12,4,15,13,47,15,44
YPL246C,1381,1182,630,287,559,297,1280,1185,1384,1296
YOR246C,866,2893,526,1562,452,1425,874,2792,957,2853
YGL039W,1224,720,638,242,533,250,1206,760,1337,771
YER066W,0,148,0,46,0,66,0,161,0,152
YEL001C,4248,2009,1694,382,1514,431,3522,1745,3891,1861
YML054C-A,0,0,0,0,0,1,0,0,0,0
YDR443C,537,378,189,135,175,190,531,417,618,362
YBR085W,390,536,123,138,124,169,188,299,238,341
YHR109W,244,139,135,61,103,41,242,151,303,140
YDL043C,739,608,382,200,245,176,510,530,618,493
YHL001W,7566,4420,3649,664,3277,723,6780,4385,7447,5256
YOR373W,805,350,388,104,330,111,845,342,935,332
YHR091C,166,454,67,109,40,110,144,406,185,398
YPL260W,3049,1477,1571,557,1493,599,3007,1538,3328,1593
YOL010W,911,1600,435,340,325,391,993,1665,1035,1799
YOR228C,184,268,100,87,87,84,177,295,197,280
YMR111C,229,451,85,101,60,130,191,414,216,410
YMR144W,688,590,343,136,295,138,631,504,746,512
YCR066W,276,474,119,183,137,185,262,573,333,546
YCR088W,12612,2144,5919,360,4925,386,10040,1916,10925,2208
YDR208W,1645,1022,640,310,545,364,1447,1020,1614,1015
YHR087W,748,384,303,92,324,106,728,631,799,516
YBR014C,1067,1437,479,486,408,464,926,1461,1060,1468
YPL012W,3278,1744,2040,460,1503,477,4366,2007,4911,2267
YPR133W-A,1004,556,309,82,290,84,687,504,765,567
YDL108W,554,844,227,249,226,249,493,845,515,879
YPR110C,5145,3369,2773,1181,2572,1239,5818,3535,6362,3706
YOL103W-B,117,65,23,21,25,18,73,41,74,58
YOL103W-A,117,65,23,21,25,18,73,41,74,58
YCR073W-A,1281,1021,851,239,844,271,1670,1001,1793,1292
YFL003C,67,190,26,45,21,59,38,265,51,148
YDR119W,3053,2435,1648,1238,1332,1232,3173,2290,3604,2265
YLR411W,69,160,23,42,20,31,51,167,73,180
YDR490C,669,546,359,171,290,200,614,538,737,521
YER005W,397,929,248,435,158,464,410,876,472,874
YPL034W,29,452,24,147,13,134,40,399,32,452
YDL028C,692,627,344,164,272,175,620,707,743,684
YER050C,1192,586,679,226,620,298,1244,607,1385,643
YCR008W,1146,1257,592,458,448,421,1028,1300,1118,1398
YOR192C-C,0,0,0,1,0,1,1,3,0,2
YOR192C-B,11,48,3,11,3,7,9,27,4,32
YOR192C-A,11,11,2,1,2,2,6,6,2,7
YLR119W,265,456,124,89,114,84,301,468,319,472
YLR082C,465,596,228,267,217,355,443,603,534,640
YER190W,0,2,1,0,0,0,0,4,0,0
YLR035C,172,278,85,83,82,101,166,251,195,265
YDL122W,1732,2136,773,766,715,815,1747,2446,2009,2584
