ORF,RNA_Prints,Ribo_Prints,,,,,,,,,,,,,,,,,,,,,,,,,
YBR069C,126954,97556,,,,,,,,,,,,,,,,,,,,,,,,,
YBR070C,21465,7171,,,,,,,,,,,,,,,,,,,,,,,,,
YBR071W,22365,22057,,,,,,,,,,,,,,,,,,,,,,,,,
YBR072W,22347,25961,,,,,,,,,,,,,,,,,,,,,,,,,
YBR073W,82730,41309,,,,,,,,,,,,,,,,,,,,,,,,,
YBR074W,59161,45741,,,,,,,,,,,,,,,,,,,,,,,,,
YBR076W,596,36,,,,,,,,,,,,,,,,,,,,,,,,,
YBR077C,34965,8600,,,,,,,,,,,,,,,,,,,,,,,,,
YBR079C,198718,231716,,,,,,,,,,,,,,,,,,,,,,,,,
YBR080C,65883,83851,,,,,,,,,,,,,,,,,,,,,,,,,
YBR081C,38018,17360,,,,,,,,,,,,,,,,,,,,,,,,,
YBR082C,103782,88885,,,,,,,,,,,,,,,,,,,,,,,,,
YBR083W,77887,31219,,,,,,,,,,,,,,,,,,,,,,,,,
YBR085W,14409,11371,,,,,,,,,,,,,,,,,,,,,,,,,
YBR086C,139011,95419,,,,,,,,,,,,,,,,,,,,,,,,,
YBR087W,48493,19937,,,,,,,,,,,,,,,,,,,,,,,,,
YBR088C,93698,71320,,,,,,,,,,,,,,,,,,,,,,,,,
YBR089C-A,43230,26063,,,,,,,,,,,,,,,,,,,,,,,,,
YBR091C,12884,5584,,,,,,,,,,,,,,,,,,,,,,,,,
YBR094W,30737,15169,,,,,,,,,,,,,,,,,,,,,,,,,
YBR095C,32471,10439,,,,,,,,,,,,,,,,,,,,,,,,,
YBR096W,56052,35851,,,,,,,,,,,,,,,,,,,,,,,,,
YBR097W,18061,6844,,,,,,,,,,,,,,,,,,,,,,,,,
YBR098W,12081,4276,,,,,,,,,,,,,,,,,,,,,,,,,
YBR101C,62221,33672,,,,,,,,,,,,,,,,,,,,,,,,,
YBR102C,26400,17284,,,,,,,,,,,,,,,,,,,,,,,,,
YBR103W,40844,12482,,,,,,,,,,,,,,,,,,,,,,,,,
YBR104W,21147,16007,,,,,,,,,,,,,,,,,,,,,,,,,
YBR105C,32715,8933,,,,,,,,,,,,,,,,,,,,,,,,,
YBR106W,186060,157155,,,,,,,,,,,,,,,,,,,,,,,,,
YBR107C,9234,1957,,,,,,,,,,,,,,,,,,,,,,,,,
YBR108W,26127,28859,,,,,,,,,,,,,,,,,,,,,,,,,
YBR109C,87695,51752,,,,,,,,,,,,,,,,,,,,,,,,,
YBR110W,50203,20138,,,,,,,,,,,,,,,,,,,,,,,,,
YBR111C,88787,52380,,,,,,,,,,,,,,,,,,,,,,,,,
YBR112C,91651,76593,,,,,,,,,,,,,,,,,,,,,,,,,
YBR114W,24056,5309,,,,,,,,,,,,,,,,,,,,,,,,,
YBR119W,34361,11413,,,,,,,,,,,,,,,,,,,,,,,,,
YBR120C,15483,4667,,,,,,,,,,,,,,,,,,,,,,,,,
YBR122C,32775,13103,,,,,,,,,,,,,,,,,,,,,,,,,
YBR123C,35335,21740,,,,,,,,,,,,,,,,,,,,,,,,,
YBR125C,27627,8738,,,,,,,,,,,,,,,,,,,,,,,,,
YBR126C,243328,162094,,,,,,,,,,,,,,,,,,,,,,,,,
YBR127C,135005,260966,,,,,,,,,,,,,,,,,,,,,,,,,
YBR128C,9113,1934,,,,,,,,,,,,,,,,,,,,,,,,,
YBR129C,24631,7580,,,,,,,,,,,,,,,,,,,,,,,,,
YBR130C,45371,14811,,,,,,,,,,,,,,,,,,,,,,,,,
YBR131W,13890,5090,,,,,,,,,,,,,,,,,,,,,,,,,
YBR132C,13486,12291,,,,,,,,,,,,,,,,,,,,,,,,,
YBR133C,62018,18537,,,,,,,,,,,,,,,,,,,,,,,,,
YBR135W,17928,18397,,,,,,,,,,,,,,,,,,,,,,,,,
YBR137W,30910,24047,,,,,,,,,,,,,,,,,,,,,,,,,
YBR138C,22342,5731,,,,,,,,,,,,,,,,,,,,,,,,,
YBR139W,66722,58843,,,,,,,,,,,,,,,,,,,,,,,,,
YBR141C,13259,7267,,,,,,,,,,,,,,,,,,,,,,,,,
YBR142W,53879,37709,,,,,,,,,,,,,,,,,,,,,,,,,
YBR143C,254611,166900,,,,,,,,,,,,,,,,,,,,,,,,,
YBR145W,23524,8868,,,,,,,,,,,,,,,,,,,,,,,,,
YBR146W,39179,11446,,,,,,,,,,,,,,,,,,,,,,,,,
YBR147W,2020,334,,,,,,,,,,,,,,,,,,,,,,,,,
YBR148W,3944,1013,,,,,,,,,,,,,,,,,,,,,,,,,
YBR149W,104643,76437,,,,,,,,,,,,,,,,,,,,,,,,,
YBR150C,20124,6422,,,,,,,,,,,,,,,,,,,,,,,,,
YBR151W,75644,30833,,,,,,,,,,,,,,,,,,,,,,,,,
YBR152W,8402,4485,,,,,,,,,,,,,,,,,,,,,,,,,
YBR153W,20100,4866,,,,,,,,,,,,,,,,,,,,,,,,,
YBR154C,60835,42141,,,,,,,,,,,,,,,,,,,,,,,,,
YBR155W,42532,22919,,,,,,,,,,,,,,,,,,,,,,,,,
YBR156C,17687,6188,,,,,,,,,,,,,,,,,,,,,,,,,
YBR157C,14582,10825,,,,,,,,,,,,,,,,,,,,,,,,,
YBR158W,152885,34208,,,,,,,,,,,,,,,,,,,,,,,,,
YBR159W,135123,61110,,,,,,,,,,,,,,,,,,,,,,,,,
YBR160W,34255,20098,,,,,,,,,,,,,,,,,,,,,,,,,
YBR161W,27214,6466,,,,,,,,,,,,,,,,,,,,,,,,,
YBR162C,213424,415491,,,,,,,,,,,,,,,,,,,,,,,,,
YBR163W,31372,3502,,,,,,,,,,,,,,,,,,,,,,,,,
YBR164C,50179,20790,,,,,,,,,,,,,,,,,,,,,,,,,
YBR165W,32187,7466,,,,,,,,,,,,,,,,,,,,,,,,,
YBR166C,46474,24071,,,,,,,,,,,,,,,,,,,,,,,,,
YBR167C,16974,4333,,,,,,,,,,,,,,,,,,,,,,,,,
YBR168W,21799,3702,,,,,,,,,,,,,,,,,,,,,,,,,
YBR170C,53487,33531,,,,,,,,,,,,,,,,,,,,,,,,,
YBR171W,47984,33480,,,,,,,,,,,,,,,,,,,,,,,,,
YBR172C,84363,47729,,,,,,,,,,,,,,,,,,,,,,,,,
YBR173C,53207,49102,,,,,,,,,,,,,,,,,,,,,,,,,
YBR175W,24878,9642,,,,,,,,,,,,,,,,,,,,,,,,,
YBR176W,28708,9797,,,,,,,,,,,,,,,,,,,,,,,,,
YBR177C,97007,57278,,,,,,,,,,,,,,,,,,,,,,,,,
YBR179C,29125,17409,,,,,,,,,,,,,,,,,,,,,,,,,
YBR180W,564,83,,,,,,,,,,,,,,,,,,,,,,,,,
YBR182C,5936,1363,,,,,,,,,,,,,,,,,,,,,,,,,
YBR183W,23847,6547,,,,,,,,,,,,,,,,,,,,,,,,,
YBR184W,9678,1917,,,,,,,,,,,,,,,,,,,,,,,,,
YBR185C,19829,14470,,,,,,,,,,,,,,,,,,,,,,,,,
YBR187W,100421,68216,,,,,,,,,,,,,,,,,,,,,,,,,
YBR192W,23712,9358,,,,,,,,,,,,,,,,,,,,,,,,,
YBR193C,18580,11164,,,,,,,,,,,,,,,,,,,,,,,,,
YBR194W,9146,2571,,,,,,,,,,,,,,,,,,,,,,,,,
YBR195C,21497,11627,,,,,,,,,,,,,,,,,,,,,,,,,
YBR196C,686262,1095007,,,,,,,,,,,,,,,,,,,,,,,,,
YBR197C,16589,6791,,,,,,,,,,,,,,,,,,,,,,,,,
YBR198C,64000,36409,,,,,,,,,,,,,,,,,,,,,,,,,
YBR199W,118786,40110,,,,,,,,,,,,,,,,,,,,,,,,,
YBR200W,32183,11210,,,,,,,,,,,,,,,,,,,,,,,,,
YBR201W,18507,4355,,,,,,,,,,,,,,,,,,,,,,,,,
YBR202W,40768,33383,,,,,,,,,,,,,,,,,,,,,,,,,
YBR203W,8702,1060,,,,,,,,,,,,,,,,,,,,,,,,,
YBR204C,26416,11927,,,,,,,,,,,,,,,,,,,,,,,,,
YBR205W,88437,44979,,,,,,,,,,,,,,,,,,,,,,,,,
YBR207W,47572,24098,,,,,,,,,,,,,,,,,,,,,,,,,
YBR208C,24843,23590,,,,,,,,,,,,,,,,,,,,,,,,,
YBR210W,23205,10922,,,,,,,,,,,,,,,,,,,,,,,,,
YBR211C,24527,8122,,,,,,,,,,,,,,,,,,,,,,,,,
YBR213W,15847,9116,,,,,,,,,,,,,,,,,,,,,,,,,
YBR214W,48014,41247,,,,,,,,,,,,,,,,,,,,,,,,,
YBR215W,26855,18474,,,,,,,,,,,,,,,,,,,,,,,,,
YBR216C,28104,13398,,,,,,,,,,,,,,,,,,,,,,,,,
YBR217W,8599,1203,,,,,,,,,,,,,,,,,,,,,,,,,
YBR220C,48911,18598,,,,,,,,,,,,,,,,,,,,,,,,,
YBR221C,196089,214496,,,,,,,,,,,,,,,,,,,,,,,,,
YBR222C,45434,55587,,,,,,,,,,,,,,,,,,,,,,,,,
YBR223C,16522,3253,,,,,,,,,,,,,,,,,,,,,,,,,
YBR225W,12763,9841,,,,,,,,,,,,,,,,,,,,,,,,,
YBR227C,29809,13918,,,,,,,,,,,,,,,,,,,,,,,,,
YBR228W,17489,2734,,,,,,,,,,,,,,,,,,,,,,,,,
YBR229C,50107,44970,,,,,,,,,,,,,,,,,,,,,,,,,
YBR231C,24963,13510,,,,,,,,,,,,,,,,,,,,,,,,,
YBR233W,26060,16637,,,,,,,,,,,,,,,,,,,,,,,,,
YBR234C,105751,73952,,,,,,,,,,,,,,,,,,,,,,,,,
YBR235W,26281,15303,,,,,,,,,,,,,,,,,,,,,,,,,
