ORF,RNA_Prints
YLL011W,6987.57244095912
YDR379C-A,986.752150537198
YOL159C,1500.56868016332
YNR074C,3872.28193865818
YLR189C,5092.15060687574
YDR113C,2628.89604567731
YML032C,4441.22252493776
YFL028C,5386.87427981819
YDL247W,63.4203891611694
YBR256C,10961.1084278362
YOR081C,2993.5382915001
YPL024W,2396.47487912777
YLR442C,4197.21059836469
YMR257C,2048.14009838277
YDL219W,3997.3775988695
YKR040C,271.32295812984
YKL122C,7272.94914128293
YGL240W,517.824433077999
YDL080C,3618.15981170817
YEL001C,11907.1587918595
YPR168W,1289.25707420663
YLR374C,99.7571479033673
YHR109W,1579.46224092831
YDL034W,27.1290682290763
YPL061W,86282.6427300231
YJL060W,4298.31277144112
YPR062W,12680.2762787268
YLR240W,2876.92452514546
YGR104C,2694.88290879242
YER174C,4387.51207521528
YDR223W,457.881954465141
YLR037C,217.091072332357
YDR402C,146.755094664226
YMR146C,22047.829007394
YGR241C,4131.93290507962
YPR057W,4107.60905079418
YGL062W,15531.3321784413
YIL012W,51.5896264537629
YDR156W,4147.36528971571
YJR113C,6167.83946835743
YPR131C,4045.36208631421
YLR416C,15.5726300148698
YLR029C,188358.220555453
YMR155W,2488.3274788581
YNL180C,4443.06556949433
YOL106W,144.751721260624
YGR164W,235617.70937045
YIL140W,3593.85810751831
YIL171W-A,2.30920129805035
YDR272W,6509.60733613398
YDR114C,75.0120008411452
YPR077C,62.3812631433369
YOR238W,2353.17366915019
YNR044W,2821.13846492204
YLR139C,1566.25093193127
YKL142W,8843.15795444987
YPR009W,2749.76937939011
YHR032W,7404.29008112512
YDR429C,31070.5757506563
YNR031C,7085.80756327568
YGL079W,2118.16565967739
YHR084W,4242.85188658119
YOR004W,7873.79219624227
YMR086C-A,101.619868923606
YMR244W,115.727448237874
YMR233W,2414.32266905197
YLL010C,3523.87684065859
YNL188W,3307.24383327323
YNL104C,21174.4562482599
YKL156C-A,1280.63142269576
YOR365C,211.762349246349
