ORF,RNA_Prints,Ribo_Prints
YBR284W,276,20
YBR285W,44,13
YBR286W,6697,1463
YBR287W,2538,283
YBR288C,1404,214
YBR289W,1385,203
YBR290W,721,78
YBR291C,3037,471
YBR293W,369,25
YBR294W,22455,3141
YBR295W,676,24
YBR296C,4183,816
YBR296C-A,13,0
YBR297W,1226,134
YBR298C,1350,2
YBR298C-A,23,0
YBR299W,2422,448
YBR301W,6,1
YBR302C,1225,197
YCL001W,640,128
YCL001W-A,9,0
YCL001W-B,5,0
YCL002C,352,12
YCL004W,225,22
YCL005W,478,55
YCL005W-A,1538,356
YCL008C,2443,116
YCL009C,12554,1423
YCL010C,1590,87
YCL011C,3737,271
YCL012C,181,17
YCL014W,3530,277
YCL016C,564,114
YCL017C,3849,613
YCL018W,6395,2011
YCL021W-A,4466,12
YCL024W,1266,111
YCL025C,2039,320
YCL026C-A,26,1
YCL026C-B,803,335
YCL027W,99,10
YCL028W,2642,567
YCL029C,702,91
YCL030C,19538,4461
YCL031C,1322,168
YCL032W,891,91
YCL033C,716,95
YCL034W,2352,368
YCL035C,1207,297
YCL036W,754,63
YCL037C,3561,633
YCL038C,671,80
YCL039W,852,141
YCL040W,4505,974
YCL042W,828,125
YCL043C,25757,5337
YCL044C,735,167
YCL045C,4796,787
YCL047C,535,91
YCL048W,16,2
YCL048W-A,18,0
YCL049C,585,92
YCL050C,2557,859
YCL051W,832,44
YCL052C,1512,176
YCL054W,2994,584
YCL054W-A,278,0
YCL055W,714,151
YCL056C,247,18
YCL057C-A,2573,475
YCL057W,6713,1107
YCL058C,1614,469
YCL058W-A,364,21
YCL059C,1036,136
YCL061C,978,78
YCL063W,1252,198
YCL064C,152,4
YCL068C,118,7
YCL069W,2,0
YCL073C,95,11
YCR002C,1893,475
YCR003W,1241,352
YCR004C,3899,893
YCR005C,7305,1470
YCR007C,36,3
YCR008W,2146,89
YCR009C,1490,241
YCR010C,12,0
YCR011C,2596,316
YCR012W,93262,19386
YCR014C,404,6
YCR015C,4409,34
YCR016W,687,136
YCR017C,3251,521
YCR018C,435,33
YCR019W,435,62
YCR020C,404,15
YCR020C-A,847,61
YCR020W-B,446,15
YCR021C,45,11
YCR023C,1244,71
YCR024C,884,159
YCR024C-A,9528,198
YCR024C-B,13817,198
YCR026C,1671,209
YCR027C,483,44
YCR028C,710,118
YCR028C-A,1531,276
YCR030C,3493,616
YCR031C,42715,12914
YCR032W,1409,106
YCR033W,2395,156
YCR034W,2608,1136
YCR035C,1360,698
YCR036W,1209,168
YCR037C,1015,139
YCR038C,389,26
YCR039C,307,10
YCR040W,22,0
YCR041W,21,0
YCR042C,2110,247
YCR043C,1447,76
YCR044C,1389,154
YCR045C,39,0
YCR046C,2481,194
YCR047C,1502,258
YCR048W,1267,93
YCR050C,10,0
YCR051W,2240,420
YCR052W,1271,271
YCR053W,6646,1722
YCR054C,449,71
YCR057C,3129,302
YCR059C,1472,117
YCR060W,830,57
YCR061W,1468,313
YCR063W,412,37
YCR065W,1423,90
YCR066W,231,15
YCR067C,3192,326
YCR068W,917,101
YCR069W,1315,251
YCR071C,1033,135
YCR072C,762,151
YCR073C,407,27
YCR073W-A,1085,255
YCR075C,377,57
YCR075W-A,468,26
YCR076C,558,93
YCR077C,3228,448
YCR079W,628,53
YCR081W,1112,79
YCR082W,2649,315
YCR083W,415,140
YCR084C,6877,773
YCR086W,528,87
YCR087C-A,994,122
YCR088W,4279,1280
YCR089W,596,5
YCR090C,1012,105
YCR091W,483,22
YCR092C,801,52
YCR093W,8863,886
YCR094W,962,71
YCR095C,375,35
YCR095W-A,39,0
YCR098C,763,116
YCR099C,132,8
YCR100C,277,29
YCR101C,106,17
YCR102C,230,14
YCR104W,42,1
YCR105W,0,0
YCR106W,10,0
YCR107W,167,5
YCR108C,11,0
YDL001W,422,75
YDL002C,904,116
YDL003W,1687,337
YDL004W,6489,626
YDL005C,1004,94
YDL006W,847,113
YDL007C-A,0,0
YDL007W,42872,1463
YDL008W,888,133
YDL009C,0,0
YDL010W,710,103
YDL012C,910,199
YDL013W,888,64
YDL014W,9101,1686
YDL015C,2045,280
YDL017W,420,66
YDL018C,846,156
YDL019C,3446,376
YDL020C,1675,142
YDL021W,130,25
YDL022C-A,7,0
YDL022W,2264,753
YDL024C,48,7
YDL025C,1008,91
YDL027C,782,84
YDL028C,963,58
YDL029W,3775,649
YDL030W,425,70
YDL031W,3043,387
YDL033C,605,38
YDL035C,953,92
YDL036C,785,47
YDL037C,288,0
YDL039C,879,0
YDL040C,3618,541
YDL042C,854,125
YDL043C,413,69
YDL044C,790,127
YDL045C,592,83
YDL045W-A,639,137
YDL046W,2377,472
YDL047W,2849,424
YDL048C,373,108
YDL049C,554,63
YDL051W,2935,326
YDL052C,1934,316
YDL053C,461,50
YDL054C,997,199
YDL055C,22671,3790
YDL056W,949,72
YDL057W,231,46
YDL058W,2917,269
YDL059C,732,118
YDL060W,2652,355
YDL061C,8510,1183
YDL063C,1466,152
YDL064W,646,96
YDL065C,833,171
YDL066W,15642,3175
YDL067C,4366,636
YDL069C,349,11
YDL070W,1873,149
YDL072C,1890,316
YDL073W,1080,61
YDL074C,2360,244
YDL075W,31890,2946
YDL076C,368,42
YDL077C,930,89
YDL078C,3547,741
YDL079C,234,11
YDL080C,850,76
YDL081C,21377,3329
YDL082W,27772,6963
YDL083C,19139,3491
YDL084W,12527,1683
YDL085C-A,359,47
YDL085W,153,7
YDL086W,2481,477
YDL087C,377,32
YDL088C,991,118
YDL089W,362,36
YDL090C,849,88
YDL091C,644,108
YDL092W,1317,122
YDL093W,770,99
YDL095W,7474,1187
YDL097C,6497,1118
YDL098C,318,30
YDL099W,1073,216
YDL100C,7668,1916
YDL101C,955,132
YDL102W,1694,165
YDL103C,1398,316
YDL104C,396,43
YDL105W,247,19
YDL106C,775,127
YDL107W,652,84
YDL108W,628,103
YDL109C,229,5
YDL110C,1451,398
YDL111C,1242,176
YDL112W,4060,574
YDL113C,885,44
YDL114W,3,0
YDL115C,639,84
YDL116W,2549,302
YDL117W,1936,168
YDL119C,319,14
YDL120W,2163,248
YDL121C,1492,313
YDL122W,2687,365
YDL123W,961,94
YDL124W,3889,694
YDL125C,1847,757
YDL126C,28858,5631
YDL127W,360,30
YDL128W,2207,591
YDL129W,302,35
YDL130W,29424,6144
YDL130W-A,980,159
YDL131W,22736,5052
YDL132W,2357,334
YDL133C-A,26527,2780
YDL133W,385,29
YDL134C,2415,305
YDL135C,1561,222
YDL136W,34786,5337
YDL137W,6662,1138
YDL138W,717,25
YDL139C,108,11
YDL140C,14924,1541
YDL141W,1683,264
YDL142C,402,56
YDL143W,6614,1109
YDL144C,1910,221
YDL145C,11891,1564
YDL146W,423,31
YDL147W,4954,651
YDL148C,2236,221
YDL149W,676,57
YDL150W,1004,161
YDL153C,1736,266
YDL154W,260,4
YDL155W,1498,127
YDL156W,401,46
YDL157C,895,115
